MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04グリ\x021\n\x0E\x03\x02\x06\x04グリ\nDans les ténèbres insondables de votre solitude,\nrêvez-vous que la lumière vous appartienne ?\x0E\x04\x02\x00
MID_OP1_#002	Répondrez-vous à l'appel mystérieux vous\ninvoquant depuis l'autre côté du portail ?\x0E\x04\x02\x00
MID_OP1_#003	La voix est affligée, le message, funeste. La\ngemme radieuse est devenue noire telle la nuit.\x0E\x04\x02\x00
MID_OP1_#004	Mais quelle importance ?\nQuelqu'un connaît la vérité.\x0E\x04\x02\x00
MID_OP1_#005	En ce monde, nulle compassion. Ma douleur\nne semble point réelle en ce monde.\x0E\x04\x00\x00
MID_OP2_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x14\x0EE003_イル\x022\n\x0E\x03\x00\x14\x0EE003_エル\x023\n\x0E\x03\x00\x1C\x16E003_セレスティア\x024\n\x0E\x03\x02\x10\x0EE003_イル\nNous marchons depuis un bon moment,\ndésormais. Tout le monde va bien ?\x0E\x04\x00\x00
MID_OP2_#002	\x0E\x03\x02\x18\x16E003_セレスティア\nAbsolument. Même si je ne cache pas\nque voyager sur ma wyverne aurait été\nplus commode.\x0E\x04\x00\x00
MID_OP2_#003	\x0E\x03\x02\x0A\x08リュール\nNous nous rendons en Brodia, n'est-ce pas ?\nPourquoi n'empruntons-nous pas la route\nprincipale ?\x0E\x04\x00\x00
MID_OP2_#004	\x0E\x03\x02\x10\x0EE003_エル\nBrodia est réputée pour son désamour de la\nguerre. Elle ne nous permettrait pas de franchir\nainsi ses frontières.\x0E\x04\x02\x00
MID_OP2_#005	Ses points d'entrée sont plus contrôlés que\nceux des autres nations. Nous devons avancer\nde la façon la plus discrète possible.\x0E\x04\x02\x00
MID_OP2_#006	Quoi qu'il en soit, nous ne nous « rendons »\nplus en Brodia. Nous sommes déjà arrivés.\x0E\x04\x00\x00
MID_OP2_#007	\x0E\x03\x02\x0A\x08リュール\nHein ?\x0E\x04\x00\x00
MID_OP2_#008	\x0E\x03\x02\x10\x0EE003_エル\nNous avons déjà franchi les confins de Brodia.\nNous sommes entrés dans son territoire\ndepuis un bon moment.\x0E\x04\x00\x00
MID_OP2_#009	\x0E\x03\x02\x0A\x08リュール\nEt vous n'avez pas pensé à le mentionner\nplus tôt ?\x0E\x04\x00\x00
MID_OP2_#010	\x0E\x03\x02\x10\x0EE003_エル\nJ'ignorais que cela avait une telle importance\nà vos yeux. Mais il est encore temps de\nsolenniser ce haut fait, si vous le souhaitez.\x0E\x04\x00\x00
MID_OP2_#011	\x0E\x03\x02\x0A\x08リュール\nJe disais juste que le partage de certaines\ninformations me semblait essentiel entre alliés...\x0E\x04\x00\x00
MID_OP2_#012	\x0E\x03\x02\x18\x16E003_セレスティア\nSilence. Quelqu'un approche.\x0E\x04\x00\x00
MID_OP2_#013	\x0E\x03\x02\x10\x0EE003_エル\nIl est impossible que notre présence\nait été dévoilée.\x0E\x04\x00\x00
MID_OP2_#014	\x0E\x03\x02\x0A\x08リュール\nEn garde !\x0E\x04\x00\x00
MID_OP2_#015	\x0E\x03\x02\x10\x0EE003_イル\nAttendez, Votre Divinité !\x0E\x04\x00\x00
MID_OP2_#016	\x0E\x03\x00\x1A\x14E003_グレゴリー\x024\n\x0E\x06\x000\x14E003_グレゴリー\x18MPID_Unknown\n\x0E\x03\x02\x16\x14E003_グレゴリー\nJe vous en prie ! Ne me faites pas de mal !\x0E\x04\x00\x00
MID_OP2_#017	\x0E\x03\x00\x1C\x16E003_セレスティア\x024\n\x0E\x03\x02\x18\x16E003_セレスティア\nGregory !\x0E\x04\x00\x00
MID_OP2_#018	\x0E\x03\x02\x0A\x08リュール\nVous vous connaissez ?\x0E\x04\x00\x00
MID_OP2_#019	\x0E\x03\x02\x18\x16E003_セレスティア\nEn effet. Gregory fait partie des Quatre Zéphyrs,\nau même titre que moi.\x0E\x04\x00\x00
MID_OP2_#020	\x0E\x03\x02\x0A\x08リュール\nCe nom ne me dit rien.\x0E\x04\x00\x00
MID_OP2_#021	\x0E\x03\x02\x18\x16E003_セレスティア\nIl s'agit d'un groupe de chevaliers d'élite formé\naprès la guerre en vue d'assurer la protection\nde Dame Nel et de Messire Nil.\x0E\x04\x02\x00
MID_OP2_#022	Comme son nom l'indique, il est\ncomposé de quatre membres.\x0E\x04\x02\x00
MID_OP2_#023	Gregory est l'un d'eux.\x0E\x04\x00\x00
MID_OP2_#024	\x0E\x03\x02\x10\x0EE003_エル\nJe lui ai demandé de rassembler certaines\ninformations pour nous, tout comme je l'ai\nfait avec Zelestia.\x0E\x04\x02\x00
MID_OP2_#025	Merci de vous être acquitté de votre mission,\nGregory. Toutefois, n'étions-nous pas censés\nnous retrouver en un autre endroit ?\x0E\x04\x00\x00
MID_OP2_#026	\x0E\x03\x00\x1A\x14E003_グレゴリー\x024\n\x0E\x06\x000\x14E003_グレゴリー\x18MPID_Gregory\n\x0E\x03\x02\x16\x14E003_グレゴリー\nVous avez raison, mais... je me suis égaré\nen chemin et je n'étais pas sûr de retrouver\nle lieu exact du rendez-vous.\x0E\x04\x02\x00
MID_OP2_#027	Après avoir hésité, j'ai décidé de venir à\nvotre rencontre à la frontière du royaume.\nJe suis soulagé de vous avoir trouvés.\x0E\x04\x00\x00
MID_OP2_#028	\x0E\x03\x02\x10\x0EE003_エル\nAvant d'entendre votre rapport, nous avons\nquelque chose à vous dire.\x0E\x04\x02\x00
MID_OP2_#029	Cette personne qui nous accompagne...\x0E\x04\x00\x00
MID_OP2_#030	\x0E\x03\x02\x16\x14E003_グレゴリー\n... N'est pas le Dragon divin que nous\nconnaissions. C'est cela ?\x0E\x04\x00\x00
MID_OP2_#031	\x0E\x03\x02\x10\x0EE003_エル\nPrécisément.\x0E\x04\x00\x00
MID_OP2_#032	\x0E\x03\x02\x16\x14E003_グレゴリー\nJ'en déduis que le rituel a fonctionné, et\nque vous avez invoqué cette personne\ndepuis un autre monde.\x0E\x04\x00\x00
MID_OP2_#033	\x0E\x03\x02\x10\x0EE003_エル\nAbsolument. Vous m'épargnez une fastidieuse\nexplication.\x0E\x04\x00\x00
MID_OP2_#034	\x0E\x03\x02\x10\x0EE003_イル\nVous m'impressionnez, Gregory ! Comment\navez-vous fait pour deviner cela ?\x0E\x04\x00\x00
MID_OP2_#035	\x0E\x03\x02\x16\x14E003_グレゴリー\nJe n'en suis pas vraiment sûr. Quelque chose\nde... farouche émane de ce Dragon divin.\x0E\x04\x00\x00
MID_OP2_#036	\x0E\x03\x02\x0A\x08リュール\nC'est sans doute parce que j'ai manqué de vous\nassaillir. Je vous prie de m'excuser.\x0E\x04\x00\x00
MID_OP2_#037	\x0E\x03\x02\x16\x14E003_グレゴリー\nNon, ce n'est pas cela. Vous êtes juste\ndifférent\x0E\x0A\x00\x06
MID_OP2_#038	Je ne parle pas de votre aspect physique.\nDisons que votre essence est... singulière.\nJ'ignore si je me fais comprendre ?\x0E\x04\x00\x00
MID_OP2_#039	\x0E\x03\x00\x1C\x16E003_セレスティア\x024\n\x0E\x03\x02\x18\x16E003_セレスティア\nGregory possède un sens très aiguisé du danger.\nIl peut ainsi percevoir des détails indécelables\npar les autres.\x0E\x04\x00\x00
MID_OP2_#040	\x0E\x03\x02\x0A\x08リュール\nJe vois...\x0E\x04\x00\x00
MID_OP2_#041	\x0E\x03\x00\x1A\x14E003_グレゴリー\x024\n\x0E\x03\x02\x16\x14E003_グレゴリー\nNe vous en faites pas. Tant que je ne vous\nressens pas comme une menace, je m'habituerai\nà votre présence.\x0E\x04\x02\x00
MID_OP2_#042	Oh, et pardonnez mon impudence.\nJ'ai tendance à oublier les formalités.\x0E\x04\x00\x00
MID_OP2_#043	\x0E\x03\x02\x0A\x08リュール\nJe ne vous en tiens pas rigueur. Sentez-vous\nlibre de parler ouvertement.\x0E\x04\x00\x00
MID_OP2_#044	\x0E\x03\x02\x10\x0EE003_イル\nVous pouvez nous croire, Gregory. Le Dragon\ndivin s'est révélé être une personne au cœur\njuste et aimable.\x0E\x04\x02\x00
MID_OP2_#045	Ce compliment est sincère, Votre Divinité.\nJ'apprécie votre présence.\x0E\x04\x00\x00
MID_OP2_#046	\x0E\x03\x02\x0A\x08リュール\nMerci, Nil. Moi également.\x0E\x04\x00\x00
MID_OP2_#047	\x0E\x03\x02\x10\x0EE003_エル\n...\x0E\x04\x00\x00
MID_OP2_#048	\x0E\x03\x02\x0A\x08リュール\nAu sujet des Quatre Zéphyrs... Où sont les deux\nautres membres ?\x0E\x04\x00\x00
MID_OP2_#049	\x0E\x03\x02\x10\x0EE003_エル\nIls ont été envoyés dans les nations restantes,\nafin de recueillir sur place des informations.\x0E\x04\x02\x00
MID_OP2_#050	Tout comme Zelestia était postée en Firene, et\nGregory en Brodia, les deux autres se trouvent\ndans les royaumes d'Elusia et de Solm.\x0E\x04\x00\x00
MID_OP2_#051	\x0E\x03\x00\x1C\x16E003_セレスティア\x024\n\x0E\x03\x02\x18\x16E003_セレスティア\nJe suis à la tête de notre groupe.\x0E\x04\x02\x00
MID_OP2_#052	Le nom « Zelestia des Quatre Zéphyrs »\nbénéficie déjà d'une certaine popularité...\x0E\x04\x00\x00
MID_OP2_#053	\x0E\x03\x00\x1A\x14E003_グレゴリー\x024\n\x0E\x03\x02\x16\x14E003_グレゴリー\nReste à savoir si les gens se souviennent avant\ntout de ton titre de général ou de ton\ntempérament mémorable...\x0E\x04\x00\x00
MID_OP2_#054	\x0E\x03\x00\x1C\x16E003_セレスティア\x024\n\x0E\x03\x02\x18\x16E003_セレスティア\nQu'as-tu dit ?!\x0E\x04\x00\x00
MID_OP2_#055	\x0E\x03\x00\x1A\x14E003_グレゴリー\x024\n\x0E\x03\x02\x16\x14E003_グレゴリー\nEuh... Rien, rien ! Pas besoin de s'échauffer !\x0E\x04\x00\x00
MID_OP2_#056	\x0E\x03\x02\x0A\x08リュール\nQuel était ce bruit ?\x0E\x04\x00\x00
MID_OP2_#057	\x0E\x03\x02\x10\x0EE003_イル\nQuelqu'un nous attaque ?!\x0E\x04\x00\x00
MID_OP2_#058	\x0E\x03\x02\x16\x14E003_グレゴリー\nHa ha... On dirait que mes poursuivants m'ont\nretrouvé. Désolé, je croyais les avoir semés.\x0E\x04\x00\x00
MID_OP2_#059	\x0E\x03\x02\x10\x0EE003_エル\nExpliquez-vous, Gregory.\x0E\x04\x00\x00
MID_OP2_#060	\x0E\x03\x02\x16\x14E003_グレゴリー\nEh bien... On m'a repéré... durant ma mission\nde reconnaissance... J'ai couru aussi vite que\nj'ai pu, mais... on dirait bien qu'ils m'ont suivi.\x0E\x04\x00\x00
MID_OP2_#061	\x0E\x03\x02\x10\x0EE003_イル\nUn, deux, trois... Pas la peine de compter,\nl'ennemi nous surpasse en nombre aisément.\x0E\x04\x02\x00
MID_OP2_#062	Nous ferions mieux de fuir.\x0E\x04\x00\x00
MID_OP2_#063	\x0E\x03\x02\x0A\x08リュール\nAttendez. Pourquoi ne pas les affronter ?\x0E\x04\x00\x00
MID_OP2_#064	\x0E\x03\x02\x10\x0EE003_エル\nNos poursuivants sont vraisemblablement des\ngardes postés à la frontière. Ils ne porteront\ndonc pas le bracelet sur eux.\x0E\x04\x02\x00
MID_OP2_#065	Ce combat amenuiserait inutilement nos forces.\x0E\x04\x00\x00
MID_OP2_#066	\x0E\x03\x02\x16\x14E003_グレゴリー\nVous voulez fuir ? Je suis votre homme.\nPar ici, tout le monde, suivez-moi !\x0E\x04\x00\x00
MID_OP3_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x14\x0EE003_イル\x022\n\x0E\x03\x00\x14\x0EE003_エル\x023\n\x0E\x03\x00\x1A\x14E003_グレゴリー\x024\n\x0E\x03\x02\x16\x14E003_グレゴリー\nNous devrions être en sécurité ici.\nRestons cachés là un moment.\x0E\x04\x00\x00
MID_OP3_#002	\x0E\x03\x02\x10\x0EE003_イル\nJ'en profite, Votre Divinité...\x0E\x04\x02\x00
MID_OP3_#003	Nous sommes conscients de votre inclination\nau combat, mais nous sommes habitués aux\ntactiques d'un type plus... défensif.\x0E\x04\x00\x00
MID_OP3_#004	\x0E\x03\x02\x0A\x08リュール\nJe vois. Vous choisissez les batailles que\nvous jugez nécessaires.\x0E\x04\x00\x00
MID_OP3_#005	\x0E\x03\x02\x16\x14E003_グレゴリー\nExactement. Comment aurions-nous survécu\naussi longtemps sinon ?\x0E\x04\x02\x00
MID_OP3_#006	Ce n'est pas une bravoure inconsidérée qui\nnous sauve, mais une fuite opportune.\x0E\x04\x00\x00
MID_OP3_#007	\x0E\x03\x02\x10\x0EE003_エル\nÀ côté de notre mission pour remettre les\nEmblèmes en sommeil, nous ne sommes pas\nen mesure de chercher querelle à quiconque.\x0E\x04\x00\x00
MID_OP3_#008	\x0E\x03\x00\x1C\x16E003_セレスティア\x024\n\x0E\x03\x02\x18\x16E003_セレスティア\nSi seulement les Quatre Zéphyrs avaient la\nmême force que les ordres de chevaliers des\nautres nations, les choses seraient différentes...\x0E\x04\x02\x00
MID_OP3_#009	Malheureusement, c'est loin d'être le cas.\nJe crains que nous soyons une déception.\x0E\x04\x00\x00
