MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リンデン\x021\n\x0E\x03\x00\x10\nザフィーア\x022\n\x0E\x03\x02\x0C\nザフィーア\nPardonnez-moi, Lindon. Puis-je vous poser\nune question un peu bizarre ?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08リンデン\nJe vous écoute, Saphir.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nザフィーア\nEh bien...\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nザフィーア\nEn fait, non... Laissez tomber. J'ai rien dit.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08リンデン\nHmm. Quoi que ce fut, vous n'aviez pas\nl'air de plaisanter.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08リンデン\nJ'ai aussi senti une certaine douleur, comme si\nquelque chose pesait sur votre cœur.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08リンデン\nAlors je vous conseille de crever l'abcès.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nザフィーア\nSoit.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nザフィーア\nIl y a une trentaine d'années... vous étiez déjà\nsoldat dans l'armée d'Elusia, pas vrai ?\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08リンデン\nC'est exact.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08リンデン\nJ'ai rejoint l'armée en tant que soldat royal très\npeu de temps après avoir obtenu mon diplôme\nde l'académie nationale d'Elusia.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nザフィーア\nDans ce cas, à cette époque, vous avez sans\ndoute participé à des campagnes contre Brodia.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08リンデン\nOui... Oui, c'est vrai.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nザフィーア\nSI je vous donnais le nom d'une ville ou d'un\nvillage, en Brodia... vous sauriez me dire si...\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0C\nザフィーア\nNon, ça se fait pas.\nJ'aurais jamais dû en parler.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08リンデン\nSaphir, je...\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0C\nザフィーア\nDésolée pour le dérangement.\nJ'espère que vous m'avez pas trouvée impolie.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x01\x0C\nザフィーア\n\x0E\x03\x02\x0A\x08リンデン\nEh bien. Voilà un sujet à creuser...\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リンデン\x021\n\x0E\x03\x00\x10\nザフィーア\x022\n\x0E\x03\x02\x0A\x08リンデン\nSaphir, auriez-vous un moment à m'accorder ?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0C\nザフィーア\nBien entendu, Lindon. De quoi s'agit-il ?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08リンデン\nVous avez vu juste en supposant que j'étais\nun soldat elusien il y a 30 ans.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08リンデン\nCela dit, mes campagnes ne m'ont jamais amené\ndans un village de pêcheurs.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0C\nザフィーア\nVous avez étudié la question.\nEt vous savez d'où je viens.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08リンデン\nTout à fait.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nザフィーア\nD'accord, je vais cracher le morceau.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nザフィーア\nElusia a attaqué mon village il y a 30 ans.\nBeaucoup d'habitants sont morts... dont mes\nparents.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nザフィーア\nAllez pas croire que j'aie soif de vengeance\nou quoi que ce soit. Je recherche pas ceux\nqui les ont tués.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0C\nザフィーア\nMais si vous étiez un soldat elusien à l'époque...\nje peux pas m'empêcher de me dire que...\x0E\x04\x00\x00
