MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x0A\x08リュール\nQuel est cet endroit, Lucina ? Je ressens\nun pouvoir magique ici.\x0E\x04\x00\x00
MID_OP1_#002	\x0E\x03\x02\x08\x06ルキナ\nOn dirait l'arène de Ferox. Voilà qui est\nfort étrange.\x0E\x04\x00\x00
MID_OP1_#003	\x0E\x03\x02\x0A\x08リュール\nFerox ? C'est quelque part dans votre monde ?\x0E\x04\x00\x00
MID_OP1_#004	\x0E\x03\x02\x08\x06ルキナ\nOui. Ferox est un royaume divisé entre l'Est\net l'Ouest dont chaque moitié est gouvernée\npar un khan.\x0E\x04\x00\x00
MID_OP1_#005	\x0E\x03\x02\x08\x06ルキナ\nRégulièrement, un tournoi a lieu pour\ndéterminer quel khan régnera sur tous.\x0E\x04\x00\x00
MID_OP1_#006	\x0E\x03\x02\x08\x06ルキナ\nJ'ai croisé le fer avec mon père dans l'arène\nde Ferox.\x0E\x04\x00\x00
MID_OP1_#007	\x0E\x03\x02\x0A\x08リュール\nIl vous a appris à manier l'épée, c'est ça ?\nÇa a dû être un duel intéressant, sinon féroce.\x0E\x04\x00\x00
MID_OP1_#008	\x0E\x03\x02\x08\x06ルキナ\nOui, c'était un rude combat. Il ignorait qui\nj'étais et n'a pas retenu ses coups.\x0E\x04\x00\x00
MID_OP1_#009	\x0E\x03\x02\x08\x06ルキナ\nIl m'a bien entraînée, mais ce combat m'a fait\ncomprendre à quel point mon père était fort.\x0E\x04\x00\x00
MID_OP1_#010	\x0E\x03\x02\x08\x06ルキナ\nÇa doit être la raison pour laquelle cet endroit\na été choisi pour l'épreuve.\x0E\x04\x00\x00
MID_OP1_#011	\x0E\x03\x02\x0A\x08リュール\nL'épreuve ? Qu'est-ce que ça signifie ?\x0E\x04\x00\x00
MID_OP1_#012	\x0E\x03\x02\x08\x06ルキナ\nVous avez dit ressentir un étrange pouvoir ici.\nPouvez-vous me le décrire ?\x0E\x04\x00\x00
MID_OP1_#013	\x0E\x03\x02\x0A\x08リュール\nC'est comme si je ressentais votre pouvoir...\nMais aussi comme si vous étiez loin de moi.\x0E\x04\x00\x00
MID_OP1_#014	\x0E\x03\x02\x08\x06ルキナ\nDans ce cas, sortez votre arme et affrontez-moi.\nSi vous triomphez de cette épreuve,\nnos liens en seront renforcés.\x0E\x04\x00\x00
MID_OP1_#015	\x0E\x03\x02\x08\x06ルキナ\nAvec un lien plus étroit, vous pourrez tirer\ndavantage de mon pouvoir en tant qu'Emblème.\x0E\x04\x00\x00
MID_OP1_#016	\x0E\x03\x02\x0A\x08リュール\nJ'espère pouvoir en apprendre autant que vous\ndans cette arène.\x0E\x04\x00\x00
