MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06アンナ\x022\n\x0E\x03\x02\x08\x06アンナ\nHmm. Je dois pas m'y prendre comme il faut.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08リュール\nQuelque chose vous ennuie, Anna ?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x08\x06アンナ\nC'est « Mademoiselle Anna », déjà ! Mais si\nvous voulez tout savoir, je me creuse la cervelle\npour trouver de nouveaux articles.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08リュール\nÀ vendre sur votre étal, vous voulez dire ?\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06アンナ\nBen oui. La Fête des Amoureux, vous\nconnaissez ?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08リュール\nJe crois en avoir entendu parler. Les couples se\nfont des cadeaux, ce jour-là, c'est bien ça ?\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06アンナ\nC'est ça.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06アンナ\nEn général, c'est un bouquet de fleurs. Au\ndébut, c'est sympa, mais tous les ans... Disons\nqu'au bout d'un moment, la lassitude s'installe.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06アンナ\nAlors moi, je cherche l'idée qui va tout\nchanger, celle qui va bousculer les traditions\net révolutionner la Fête des Amoureux !\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08リュール\nRien que ça !\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06アンナ\nJ'ai pas besoin de votre ton paternaliste, Votre\nDivinité ! Si vous voulez m'aider, par contre,\nc'est pas de refus.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06アンナ\nJ'ai rien trouvé d'exceptionnel, jusqu'ici.\nÇa serait bien d'avoir un regard extérieur\nsur la question.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08リュール\nHmm... Voyons voir. Un cadeau original pour la\nFête des Amoureux...\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08リュール\nUn collier, peut-être ?\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06アンナ\nHa ha ha ! Mes abonnés aux bouquets de fleurs\nn'auraient pas dit mieux !\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06アンナ\nLes colliers et les fleurs, c'est kif-kif : vieux jeu\nau possible. Moi je veux du neuf, du percutant !\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08リュール\nJe vois.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x08\x06アンナ\nMes clients, ce qu'ils veulent, c'est quelque\nchose qu'on trouve pas ailleurs. Un truc spécial,\nabsolument unique !\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x08\x06アンナ\nIl faut toujours dénicher des produits innovants,\ndans ma branche. C'est ça, le plus difficile !\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0A\x08リュール\nTrès bien, je vais poursuivre ma réflexion.\nNous allons bien finir par trouver !\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06アンナ\x022\n\x0E\x03\x02\x0A\x08リュール\nBonjour, Mademoiselle Anna. Avez-vous fini par\ntrouver une idée de nouvel article à proposer ?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06アンナ\nNon. Pas la moindre idée à l'horizon.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06アンナ\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08リュール\nOh... mais vous pleurez ?\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06アンナ\nNon !\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06アンナ\nJ'ai juste pris un petit coup au moral. J'arrête\npas de dire à tout le monde de pas me traiter\ncomme une gamine...\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06アンナ\nMais y a des situations comme celle-là qui\nme rappellent qu'en fait si, je suis rien qu'une\ngamine, point.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06アンナ\nC'est pour ça que j'arrive pas à trouver d'idée\npour la Fête des Amoureux.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08リュール\nJe suis désolé\x0E\x0A\x00\x06
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06アンナ\nAh bon ?\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08リュール\nJ'ai trouvé une idée d'article qui devrait\nvous plaire.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08リュール\nCela fait déjà un moment que j'y pense, à vrai\ndire... Enfin voilà : des colliers faits main.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06アンナ\nDes colliers ? Encore ? Je vous ai déjà dit que\nça n'allait pas !\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08リュール\nJe sais bien, vous avez dit que c'était un\ncadeau de Fête des Amoureux tout sauf\noriginal.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08リュール\nMais si vous les réalisez vous-même, chacun\nd'eux serait parfaitement unique. C'est ce que\nvous vouliez, je crois ?\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08リュール\nJe crois me souvenir que les artisans de votre\nrégion sont de talentueux souffleurs de verre.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08リュール\nAjoutez une ficelle, et vous avez votre collier !\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x08\x06アンナ\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08リュール\nC'est une si mauvaise idée que ça ?\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x08\x06アンナ\nNon, non, j'aime bien ! Ça pourrait même faire\nun carton.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x08\x06アンナ\nAh, merci tout plein, Votre Divinité !\nVous m'avez regonflée un max !\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0A\x08リュール\nRavi\x0E\x0A\x00\x06
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06アンナ\x022\n\x0E\x03\x02\x0A\x08リュール\nComment avancent vos colliers ?\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06アンナ\nHé, Votre Divinité ! J'ai le plaisir de vous dire\nque c'est à moitié fini.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08リュール\nOuah. Ils sont mignons comme tout.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06アンナ\nC'est grâce à votre idée. Sérieux, merci.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06アンナ\nJe m'excuse d'avoir pleurniché, avant. Si cette\naffaire roule, vous n'entendrez plus jamais de\nplaintes de ma part.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08リュール\nC'est très adulte de votre part.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08リュール\nMême si tout le monde se plaint de temps\nà autres. Y compris les adultes.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08リュール\nSi vous rencontrez des difficultés, vous\npouvez toujours venir m'en parler.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06アンナ\nC'est trop gentil de votre part ! Je vous dois une\nfière chandelle sur ce coup-là, Votre Divinité.\x0E\x04\x00\x00
