MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0A\x04エル\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nJe n'en reviens pas. Ce roman est un pur\nchef-d'œuvre.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x06\x04エル\nBonsoir, jeune prince. Vous avez fini\nvotre séance de lecture ?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0E\x0Cディアマンド\nDame Nel, quelle surprise !\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x06\x04エル\nVraiment ? Voilà un moment que j'attends\nl'occasion de m'entretenir avec vous.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0E\x0Cディアマンド\nÀ quel sujet ?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x06\x04エル\nNaturellement, vous n'ignorez pas que je suis\nla progéniture de Sombron, le Dragon déchu.\x0E\x04\x02\x00
MID_RELIANCE_C_#007	Nos ascendances respectives n'ont certes rien\nen commun, mais nous demeurons tous deux\nde sang royal.\x0E\x04\x02\x00
MID_RELIANCE_C_#008	N'ayant jamais réussi à comprendre mon père...\nJ'espérais que vous me parleriez un peu\ndu vôtre.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0E\x0Cディアマンド\nJ'ai passé ma vie à essayer de lui ressembler,\nmais moi non plus, je ne suis pas toujours\nparvenu à le comprendre.\x0E\x04\x02\x00
MID_RELIANCE_C_#010	Sa réputation de grandeur repose sur sa\npuissance militaire. Mais ce n'est pas ainsi\nque j'entends gouverner.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x06\x04エル\nVous nourrissez donc des divergences\nidéologiques ?\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0E\x0Cディアマンド\nEn effet. Nous avons eu notre lot de conflits\nau sujet de l'avenir de Brodia.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x06\x04エル\nMais cette défiance à l'égard de Sa Majesté\nvotre père ne vous a pas valu une condamnation\nà mort. Comment cela se fait-il ?\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0E\x0Cディアマンド\nQuelle question ! Personne ne se fait exécuter\npour un simple désaccord en Brodia.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x06\x04エル\nJe vois. Contrairement à votre père, le seigneur\nSombron préférait étouffer dans le sang les voix\ndiscordantes.\x0E\x04\x02\x00
MID_RELIANCE_C_#016	Il n'était pas envisageable de lui tenir tête.\nPour survivre, il fallait obéir.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0E\x0Cディアマンド\nJe n'ose même pas imaginer l'existence qui a\ndû être la vôtre, soumise à une telle tyrannie.\nJe suis navré.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x06\x04エル\nInutile de vous tourmenter.\nTout cela est derrière moi.\x0E\x04\x02\x00
MID_RELIANCE_C_#019	Votre témoignage au sujet de votre père\nm'a beaucoup appris. J'espère que nous\nreparlerons ensemble.\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0E\x0Cディアマンド\nJ'en suis certain.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0A\x04エル\x022\n\x0E\x03\x02\x06\x04エル\nComme nous nous retrouvons, jeune prince.\nM'accorderez-vous une autre conversation ?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0E\x0Cディアマンド\nJ'en serais ravi.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x06\x04エル\nVos propos au sujet de Brodia ont éveillé ma\ncuriosité. Je voulais en apprendre davantage\nsur votre royaume.\x0E\x04\x02\x00
MID_RELIANCE_B_#004	C'est pourquoi j'ai pris la liberté de me rendre\ndans la ville fortifiée et d'y glaner quelques\ninformations.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0E\x0Cディアマンド\nVous avez fait tout le voyage jusqu'au château ?\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x06\x04エル\nCe n'est guère loin pour un dragon. La véritable\ndifficulté était de demeurer incognito, mais\nj'y suis parvenue.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0E\x0Cディアマンド\nJe vous crois sur parole.\nEt donc, qu'avez-vous appris ?\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x06\x04エル\nOn m'a beaucoup parlé du jeune prince\nDiamant, et du merveilleux roi qu'il deviendrait.\x0E\x04\x02\x00
MID_RELIANCE_B_#009	Nul ne semble douter que son règne sera\nencore plus remarquable que celui de son père.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0E\x0Cディアマンド\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x06\x04エル\nCela vous surprendra peut-être venant de moi,\nmais j'étais ravie d'entendre cela.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0E\x0Cディアマンド\nMerci, Dame Nel, mais je ne peux décemment\naccepter un tel éloge.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x06\x04エル\nExpliquez-vous.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0E\x0Cディアマンド\nJe suis heureux d'entendre que j'ai une bonne\nréputation, mais admettons un instant que\nce ne soit pas le cas...\x0E\x04\x02\x00
MID_RELIANCE_B_#015	Imaginons que tout le monde au château vous\nait expliqué que je ferais un roi lamentable.\x0E\x04\x02\x00
MID_RELIANCE_B_#016	Croiriez-vous également ces témoignages\nsur parole ?\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x06\x04エル\nÉvidemment que non... Vous cherchez à\nm'expliquer que de telles rumeurs doivent\nêtre prises avec précaution, je suppose.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0E\x0Cディアマンド\nEn effet. Vous vous demandez si je suis digne\nd'être roi ? Alors jugez-en par vous-même.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x06\x04エル\nVous avez raison. Je n'aurais pas dû tirer\nde conclusions si hâtives.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0E\x0Cディアマンド\nVous ne cherchiez qu'à me faire plaisir.\nJ'espère ne pas vous avoir offensée.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x06\x04エル\nBien sûr que non. Par ailleurs, vous avez\nparfaitement raison.\x0E\x04\x02\x00
MID_RELIANCE_B_#022	Et puisque vous m'y invitez, je vais en effet\njuger par moi-même de votre mérite.\x0E\x04\x02\x00
MID_RELIANCE_B_#023	Vous voilà prévenu : je scruterai vos faits et\ngestes afin de déterminer si vous êtes digne\ndu trône.\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0E\x0Cディアマンド\nHa ha ! Je n'en attendais pas moins de vous.\x0E\x04\x02\x00
MID_RELIANCE_B_#025	D'ici là, je vous promets de faire de mon mieux,\nDame Nel.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0A\x04エル\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nBonjour, Dame Nel.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x06\x04エル\nJeune prince... Je n'ai eu de cesse de vous\nobserver depuis notre dernier entretien.\x0E\x04\x02\x00
MID_RELIANCE_A_#003	Et il ressort de mon étude approfondie que\nvous ferez décidément un excellent roi.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0E\x0Cディアマンド\nVous m'en voyez honoré.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x06\x04エル\nVotre force physique n'a d'égale que la vivacité\nde votre esprit, vous avez une volonté d'airain...\x0E\x04\x02\x00
MID_RELIANCE_A_#006	Et vous êtes capable de conserver un regard\nimpartial même quand la pression se fait\nécrasante.\x0E\x04\x02\x00
MID_RELIANCE_A_#007	La conclusion s'impose : sous votre règne,\nle royaume connaîtra une grande prospérité.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0E\x0Cディアマンド\nVoilà un merveilleux éloge. Je vous remercie.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x06\x04エル\nInutile de me remercier. Je ne fais qu'exprimer\nmon opinion.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0E\x0Cディアマンド\nAlors à mon tour d'exprimer la mienne. Vous\nfaites preuve d'une gentillesse, d'une sagesse\net d'une ténacité qui forcent le respect.\x0E\x04\x02\x00
MID_RELIANCE_A_#011	Je vous ai vue vous jeter contre de puissants\nennemis pour sauver vos camarades, au mépris\ndu danger.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x06\x04エル\nJe suis un dragon. La résistance supérieure dont\nnous bénéficions nous autorise de tels gestes.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0E\x0Cディアマンド\nSi nulle bonté n'irrigue son cœur, même le plus\npuissant des dragons s'abstiendra de protéger\nqui que ce soit.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x06\x04エル\nSans doute.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0E\x0Cディアマンド\nOr, j'ai également eu l'occasion d'être témoin\nde votre compassion sur le champ de bataille.\x0E\x04\x02\x00
MID_RELIANCE_A_#016	Vous adorez la vie sous toutes ses formes,\nd'ailleurs. Un jour, je vous ai vue replanter\nune fleur piétinée.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x06\x04エル\nJe vois que vous m'avez observée de près.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0E\x0Cディアマンド\nJe vous devais bien cela.\x0E\x04\x02\x00
MID_RELIANCE_A_#019	C'est une gageure d'être un Dragon déchu venu\nd'un autre monde, mais vous n'en laissez rien\nparaître.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x06\x04エル\nJe vous remercie pour ce compliment.\x0E\x04\x02\x00
MID_RELIANCE_A_#021	J'étais à des lieues de penser que vous\nm'observiez ainsi. Vous êtes encore plus\nintéressant que je ne le croyais.\x0E\x04\x02\x00
MID_RELIANCE_A_#022	Je devrais peut-être vous étudier davantage.\nIl semble que j'aie encore beaucoup à\napprendre.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0E\x0Cディアマンド\nHé hé... Vous en profiterez peut-être pour\nretirer certains éloges après avoir constaté\nmes lacunes.\x0E\x04\x02\x00
MID_RELIANCE_A_#024	D'ici là, je me réjouis de passer davantage de\ntemps avec vous. Je suis sûr que nous nous\nentendrons à merveille.\x0E\x04\x00\x00
