MID_SYS_Difficulty_Normal	Normal
MID_H_Difficulty_Normal	Joueurs débutants et intermédiaires
MID_SYS_Difficulty_Hard	Difficile
MID_H_Difficulty_Hard	Joueurs expérimentés
MID_SYS_Difficulty_Lunatic	Expert
MID_H_Difficulty_Lunatic	Amateurs de défi
MID_SYS_Mode_Select	Choisissez un mode.
MID_SYS_Mode_Casual	Débutant
MID_H_Mode_Casual	Les unités perdues reviennent\ndans la bataille suivante.
MID_SYS_Mode_Classic	Classique
MID_H_Mode_Classic	Les unités perdues le sont définitivement.\nChaque décision est capitale.
MID_SYS_Grow_Random	Aléatoire
MID_H_Grow_Random	Quand le niveau d'une unité augmente, ses\ncaractéristiques s'améliorent aléatoirement en\ntenant compte du type et de la classe de l'unité.
MID_SYS_Grow_Fixed	Fixe
MID_H_Grow_Fixed	Quand le niveau d'une unité augmente, ses\ncaractéristiques s'améliorent uniquement en\nfonction du type et de la classe de l'unité.
MID_Decision	OK
MID_ToNext	Suite
MID_SYS_BattleRecord	Stats bataille
MID_SYS_Time	Temps :
MID_SYS_None	-
MID_SYS_Battle_Count	 bat.
MID_SYS_Win_Count	 vict.
MID_SYS_FoughtTogetherGod	Emblème le plus utilisé
MID_SYS_TypeSection	Division de classe
MID_SYS_SeniorPosition	Avancée
MID_SYS_BasicPosition	Base
MID_SYS_SpecialPosition	Spéciale
MID_SYS_Position	Classe \x0E\x01\x00\x00
MID_SYS_UseWeapon	Armes
MID_SYS_TypeOfWepon_1	Type 1
MID_SYS_TypeOfWepon_2	Type 2
MID_SYS_Status	Carac. de combat
MID_SYS_Capability	Carac. de base
MID_SYS_EquipedStatus	Carac. util.
MID_SYS_Spec	Performance
MID_SYS_Detail	Détails
MID_SYS_EngageWeapon	Armes fusion
MID_SYS_Class	Classe
MID_SYS_Item	Objets
MID_SYS_Skill	Techniques
MID_SYS_SP	PT
MID_H_INFO_SP	Points de technique. Permettent\nd'hériter de techniques d'Emblèmes.
MID_SYS_Rating	Éval.
MID_H_INFO_Rating	Somme des caractéristiques\nprincipales de l'unité.
MID_SYS_LV	Niv
MID_H_INFO_LV	Indicateur de la force globale de\nl'unité. Augmente avec l'expérience.\n\x0E\x01\x00\x00 EXP jusqu'au niveau suivant.
MID_H_INFO_LV_MAX	Indicateur de la force globale de\nl'unité. Augmente avec l'expérience.\nL'unité a atteint le niveau maximum.
MID_H_INFO_LV_ENEMY	Indicateur de la force globale de\nl'unité. Augmente avec l'expérience.
MID_H_INFO_BOND_LV	Indicateur du lien entre l'unité et\nl'Emblème. Plus ce lien est fort, plus\nl'Emblème lui confère de puissance.
MID_SYS_Exp	EXP
MID_SYS_HP_MAX_UP	PV max
MID_SYS_HP	PV
MID_H_INFO_HP	Points de vie. L'unité est vaincue\ns'ils tombent à zéro.
MID_H_COMBAT_INFO_HP	Une prévision de l'impact du combat\nsur les PV des unités impliquées.
MID_SYS_Str	Frc
MID_H_INFO_Str	Force. Pondère les dégâts infligés\npar une attaque physique.
MID_SYS_Mag	Mag
MID_H_INFO_Mag	Magie. Pondère les dégâts infligés\npar une attaque magique.
MID_SYS_Tec	Tec
MID_H_INFO_Tec	Technique. Pondère la précision\net les chances de porter un coup\ncritique.
MID_SYS_Spd	Vit
MID_H_INFO_Spd	Vitesse. Pondère l'esquive. L'unité\nattaque deux fois si sa vitesse\ndépasse celle de l'ennemi de 5.
MID_SYS_Lck	Cha
MID_H_INFO_Lck	Chance. Effets multiples. Pondère les\nchances d'éviter les coups critiques.
MID_SYS_Def	Déf
MID_H_INFO_Def	Défense. Réduit les dégâts reçus\nlors d'une attaque physique.
MID_SYS_Res	Rés
MID_H_INFO_Res	Résistance. Réduit les dégâts reçus\nlors d'une attaque magique.
MID_SYS_Mov	Mvt
MID_H_INFO_Mov	Mouvement. Distance en cases\nque l'unité peut parcourir.
MID_SYS_Phy	Cst
MID_H_INFO_Phy	Constitution. Évite que les armes\nlourdes ne réduisent la vitesse\nd'attaque.
MID_SYS_Vis	Vis
MID_H_INFO_Vis	Vision. Distance à laquelle l'unité\npeut voir dans l'obscurité ou dans\ndes conditions similaires.
MID_SYS_Atk	Atq
MID_SYS_Dmg	Dgt
MID_H_INFO_Atk	Attaque. Pondère les dégâts des\nattaques physiques ou magiques.
MID_H_COMBAT_INFO_Dmg	La quantité de dégâts infligés\nà l'ennemi en cas de coup.
MID_SYS_Weapon_Attack	Atq p
MID_SYS_H_Weapon_Attack	Attaque physique. Puissance des\nattaques menées avec une arme\nphysique.
MID_SYS_Magic_Attack	Atq m
MID_SYS_H_Magic_Attack	Attaque magique. Puissance des\nattaques menées avec une arme\nmagique.
MID_SYS_Special_Attack	Spcl
MID_SYS_H_Special_Attack	Attaque spéciale. Puissance des\nattaques spéciales ignorant la\ndéfense et la résistance des ennemis.
MID_SYS_Hit	Prc
MID_H_INFO_Hit	Précision. Pondère les chances\nde réussir à toucher l'ennemi.
MID_H_COMBAT_INFO_Hit	Précision des attaques\net autres effets.
MID_SYS_Avo	Esq
MID_H_INFO_Avo	Esquive. Pondère les chances\nd'esquiver une attaque ennemie.
MID_SYS_Crit	Crit
MID_H_INFO_Crit	Critique. Pondère les chances\nde porter un coup critique\n(dégâts triplés).
MID_H_COMBAT_INFO_Crit	Chances de porter un coup\ncritique.
MID_SYS_Secure	Évit
