MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x10\nザフィーア\x022\n\x0E\x03\x02\x0C\nザフィーア\nOK ! Super chasse aujourd'hui. Bien joué.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nザフィーア\nJ'aurais jamais pu en ramener autant sans\nvous, Prince Alcryst. Merci d'être venu !\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nスタルーク\nOh, je t'ai à peine aidée. C'est principalement\nton œuvre, Saphir.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nザフィーア\nHa ha ha ! Toujours aussi modeste, je vois !\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nザフィーア\nMaintenant qu'on a de la viande pour un bout\nde temps, on pourrait aller pêcher la prochaine\nfois.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0C\nザフィーア\nÇa vous dit de m'accompagner ?\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nスタルーク\nMoi ? Je n'ai pas beaucoup d'expérience\nde la pêche...\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nザフィーア\nVous en faites pas. Je vous montrerai\ncomment on fait.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nスタルーク\nJ'aurais de la peine pour le poisson. Se faire\nextirper de l'eau par un nul comme moi...\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0C\nザフィーア\nHa ha ha !\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nザフィーア\nJe suis sûre que la dernière chose dont un\npoisson se soucie, c'est de qui l'attrape.\nVous en faites pas.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nスタルーク\nÇa m'étonnerait aussi que j'attrape quoi que ce\nsoit. Mes appâts seront forcément décevants,\nrien qui mérite une bouchée.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0C\nザフィーア\nC'est ridicule. Restez avec moi et je vous\npromets que vous en attraperez plein.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nザフィーア\nDe toute façon, la meilleure partie, ce sera\nquand je vous montrerai comment ça se cuisine.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0C\nスタルーク\nTu vas m'apprendre à préparer du poisson ?\nVraiment ?\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0C\nスタルーク\nDans ce cas... peut-être que je vais essayer.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0C\nザフィーア\nVoilà ce que je voulais entendre !\nConsidérez-vous comme invité la prochaine\nfois que j'y vais !\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0C\nスタルーク\nOui, s'il te plaît ! Merci, Saphir.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x10\nザフィーア\x022\n\x0E\x03\x02\x0C\nザフィーア\nVous êtes sacrément doué pour la pêche,\nPrince Alcryst ! C'est une prise énorme !\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0C\nスタルーク\nJ'admets en être le premier surpris.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nザフィーア\nUn maître pêcheur sommeillait en vous.\nCes poissons vous ont pas vu venir.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0C\nスタルーク\nTu penses que nous en avons assez pour\npréparer un repas complet ?\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0C\nザフィーア\nCarrément. On a ce qu'il faut,\nfaites-moi confiance.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0C\nスタルーク\nFormidable ! J'ai hâte d'apprendre...\nNous commencerons dès notre retour,\nn'est-ce pas, Saphir ?\x0E\x04\x00\x00
