MID_GR_Lueur_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06カムイ\x022\n\x0E\x03\x02\x08\x06カムイ\nJ'ai passé la majeure partie de mon enfance\ncloîtrée dans un château. Tout me semblait\nnouveau quand j'en suis sortie.\x0E\x04\x00\x00
MID_GR_Lueur_C_#002	\x0E\x03\x02\x0A\x08リュール\nJe connais ça. On dirait que nos vies ne sont\npas si différentes.\x0E\x04\x00\x00
MID_GR_Lueur_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06カムイ\x022\n\x0E\x03\x02\x0A\x08リュール\nSouvent, les choix qui s'offrent à moi au\ncombat sont si lourds qu'ils me paralysent.\x0E\x04\x00\x00
MID_GR_Lueur_B_#002	\x0E\x03\x02\x08\x06カムイ\nJe sais ce que c'est. Parfois, je me demande\nce qui se serait passé si j'avais fait des choix\ndifférents.\x0E\x04\x00\x00
MID_GR_Lueur_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06カムイ\x022\n\x0E\x03\x02\x0A\x08リュール\nVous arrive-t-il de douter de vous-même après\navoir pris une importante décision ?\x0E\x04\x00\x00
MID_GR_Lueur_A_#002	\x0E\x03\x02\x08\x06カムイ\nIl existe un choix auquel je repense sans arrêt.\nQuoi que je choisisse, je me retrouvais\ncontrainte à blesser des êtres chers.\x0E\x04\x00\x00
MID_GR_Lueur_A_#003	\x0E\x03\x02\x08\x06カムイ\nMais je n'ai pas de regret. J'ai fait mon choix\npour les gens en qui j'avais le plus confiance.\x0E\x04\x00\x00
MID_GR_Lueur_A_#004	\x0E\x03\x02\x0A\x08リュール\nMerci. Penser aux gens en qui j'ai confiance\nest un bon repère pour toutes les décisions\ndifficiles que je devrai prendre.\x0E\x04\x00\x00
MID_GR_Vandre_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0C\x06カムイ\x022\n\x0E\x03\x02\x0C\nヴァンドレ\nVotre art du combat est certes impressionnant...\nPourtant, je ne peux réprimer quelque\ninquiétude en vous voyant sous forme humaine.\x0E\x04\x00\x00
MID_GR_Vandre_C_#002	\x0E\x03\x02\x08\x06カムイ\nOh ? Vous me rappelez celui qui m'a entraînée\nau combat. Toujours à me couver d'un œil\nsoucieux...\x0E\x04\x00\x00
MID_GR_Vandre_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0C\x06カムイ\x022\n\x0E\x03\x02\x08\x06カムイ\nC'est un plaisir de combattre à vos côtés,\nVander. J'ai l'impression que c'est vous\nqui me protégez.\x0E\x04\x00\x00
MID_GR_Vandre_B_#002	\x0E\x03\x02\x0C\nヴァンドレ\nJe suis honoré de vous l'entendre dire, Dame\nCorrin. Puissions-nous ne jamais cesser de\nnous protéger l'un l'autre.\x0E\x04\x00\x00
MID_GR_Vandre_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0C\x06カムイ\x022\n\x0E\x03\x02\x08\x06カムイ\nVous avez toujours mille choses à faire. Si vous\nêtes las, je peux vous masser les épaules. Ou le\nvisage. Enfin, ce qu'on fait en général par ici.\x0E\x04\x00\x00
MID_GR_Vandre_A_#002	\x0E\x03\x02\x0C\nヴァンドレ\nHein ? Les Emblèmes ne peuvent rien toucher,\nsi je ne m'abuse ? Et me masser le visage ?\nEst-ce là un usage de votre monde ?\x0E\x04\x00\x00
MID_GR_Vandre_A_#003	\x0E\x03\x02\x08\x06カムイ\nOh ! Pas un usage, non. Ça se fait parfois.\nSelon l'endroit d'où on vient...\x0E\x04\x00\x00
MID_GR_Vandre_A_#004	\x0E\x03\x02\x0C\nヴァンドレ\nDame Corrin, la joie que m'a procurée votre\nproposition a évanoui toute fatigue.\x0E\x04\x00\x00
MID_GR_Clan_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0C\x06カムイ\x022\n\x0E\x03\x02\x08\x06クラン\nJ'ai l'impression de me trouver en présence\ndu Dragon divin. Comme si vous étiez...\nune puissance supérieure.\x0E\x04\x00\x00
MID_GR_Clan_C_#002	\x0E\x03\x02\x08\x06カムイ\nC'est sans doute parce que je descends de\ndragons. D'ailleurs, saviez-vous que je me\ntransformais en dragon ?\x0E\x04\x00\x00
MID_GR_Clan_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0C\x06カムイ\x022\n\x0E\x03\x02\x08\x06クラン\nEuh, Dame Corrin, ça vous a fait quoi, de\nvous transformer en dragon ? C'était bizarre,\nou ça chatouillait un peu ?\x0E\x04\x00\x00
MID_GR_Clan_B_#002	\x0E\x03\x02\x08\x06カムイ\nEn fait, ce que je ressens le plus, c'est le regard\ndes gens. Un regard plein d'effroi, d'admiration\nou de surprise. Je n'y suis pas encore habituée.\x0E\x04\x00\x00
MID_GR_Clan_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0C\x06カムイ\x022\n\x0E\x03\x02\x08\x06クラン\nJe suis toujours avec vous mais je ne vous\nai jamais vue vous transformer en dragon.\nVous pourriez le faire, là, tout de suite ?\x0E\x04\x00\x00
MID_GR_Clan_A_#002	\x0E\x03\x02\x08\x06カムイ\nJe ne peux opérer une métamorphose complète\nmaintenant, seulement transformer certaines\nparties de mon corps. Désolée de vous décevoir.\x0E\x04\x00\x00
MID_GR_Clan_A_#003	\x0E\x03\x02\x08\x06クラン\nNon, c'est moi qui m'excuse de vous demander\ndes choses si égoïstes ! Je voulais juste mieux\nconnaître ma nouvelle amie.\x0E\x04\x00\x00
MID_GR_Clan_A_#004	\x0E\x03\x02\x08\x06カムイ\nJe suis bien contente que vous me considériez\ncomme votre amie. Et d'ailleurs, est-ce que\nvous aussi, vous pouvez vous transformer ?\x0E\x04\x00\x00
MID_GR_Fram_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0C\x06カムイ\x022\n\x0E\x03\x02\x08\x06フラン\nVeiller sur le Dragon divin m'occupe beaucoup,\nmais j'ai l'impression que je devrais aussi\nveiller sur vous, Dame Corrin.\x0E\x04\x00\x00
MID_GR_Fram_C_#002	\x0E\x03\x02\x08\x06カムイ\nC'est très gentil de votre part, Framme,\nmais vous êtes encore si jeune. C'est plutôt\nmoi qui devrais veiller sur vous.\x0E\x04\x00\x00
MID_GR_Fram_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0C\x06カムイ\x022\n\x0E\x03\x02\x08\x06フラン\nVous pouvez me demander de vous rendre\ndes services, pas de souci ! D'accord, je suis\njeune, mais je suis aussi super fiable.\x0E\x04\x00\x00
MID_GR_Fram_B_#002	\x0E\x03\x02\x08\x06カムイ\nVous l'êtes sur le champ de bataille, Framme.\nPour les petites tâches du quotidien, en\nrevanche, vous êtes un peu... maladroite.\x0E\x04\x00\x00
MID_GR_Fram_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0C\x06カムイ\x022\n\x0E\x03\x02\x08\x06カムイ\nJ'espère qu'un jour, vous arriverez à me\nfaire confiance, Framme. À moins que\ncela vous semble inconcevable ?\x0E\x04\x00\x00
MID_GR_Fram_A_#002	\x0E\x03\x02\x08\x06フラン\nPas du tout, mais j'aimerais qu'on ait un signal\nsecret, rien qu'à nous deux... Comme un regard\nparticulier, ou un clin d'œil.\x0E\x04\x00\x00
