MID_GR_El_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x06\x04エル\nCela fait si longtemps que je n'ai pas eu\nle plaisir de vous parler, une vague de\nnostalgie me submerge.\x0E\x04\x00\x00
MID_GR_El_C_#002	\x0E\x03\x02\x08\x06クロム\nLe château de Lythos semble désormais\nbien loin, n'est-ce pas ? Je suis heureux\nde vous retrouver.\x0E\x04\x00\x00
MID_GR_El_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06クロム\nQuand vous m'avez mis en sommeil, je me\nsouviens m'être senti en sécurité, calme,\nserein. Possédez-vous encore ce pouvoir ?\x0E\x04\x00\x00
MID_GR_El_B_#002	\x0E\x03\x02\x06\x04エル\nPas dans ce monde, je le crains. Mais je\npeux vous chanter une berceuse, si cela\nvous aide à vous endormir.\x0E\x04\x00\x00
MID_GR_El_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06ルフレ\x022\n\x0E\x03\x00\x0C\x06クロム\x023\n\x0E\x03\x02\x06\x04エル\nVous vous faites bien rare, Daraen. Vous\nsemblez toujours plongé dans vos recherches.\x0E\x04\x00\x00
MID_GR_El_A_#002	\x0E\x03\x02\x08\x06ルフレ\nJe voulais vous demander si vous pouviez\nme chanter une berceuse. Chrom a dit que\nvous lui aviez fait cet honneur.\x0E\x04\x00\x00
MID_GR_El_A_#003	\x0E\x03\x02\x08\x06クロム\nJe n'ai jamais aussi bien dormi de toute ma vie.\nExpédiez-nous dans le royaume des rêves, et\nnous serons revigorés pour le prochain combat.\x0E\x04\x00\x00
MID_GR_El_A_#004	\x0E\x03\x02\x06\x04エル\nHa ha. D'accord, mais ne ronflez pas toute\nla matinée, d'accord ? Je n'ai aucune envie\nde faire appel à deux Emblèmes mal réveillés.\x0E\x04\x00\x00
MID_GR_Rafale_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x0C\nラファール\nAinsi, vous avez rejoint ce monde, vous aussi.\nJe vous prie de me pardonner pour les combats\nque je vous ai contraint à livrer.\x0E\x04\x00\x00
MID_GR_Rafale_C_#002	\x0E\x03\x02\x08\x06クロム\nInutile de vous excuser, faisons table rase\ndu passé. Je suis impatient de combattre\nà vos côtés.\x0E\x04\x00\x00
MID_GR_Rafale_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06クロム\nVotre discours est... différent. Pensez-vous\nque je devrais revoir ma façon de m'exprimer,\nmoi aussi, pour me donner plus d'autorité ?\x0E\x04\x00\x00
MID_GR_Rafale_B_#002	\x0E\x03\x02\x0C\nラファール\nJe n'ai plus à endosser le rôle de Nil, et c'est\nmieux ainsi, car nul ne devrait se faire passer\npour ce qu'il n'est pas.\x0E\x04\x00\x00
MID_GR_Rafale_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0C\x06ルフレ\x022\n\x0E\x03\x00\x0C\x06クロム\x023\n\x0E\x03\x02\x0C\nラファール\nJe suis surpris de vous voir, Daraen, je pensais\nque vous m'éviteriez comme la peste.\x0E\x04\x00\x00
MID_GR_Rafale_A_#002	\x0E\x03\x02\x08\x06ルフレ\nJe n'ai aucune haine envers vous, Messire Rafal.\nJe me considère un peu comme un Dragon\ndéchu, et je comprends ce que vous ressentez.\x0E\x04\x00\x00
MID_GR_Rafale_A_#003	\x0E\x03\x02\x08\x06クロム\nFaisons fi du passé et unissons nos forces\npour bâtir un monde meilleur.\x0E\x04\x00\x00
MID_GR_Rafale_A_#004	\x0E\x03\x02\x0C\nラファール\nVoilà qui est bien dit. Je dois cesser de\nregarder en arrière et me tourner vers\nl'avenir. Je vous remercie tous les deux.\x0E\x04\x00\x00
MID_GR_Selestia_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06クロム\nCouvrez-vous bien et prenez un peu de\nrepos. Vous ne serez pas d'une grande\nutilité au combat si vous attrapez froid.\x0E\x04\x00\x00
MID_GR_Selestia_C_#002	\x0E\x03\x02\x0E\x0Cセレスティア\nLa température corporelle des dragons mages\nétant supérieure à la moyenne, je ne risque\nrien, mais merci de vous inquiéter pour moi.\x0E\x04\x00\x00
MID_GR_Selestia_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\n\x0E\x03\x02\x08\x06クロム\nZelestia, rassurez-moi, ce n'est tout de même\npas vous que j'ai vu manger pour dix au café ?\x0E\x04\x00\x00
MID_GR_Selestia_B_#002	\x0E\x03\x02\x0E\x0Cセレスティア\nLes dragons mages ont un estomac dix fois\nplus gros que la moyenne. C'est véridique !\nBon... D'accord, j'avais très faim, voilà tout.\x0E\x04\x00\x00
MID_GR_Selestia_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nJe souhaite me montrer digne de l'honneur des\nQuatre Zéphyrs. Quelles sont les qualités qui\nfont un grand commandant tel que vous ?\x0E\x04\x00\x00
MID_GR_Selestia_A_#002	\x0E\x03\x02\x08\x06クロム\nJ'ai bien peu de mérite, j'avais au sein des\nVeilleurs des alliés formidables sur lesquels\nje pouvais aveuglément compter.\x0E\x04\x00\x00
MID_GR_Selestia_A_#003	\x0E\x03\x02\x08\x06クロム\nIl est même arrivé qu'un chevalier débarrasse\nles pierres jonchant mon chemin. J'agis en chef,\nil est vrai, mais je suis toujours juste.\x0E\x04\x00\x00
MID_GR_Selestia_A_#004	\x0E\x03\x02\x0E\x0Cセレスティア\nNe pas craindre de révéler ses faiblesses\nest une preuve de force en soit. Merci,\nje m'efforcerai de suivre votre exemple.\x0E\x04\x00\x00
MID_GR_Gregory_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x0C\nグレゴリー\nAu moins, quand je combats avec vous,\nj'ai même pas le temps d'avoir peur. Vous\npassez votre temps à foncer dans la mêlée !\x0E\x04\x00\x00
MID_GR_Gregory_C_#002	\x0E\x03\x02\x08\x06クロム\nC'est Daraen le tacticien du groupe, pas moi.\nEt si l'expérience du combat vous rend plus\nfort, elle peut aussi vous rendre plus courageux.\x0E\x04\x00\x00
MID_GR_Gregory_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x0C\nグレゴリー\nNous nous sommes envoyés un festin de roi,\naujourd'hui ! Attendez... Là, sur mes habits...\nC'est du sang ? Je suis en train de mourir ?\x0E\x04\x00\x00
MID_GR_Gregory_B_#002	\x0E\x03\x02\x08\x06クロム\nGardez votre calme, Gregory. Ce n'est pas du\nsang, c'est de la sauce tomate provenant du\nplat que vous avez englouti goulûment.\x0E\x04\x00\x00
