MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0E\x08ジェーデ\x022\n\x0E\x03\x02\x0A\x08ジェーデ\nAmber, puis-je te poser quelques questions...\npersonnelles ? Je recherche de la matière pour\nmon prochain roman.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08アンバー\nTu vas écrire un livre sur moi ?! Ah ouais !\nJe suis partant ! Vas-y, pose-moi tes questions.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08ジェーデ\nCommençons par une question toute simple...\nQu'est-ce que tu préfères plus que tout ?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08アンバー\nTu me poses vraiment la question ? Voyons !\nLes alpagas ! Sans hésitation ! Il n'y a rien de\nmieux au monde qu'un alpaga.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08アンバー\nJe m'occupais d'alpagas, dans mon village.\nPour les amadouer, je suis un expert...\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08ジェーデ\n« Expert pour amadouer les alpagas »...\nFormidable.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08アンバー\nJe ne plaisante pas ! Si j'avais un alpaga sous\nla main, je te ferais une petite démonstration...\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08アンバー\nMais nous sommes à des kilomètres du plus\nproche élevage d'alpagas, alors...\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08ジェーデ\nAttends... Qu'est-ce que c'est, ce bruit ?\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08アンバー\nÇa, c'est un alpaga lancé au triple galop !\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08ジェーデ\nTu as raison ! Je le vois, en effet, et il vient\ndroit par ici !\x0E\x04\x00\x00
