MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0C\x06ラピス\x022\n\x0E\x03\x02\x08\x06ラピス\nVous êtes Boucheron, c'est ça ? Je m'appelle\nLapis. Enchantée. Je suis de corvée à partir\nd'aujourd'hui.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nブシュロン\nBoucheron, c'est exact. On dirait que nous\nallons travailler ensemble. Ravi de faire ta\nconnaissance.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nブシュロン\nNe perdons pas de temps. J'ai l'impression que\ntout le monde est affamé.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nブシュロン\nVoilà, je crois qu'il y a assez de lait.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06ラピス\nAssez de lait, vous dites ?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06ラピス\nC'est beaucoup trop.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nブシュロン\nTu crois ? La quantité m'a l'air tout à fait\nraisonnable.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06ラピス\nDans ce cas, il va falloir soigner votre vue.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06ラピス\nIl y a du lait pour 10 jours.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0C\nブシュロン\nTu racontes des sornettes, il y en a\nà peine pour un repas !\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06ラピス\nC'est vous qui racontez des sornettes.\nCommencez par verser une portion\nde lait dans un bol, vous verrez.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06ラピス\nMaintenant, ajoutez dix portions d'eau.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0C\nブシュロン\nUne seconde ! À quoi bon verser de l'eau ?\nEt pourquoi en telle quantité ?\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06ラピス\nPour diluer le lait, pardi ! On m'a toujours dit\nqu'il ne fallait pas boire le lait pur.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0C\nブシュロン\nC'est nouveau.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06ラピス\nHein ?\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x08\x06ラピス\nVous vous fichez pas de moi ? Vous parlez\nsérieusement ?\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0C\nブシュロン\nJe suis parfaitement sérieux.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x08\x06ラピス\nOh...\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x08\x06ラピス\nDans ce cas, j'ai rien dit. Il faut croire que\nje me suis emmêlé les pinceaux.\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x0C\nブシュロン\nJe ne suis pas sûr de tout comprendre...\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0C\x06ラピス\x022\n\x0E\x03\x02\x08\x06ラピス\nJ'ai l'impression que nous sommes de nouveau\nde corvée ensemble.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0C\nブシュロン\nOn dirait bien.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nブシュロン\nTiens, il y a du steak, aujourd'hui !\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x08\x06ラピス\nMiam miam ! Ça a l'air appétissant !\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06ラピス\nPar ici, tout le monde ! Apportez votre riz et\nmettez-vous en file indienne.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0C\nブシュロン\nPourquoi tu appelles tout le monde ?\nIl faut servir les gens un par un.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06ラピス\nHein ? Mais il faut d'abord se remplir la panse\navec le fumet de la viande.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nブシュロン\nSe remplir avec le fumet de la viande ? Mais\nqu'est-ce que tu racontes ?\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06ラピス\nLe fumet du steak, oui.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06ラピス\nOn mange son riz pendant que le steak grille.\nComme ça, on est vite calé.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nブシュロン\nHein ?\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06ラピス\nAllons, Boucheron ! Vous êtes adulte, tout\nde même ! Vous ne pouvez pas ignorer ce\ngenre de choses.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0C\nブシュロン\nC'est une tradition brodienne, c'est ça ?\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06ラピス\nNon. C'est comme ça dans le monde entier.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nブシュロン\nQui t'a dit ça ?\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06ラピス\nMa famille. Mais pas que. Mon village entier\nme l'a dit, si vous voulez tout savoir.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0C\nブシュロン\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nブシュロン\nLapis, je crois bien que vous êtes les seuls.\nPersonne d'autre ne fait ça.\x0E\x04\x00\x00
