MID_WU_C_1_IN_#001	Je peux entrer ?
MID_WU_C_1_IN_#002	J'ai le droit, vraiment ?
MID_WU_C_1_SOON_#001	Désolé de vous réveiller...
MID_WU_C_1_SOON_#002	Mais c'est précisément\nle motif de ma présence.
MID_WU_C_1_SOON_#003	Alors bonjour, Votre Divinité.
MID_WU_C_1_WAKEUP_#001	Je ne veux pas déranger\nle Dragon divin, mais...
MID_WU_C_1_WAKEUP_#002	faillir à ma tâche serait\nencore pire. Que faire ?
MID_WU_C_1_WAKEUP_#003	Peut-être que si je commence
MID_WU_C_1_WAKEUP_#004	par murmurer doucement...
MID_WU_C_1_HELLO_#001	Bonjour, Votre Divinité.
MID_WU_C_1_HELLO_#002	Pardon. Je ne voulais pas vous faire sursauter.
MID_WU_C_1_HELLO_#003	Je serai plus discret, la prochaine fois.
MID_WU_C_2_IN_#001	La chambre du Dragon divin...
MID_WU_C_2_IN_#002	J'espère qu'il n'y a aucun piège, ici ?
MID_WU_C_2_IN_#003	Non, quelle idée saugrenue.
MID_WU_C_2_SOON_#001	Ah, vous m'avez entendu entrer.
MID_WU_C_2_SOON_#002	Je vous ai fait peur ?
MID_WU_C_2_SOON_#003	...
MID_WU_C_2_SOON_#004	Je connais ce sentiment.
MID_WU_C_2_WAKEUP_#001	Votre Divinité ?
MID_WU_C_2_WAKEUP_#002	J'espère ne pas avoir fait trop de bruit...
MID_WU_C_2_WAKEUP_#003	Comment m'y prendre ?\nJe ne veux pas vous effrayer.
MID_WU_C_2_WAKEUP_#004	Si je susurre, peut-être... pour vous\népargner une crise de panique.
MID_WU_C_2_WAKEUP_#005	Réveillez-vous, Votre Divinité...
MID_WU_C_2_HELLO_#001	Vous avez bien dormi ?
MID_WU_C_2_HELLO_#002	Ça vous convient...
MID_WU_C_2_HELLO_#003	si je vous réveille comme ça ?
MID_WU_C_2_HELLO_#004	Si j'en crois votre visage,\nje dirais que oui...
MID_WU_B_1_IN_#001	Vous êtes toujours\npar monts et par vaux...
MID_WU_B_1_IN_#002	Pas étonnant que vous ayez\ntant besoin de récupérer.
MID_WU_B_1_SOON_#001	Oh, vous ne voulez pas faire la grasse matinée ?
MID_WU_B_1_SOON_#002	J'étais prêt à patienter à vos côtés.
MID_WU_B_1_SOON_#003	Prenez votre temps, surtout.
MID_WU_B_1_WAKEUP_#001	Vous portez tant de responsabilités...
MID_WU_B_1_WAKEUP_#002	Vous ne vous laissez aucun répit.
MID_WU_B_1_WAKEUP_#003	Vous devriez faire plus attention à vous.
MID_WU_B_1_HELLO_#001	Bonjour.
MID_WU_B_1_HELLO_#002	Je suis content de vous voir debout.
MID_WU_B_1_HELLO_#003	Vous avez beaucoup dormi.
MID_WU_B_1_HELLO_#004	Ne vous en faites pas...
MID_WU_B_1_HELLO_#005	votre secret sera bien gardé.
MID_WU_B_2_IN_#001	Aïe !
MID_WU_B_2_IN_#002	Je me suis cogné l'orteil...
MID_WU_B_2_IN_#003	Argh, je souffre le martyre...
MID_WU_B_2_SOON_#001	Vous êtes réveillé\x0E\x0A\x00\x06
MID_WU_B_2_SOON_#002	Je me suis... cogné le pied.
MID_WU_B_2_SOON_#003	Attention à ces marches...
MID_WU_B_2_SOON_#004	C'est un fléau pour les orteils.
MID_WU_B_2_SOON_#005	Bien... Je vous laisse.
MID_WU_B_2_WAKEUP_#001	Ces marches sont vraiment traîtres.
MID_WU_B_2_WAKEUP_#002	Au moins, votre lit a l'air confortable.
MID_WU_B_2_WAKEUP_#003	Mais si on ajoutait quelques peluches...
MID_WU_B_2_WAKEUP_#004	il le serait encore plus.
MID_WU_B_2_HELLO_#001	Votre Divinité...
MID_WU_B_2_HELLO_#002	Pour améliorer votre sommeil...
MID_WU_B_2_HELLO_#003	procurez-vous donc des peluches.
MID_WU_B_2_HELLO_#004	Les étreindre est relaxant, croyez-moi.
MID_WU_A_1_IN_#001	Désolé de vous embêter...
MID_WU_A_1_IN_#002	mais je suis chargé de vous réveiller...
MID_WU_A_1_SOON_#001	Vous voulez continuer à dormir ?
MID_WU_A_1_SOON_#002	Je vous comprends.
MID_WU_A_1_SOON_#003	Un grand lit est rassurant...
MID_WU_A_1_SOON_#004	mais on a du mal à le quitter.
MID_WU_A_1_WAKEUP_#001	Alors, vous dormez encore ?
MID_WU_A_1_WAKEUP_#002	Allez, faites un effort...
MID_WU_A_1_WAKEUP_#003	Si vous ne vous levez pas...
