MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06カゲツ\x021\n\x0E\x03\x00\x0E\x08ゼルコバ\x022
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08ゼルコバ\nHmm...\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08ゼルコバ\nOui. Voilà qui est *acceptable.*\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06カゲツ\nZelkov ! Duel d'entraînement ! Séance tenante !\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08ゼルコバ\nYaah !\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08ゼルコバ\nEst-il bien nécessaire de me faire\n*sursauter* ainsi ?\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06カゲツ\nJe t'ai fait sursauter, peut-être ? Ha ha,\nfranchement ! Tu vaux mieux que ça.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06カゲツ\nLa garde rapprochée de son Altesse ne doit\njamais faillir ! J'attends de toi une volonté\nd'airain !\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06カゲツ\nAinsi donc, duel d'entraînement ! En garde !\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08ゼルコバ\nCroyez que je le regrette, mais je suis déjà\n*engagé* ailleurs.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06カゲツ\nOh oh, laisse-moi deviner... Des oiseaux à\nobserver ? Une poterie à terminer ?\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06カゲツ\nJe devine à ton sourire en coin que tu t'es\nencore trouvé une passion grotesque !\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08ゼルコバ\nSi vous voulez bien vous taire. Je suis en train\nde peindre et la *concentration* est primordiale.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06カゲツ\nLa peinture, donc ! Il fallait bien que ça arrive.\nAllons, pose-moi tout ça et viens te battre !\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08ゼルコバ\nJe tiens *beaucoup* à terminer mon œuvre.\nVous allez devoir vous trouver un autre\npartenaire d'entraînement.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06カゲツ\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x08\x06カゲツ\nSerais-tu en train de faire passer l'art avant\nnotre amitié, Zelkov ?\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x08\x06カゲツ\nTu es mon collègue, le seul que j'aie ! Il faut\nque nous passions du temps ensemble, c'est\nimportant.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0A\x08ゼルコバ\nHmm hmm...\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x08\x06カゲツ\nIl est déjà trop absorbé pour répondre...\nIl m'ignore complètement. Décidément,\nje me sens bien seul...\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ゼルコバ\x021\n\x0E\x03\x00\x0C\x06カゲツ\x022
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06カゲツ\nZelkov ! C'est l'heure de notre duel\nd'entraînement. Prépare-toi !\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08ゼルコバ\nJe me vois *contraint* de refuser une fois\nencore.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x08\x06カゲツ\nToujours la même rengaine ! Je ne\nte permets pas de refuser, Zelkov !\x0E\x04\x00\x00
