MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0E\x08リンデン\x022\n\x0E\x03\x02\x0C\nブシュロン\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08リンデン\nJuste ciel, qu'est-ce qui peut bien faire pleurer\nun grand gaillard comme vous ?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nブシュロン\nEh bien, euh, je suis tombé sur ce livre...\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nブシュロン\nDès les premiers instants de lecture, j'ai senti\nune larme poindre dans mon œil.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08リンデン\nC'est donc un récit tragique ? Racontez-moi.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0C\nブシュロン\nC'est l'histoire d'un grand sage appelé « L ».\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08リンデン\nOh ? Et que lui arrive-t-il donc, à ce brave L ?\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nブシュロン\nCe n'est qu'un jeune garçon, au début de\nl'histoire. Il a fini premier de sa promotion\nà l'académie elusienne.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nブシュロン\nEnsuite, il est assigné à la garde royale avant\nd'être promu au rang de vassal du prince.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08リンデン\nTrès bien, jusqu'ici je vous suis.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nブシュロン\nBien que le prince était promis au trône, c'est\nfinalement quelqu'un d'autre qui hérite de la\ncouronne.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nブシュロン\nDépité, le prince abandonne le château.\nQuant à L, pétrifié, il ne peut que regarder\ns'éloigner son prince déchu.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0C\nブシュロン\nC'était tellement émouvant que j'ai dû\ninterrompre ma lecture...\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08リンデン\nMon pauvre garçon. Prenez ceci afin de sécher\nvos larmes.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0C\nブシュロン\nMerci, Messire...\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0C\nブシュロン\nIl n'est pas rare qu'un livre m'émeuve au point\nd'en pleurer, mais celui-ci m'a profondément\ntouché pour une raison qui m'échappe...\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0C\nブシュロン\nRien que de penser à l'amertume du prince et\nau désespoir de L au moment des adieux...\nQuelle histoire tragique...\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0A\x08リンデン\nVous avez piqué ma curiosité. Si vous\npoursuivez votre lecture, racontez-moi\nla suite, je vous en prie.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0C\nブシュロン\nAvec grand plaisir.\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0A\x08リンデン\nEt vous pouvez garder le mouchoir.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0E\x08リンデン\x022\n\x0E\x03\x02\x0A\x08リンデン\nAlors, avez-vous avancé dans votre livre ?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08リンデン\nOh, mais quel malappris je fais ! Avant tout,\npermettez-moi de vous offrir cette petite\ngourmandise.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nブシュロン\nCes douceurs m'ont l'air fort appétissantes !\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08リンデン\nJe les ai confectionnées moi-même. Elles sont\nfourrées à la pomme.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0C\nブシュロン\nVous vous adonnez donc à la pâtisserie,\nMessire Lindon ?\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08リンデン\nAbsolument ! J'utilise un sort de Foudre pour\nla cuisson, le résultat est sans pareil ! Mais je\nvous en prie, faites-vous votre opinion.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nブシュロン\nBien volontiers.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nブシュロン\nÇa alors ! Quel délice ! Comme quoi, un zeste de\nmagie de Foudre peut faire toute la différence !\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08リンデン\nEh oui, n'est-ce pas ? À présent, revenons-en\nà vos lectures.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0C\nブシュロン\nAh oui... Donc, le prince pour lequel L travaillait\nn'ayant pas accédé au trône, il décide de quitter\nle château.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nブシュロン\nPar la suite, L fait la connaissance d'une soldate\nau service du roi qui lui apporte un peu de\nréconfort.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0C\nブシュロン\nIls se marient et vivent une existence\nsimple, mais heureuse.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0C\nブシュロン\nVoilà où j'en suis dans l'histoire...\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08リンデン\nMerveilleux... Cette histoire me fascine ! C'est\nque j'étais soldat du roi moi-même, voyez-vous.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08リンデン\nEt je remarque que vous ne pleurez pas,\naujourd'hui.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0C\nブシュロン\nEn réalité, j'ai bien du mal à retenir mes larmes.\nLa femme de L consent à tous les sacrifices\npour lui...\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0C\nブシュロン\nMais j'ai honte de pleurer en permanence\ndevant tout le monde. Aussi, je m'efforce\nde sauver les apparences.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08リンデン\nHé, ne vous retenez pas pour moi, voyons !\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08リンデン\nNe soyez pas gêné, je vous en prie.\nPleurez tout votre saoul, ouvrez les vannes !\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0C\nブシュロン\nVous en êtes bien sûr ? Bon, si vous le dites...\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0C\nブシュロン\nOUAAAAAH !\x0E\x04\x00\x00
