MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0E\x08アンバー\x022\n\x0E\x03\x02\x0A\x08アンバー\nChloé, écoutez un peu ! J'ai quelque chose\nà vous dire, vous n'allez pas en croire\nvos oreilles !\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06クロエ\nMais qu'est-ce qui vous excite à ce point ?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08アンバー\nVous avez déjà entendu parler de la fontaine\nde jouvence, n'est-ce pas ? Vous savez,\nla fontaine des contes ?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06クロエ\nOh oui, effectivement, ce sont là même\nles meilleures histoires ! Mais pourquoi\nme demandez-vous cela ?\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08アンバー\nHé hé !\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08アンバー\nTenez-vous bien... J'ai dégoté la seule carte qui\nnous conduira jusqu'à son emplacement !\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06クロエ\nMais... c'est incroyable !\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06クロエ\nD'autant plus que la fontaine de jouvence\nn'existe pas. Alors qu'irait-elle faire sur\nune carte ?\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08アンバー\nOui, vous avez tout compris ! C'est justement\nce qui rend la situation si extraordinaire !\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08アンバー\nSi elle n'existait pas, alors pourquoi\naurais-je une carte sur laquelle figure\nson emplacement exact ?!\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08アンバー\nAlors, Chloé, qu'est-ce que vous en dites ?\nVous voulez partir chercher la fontaine de\njouvence avec moi ?\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08アンバー\nVous connaissez les contes dans leurs moindres\ndétails. Si on fait équipe, vous et moi, rien ne\nnous arrêtera !\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06クロエ\nOui, je veux bien.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06クロエ\nEn chemin, nous verrons peut-être\ndes paysages dignes de contes de fées.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08アンバー\nVraiment, vous m'accompagnez ?\nC'est génial ! Merci, Chloé !\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08アンバー\nAllez, je n'y tiens plus ! Allons trouver\ncette fontaine de jouvence !\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0E\x08アンバー\x022\n\x0E\x03\x02\x08\x06クロエ\nJe trouve cette source superbe. Et l'eau\nfroide qu'elle nous procure n'est-elle pas\ndes plus agréables ?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08アンバー\nEh bien... je suppose que oui...\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08アンバー\nMais ce n'est pas la fontaine de jouvence !\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x08\x06クロエ\nHa ha ! Ce n'est pas grave.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06クロエ\nCertes, c'est une source normale. Mais que\nferiez-vous d'une fontaine de jouvence,\nvous qui êtes encore si jeune ?!\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08アンバー\nCe n'est pas la question !\nNous cherchons une fontaine légendaire !\x0E\x04\x00\x00
