MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nフォガート\x021\n\x0E\x03\x00\x0A\x04ボネ\x022\n\x0E\x03\x02\x0C\nフォガート\nHmm, cette souplesse en bouche !\nCe poisson grillé est tout simplement divin.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x06\x04ボネ\nCela vient simplement d'une pincée de sel.\nL'humidité est absorbée, ce qui permet\nde conserver une chair tendre.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nフォガート\nJe crois que c'est ton meilleur plat, Bunet.\nEt au vu de ce que tu as déjà préparé,\nje ne dis pas cela à la légère.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x06\x04ボネ\nC'est un peu normal. En plus d'être votre vassal,\nje suis également votre cuisinier attitré.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x06\x04ボネ\nConnaître vos goûts et cuisiner pour vous\nen conséquence relève de mon devoir.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0C\nフォガート\nJe le sais. J'ai bien de la chance.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nフォガート\nTu oublies toutefois quelque chose.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x06\x04ボネ\nQu'ai-je pu négliger ? Il n'y a pas assez de\ncitron, c'est cela ? Ou alors la présentation\nlaisse-t-elle à désirer ?\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nフォガート\nNon, je ne parle pas du plat, mais de tes titres.\nVassal, cuisinier attitré... Il en manque un.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0C\nフォガート\nMeilleur ami.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x06\x04ボネ\nAh. Vous avez raison, Fogado.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x06\x04ボネ\nIl est vrai que nous nous connaissons depuis\nfort longtemps. Nous mangions tous les jours\nensemble dans l'auberge de mes parents.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x06\x04ボネ\nEncore plus que nos repas, je chérissais\nnos longues conversations. Bien entendu,\nj'attendais le départ des clients...\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nフォガート\nJe n'oublierai jamais cette époque...\nContrairement à certains, qui ne se rappellent\nmême plus que nous étions amis...\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x06\x04ボネ\nDétrompez-vous. Les amis comme les saveurs\nrestent à jamais gravés en ma mémoire.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x06\x04ボネ\nC'est juste qu'à présent, je vous considère\nplus comme un sauveur que comme un ami.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0C\nフォガート\nUn sauveur, rien que ça ! Et pourquoi ?\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x06\x04ボネ\nVous ne comprenez pas. Ce n'est guère\nétonnant, après tout.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x06\x04ボネ\nCe n'est pas grave. Finissez votre plat avant\nqu'il ne refroidisse. Le dessert sera bientôt prêt.\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0C\nフォガート\nAh, en plus, il y a du dessert ? Me voilà\naux anges !\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x0C\nフォガート\nDu monde entier, tu fais la meilleure cuisine !\nCette assiette sera vide en un rien de temps.\x0E\x04\x00\x00
MID_RELIANCE_C_#022	\x0E\x03\x02\x06\x04ボネ\nLa meilleure cuisine au monde...\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nフォガート\x021\n\x0E\x03\x00\x0A\x04ボネ\x022\n\x0E\x03\x02\x0C\nフォガート\nC'est vraiment succulent ! Tu peux ajouter\ncet exploit culinaire à ton palmarès, Bunet.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x06\x04ボネ\nCe délicieux sourire que vous arboriez\nétait en effet révélateur d'une certaine\nappréciation de mon mets.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nフォガート\nAh tiens, avant que j'oublie... Je voudrais\nqu'on revienne sur notre conversation\nde l'autre jour.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x06\x04ボネ\nQuelle conversation ?\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0C\nフォガート\nCette histoire de sauveur. J'y ai réfléchi bien\nlongtemps, sans parvenir à comprendre ce\nque tu entendais par là.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x06\x04ボネ\nAh. Ça...\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x06\x04ボネ\nJ'ai participé au concours qui sélectionnerait\nle chef de la cour royale. Hélas, je ne l'ai pas\nremporté.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x06\x04ボネ\nC'était la plus grande honte que j'eusse\njamais connue.\x0E\x04\x00\x00
