MID_GR_El_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06ベレト\x022\n\x0E\x03\x02\x08\x06ベレト\nJe crois déceler chez vous comme une pointe\nde ressentiment à l'endroit du Dragon divin,\nDame Nel.\x0E\x04\x00\x00
MID_GR_El_C_#002	\x0E\x03\x02\x06\x04エル\nSi telle est votre sentiment, je vais m'efforcer\nd'en déterminer la cause et d'y remédier.\nMerci de m'en avoir fait part.\x0E\x04\x00\x00
MID_GR_El_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06ベレト\x022\n\x0E\x03\x02\x06\x04エル\nVous êtes nimbé de mystère, Byleth. Il ne\nm'étonnerait point que vos interlocuteurs\nméjugent parfois de vos intentions.\x0E\x04\x00\x00
MID_GR_El_B_#002	\x0E\x03\x02\x08\x06ベレト\nCela peut arriver, en effet, mais j'ai observé\nque tout malentendu pouvait être dissipé\npar une conversation franche et honnête.\x0E\x04\x00\x00
MID_GR_El_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06ベレト\x022\n\x0E\x03\x02\x06\x04エル\nMalgré tous mes efforts, il m'arrive encore\nde m'adresser au Dragon divin avec une\ncertaine sévérité.\x0E\x04\x00\x00
MID_GR_El_A_#002	\x0E\x03\x02\x08\x06ベレト\nExprimer ses sentiments ouvertement n'est\npas chose aisée. Cela demande du temps,\ncroyez-en mon expérience.\x0E\x04\x00\x00
MID_GR_El_A_#003	\x0E\x03\x02\x08\x06ベレト\nJ'ai observé que les mots me venaient\nde plus en plus facilement à mesure\nque je m'entretenais avec mes élèves.\x0E\x04\x00\x00
MID_GR_El_A_#004	\x0E\x03\x02\x06\x04エル\nDans ce cas, je devrais m'appliquer à engager\nplus souvent la conversation avec autrui.\nJe vous remercie, Byleth.\x0E\x04\x00\x00
MID_GR_Rafale_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0C\x06ベレト\x022\n\x0E\x03\x02\x0C\nラファール\nQue pouvez-vous me dire sur ce monde ?\nIl semble proche du mien en apparence,\nmais la culture y est bien différente.\x0E\x04\x00\x00
MID_GR_Rafale_C_#002	\x0E\x03\x02\x08\x06ベレト\nJ'admets en savoir bien peu, mais je tâcherai de\nrépondre à vos questions du mieux possible.\x0E\x04\x00\x00
MID_GR_Rafale_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0C\x06ベレト\x022\n\x0E\x03\x02\x0C\nラファール\nSaviez-vous que l'aliment le plus sucré de ce\nmonde n'est autre qu'une pâtisserie nappée\nde miel originaire de Solm ?\x0E\x04\x00\x00
MID_GR_Rafale_B_#002	\x0E\x03\x02\x08\x06ベレト\nIntéressant ! Je ne pourrai malheureusement\npas y goûter avec vous, mais j'aimerais\ngrandement voir à quoi elle ressemble.\x0E\x04\x00\x00
MID_GR_Rafale_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0C\x06ベレト\x022\n\x0E\x03\x02\x08\x06ベレト\nJ'ignore ce que vous mangez,\nmais ça semble délicieux.\x0E\x04\x00\x00
MID_GR_Rafale_A_#002	\x0E\x03\x02\x0C\nラファール\nC'est l'un de nos alliés qui me l'a donné.\nOn m'a prévenu que c'était bien trop sucré,\nmais pour moi, c'est la perfection même.\x0E\x04\x00\x00
MID_GR_Rafale_A_#003	\x0E\x03\x02\x08\x06ベレト\nJ'en suis ravi pour vous ! Vous voir vous\nrégaler ainsi me rappelle un vieil ami.\x0E\x04\x00\x00
MID_GR_Rafale_A_#004	\x0E\x03\x02\x0C\nラファール\nPourriez-vous attendre que j'aie fini avant\nde sombrer dans la nostalgie ? Vous allez\nme couper l'appétit.\x0E\x04\x00\x00
