MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ソンブル\x021\n\x0E\x03\x00\x0C\x06セピア\x022\n\x0E\x03\x02\x0A\x08ソンブル\nVeyle a donné l'Anneau du Chevalier Sacré\nau Dragon divin...\x0E\x04\x00\x00
MID_OP1_#002	\x0E\x03\x02\x08\x06セピア\nToutes mes excuses, Messire.\x0E\x04\x00\x00
MID_OP1_#003	\x0E\x03\x02\x0A\x08ソンブル\nL'Anneau des Jumeaux Célestes, perdu aussi.\nMes Quatre Chacals ont échoué par deux fois.\x0E\x04\x02\x00
MID_OP1_#004	Vous appréhendez réellement l'importance de\nla situation, n'est-ce pas ?\x0E\x04\x00\x00
MID_OP1_#005	\x0E\x03\x02\x08\x06セピア\nOui.\x0E\x04\x00\x00
MID_OP1_#006	\x0E\x03\x02\x0A\x08ソンブル\nEt Veyle ?\x0E\x04\x00\x00
MID_OP1_#007	\x0E\x03\x02\x08\x06セピア\nElle dort profondément.\x0E\x04\x02\x00
MID_OP1_#008	Malgré mes tentatives pour amplifier ses\npulsions draconiques, elle ne se décide pas\nà ouvrir les yeux.\x0E\x04\x00\x00
MID_OP1_#009	\x0E\x03\x02\x0A\x08ソンブル\nStupide enfant. Elle refuse sa véritable nature...\nDans ce cas, prenez ceci.\x0E\x04\x00\x00
MID_OP1_#010	\x0E\x03\x02\x08\x06セピア\nAh... Qu'est-ce que c'est ?\x0E\x04\x00\x00
MID_OP1_#011	\x0E\x03\x02\x0A\x08ソンブル\nUn casque enchanté. Il renforcera le sort\nque vous lancez sur elle.\x0E\x04\x02\x00
MID_OP1_#012	Mon pouvoir et votre sort corrigeront ce qui\nne va pas chez Veyle.\x0E\x04\x00\x00
MID_OP1_#013	\x0E\x03\x02\x08\x06セピア\nJe vois.\x0E\x04\x00\x00
MID_OP1_#014	\x0E\x03\x02\x0A\x08ソンブル\nGardez-le en lieu sûr. Vous l'utiliserez une fois\nle moment venu.\x0E\x04\x00\x00
MID_OP1_#015	\x0E\x03\x02\x08\x06セピア\nBien sûr. Comme vous voudrez.\x0E\x04\x02\x00
MID_OP1_#016	Il y a un... sujet dont j'aimerais\nm'entretenir avec vous.\x0E\x04\x00\x00
MID_OP1_#017	\x0E\x03\x02\x0A\x08ソンブル\nComment ?\x0E\x04\x00\x00
MID_OP1_#018	\x0E\x03\x02\x08\x06セピア\nPardonnez-moi, Messire Sombron, mais... Dame\nVeyle est votre unique enfant, n'est-ce pas ?\x0E\x04\x00\x00
MID_OP1_#019	\x0E\x03\x02\x0A\x08ソンブル\nL'unique encore en vie, vous voulez dire.\x0E\x04\x00\x00
MID_OP1_#020	\x0E\x03\x02\x08\x06セピア\nOui.\x0E\x04\x00\x00
MID_OP1_#021	\x0E\x03\x02\x0A\x08ソンブル\nC'est exact.\x0E\x04\x00\x00
MID_OP1_#022	\x0E\x03\x02\x08\x06セピア\nNaturellement. Pardonnez-moi mon impudence.\nMon inquiétude se fonde sur la peur et non sur\ndes faits établis.\x0E\x04\x00\x00
MID_OP1_#023	\x0E\x03\x02\x0A\x08ソンブル\nQu'est-ce qui me vaut une telle question ?\x0E\x04\x00\x00
MID_OP1_#024	\x0E\x03\x02\x08\x06セピア\nVeyle croit que s\x0E\x0A\x00 \x10on frère\x0Ca sœur est encore en vie.\nJ'ai pensé qu'il valait mieux que vous le sachiez.\x0E\x04\x02\x00
MID_OP1_#025	Elle a parlé d'une dracopierre sans la\nmoindre fissure.\x0E\x04\x00\x00
MID_OP1_#026	\x0E\x03\x02\x0A\x08ソンブル\nHum.\x0E\x04\x00\x00
MID_OP1_#027	\x0E\x03\x02\x08\x06セピア\nMais elle se trompe forcément. Nous\nconnaissons tous deux la vérité.\x0E\x04\x02\x00
MID_OP1_#028	Vos enfants sont morts à la guerre il y a\nmille ans. Tous sauf Veyle.\x0E\x04\x02\x00
MID_OP1_#029	J'ai un vague souvenir d'une silhouette avec\nles yeux et les cheveux couleur de feu.\x0E\x04\x02\x00
MID_OP1_#030	Comment s'appelait-\x0E\x0A\x00\x10\x04il\x08elle, déjà ? Quelque\nchose comme...\x0E\x04\x00\x00
MID_OP1_#031	\x0E\x03\x02\x0A\x08ソンブル\nZephia.\x0E\x04\x00\x00
MID_OP1_#032	\x0E\x03\x02\x08\x06セピア\nMessire.\x0E\x04\x00\x00
MID_OP1_#033	\x0E\x03\x02\x0A\x08ソンブル\nJe ne me souviens pas de tous mes enfants\ndisparus. Cel\x0E\x0A\x00\x0C\x04ui\x04le-ci, en revanche, je lui ai\npersonnellement ôté la vie.\x0E\x04\x00\x00
MID_OP1_#034	\x0E\x03\x02\x08\x06セピア\nOui.\x0E\x04\x00\x00
MID_OP1_#035	\x0E\x03\x02\x0A\x08ソンブル\nPeu de temps après, j'ai été vaincu et\nemprisonné. Avez-vous récupéré sa dépouille ?\x0E\x04\x00\x00
MID_OP1_#036	\x0E\x03\x02\x08\x06セピア\nN-Non...\x0E\x04\x00\x00
MID_OP1_#037	\x0E\x03\x02\x0A\x08ソンブル\nAlors je change ma réponse à votre question.\x0E\x04\x00\x00
MID_OP1_#038	\x0E\x03\x02\x08\x06セピア\n...\x0E\x04\x00\x00
MID_OP1_#039	\x0E\x03\x02\x0A\x08ソンブル\nLa réponse est non.\x0E\x04\x02\x00
MID_OP1_#040	Et si d'aventure, vous croisez le chemin de\nce\x0E\x0A\x00\x0A
MID_OP1_#041	\x0E\x03\x02\x08\x06セピア\nOui, Messire Sombron. Comme vous voudrez.\x0E\x04\x00\x00
MID_OP2_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x02\x0A\x08リュール\nMerci d'avoir préparé le navire, Alfred.\x0E\x04\x00\x00
MID_OP2_#002	\x0E\x03\x02\x0E\x0Cアルフレッド\nRemerciez ma mère, plutôt.\x0E\x04\x02\x00
MID_OP2_#003	Quand j'ai dit que nous nous rendions en Elusia,\nelle nous a affrété l'un des plus somptueux\nvaisseaux de la flotte.\x0E\x04\x00\x00
MID_OP2_#004	\x0E\x03\x02\x0A\x08リュール\nQuelles sont les nouvelles de la capitale ?\x0E\x04\x00\x00
MID_OP2_#005	\x0E\x03\x02\x0E\x0Cアルフレッド\nTout va bien. Il n'y a pas eu de nouvelle\nattaque depuis notre départ pour Brodia.\x0E\x04\x00\x00
MID_OP2_#006	\x0E\x03\x02\x0A\x08リュール\nQuel soulagement !\x0E\x04\x00\x00
MID_OP2_#007	\x0E\x03\x02\x0E\x0Cアルフレッド\nJ'ai informé Mère des agissements de l'ennemi.\nNotamment l'histoire du « sang de souverain ».\x0E\x04\x02\x00
MID_OP2_#008	Il va sans dire qu'elle a été bouleversée\nd'apprendre le sort des rois Morion et Hyacinth.\x0E\x04\x00\x00
MID_OP2_#009	\x0E\x03\x02\x0A\x08リュール\nJe m'en doute.\x0E\x04\x00\x00
MID_OP2_#010	\x0E\x03\x02\x0E\x0Cアルフレッド\nQuant à la destruction du port de Florra,\nla famille royale ne reculera devant aucune\ndépense pour secourir les gens.\x0E\x04\x02\x00
MID_OP2_#011	Cependant, il s'écoulera peut-être des années\navant que le port ne retrouve sa splendeur\nd'antan.\x0E\x04\x00\x00
MID_OP2_#012	\x0E\x03\x02\x0A\x08リュール\nNous devons vaincre le Dragon déchu afin\nqu'une telle chose ne se reproduise plus\njamais.\x0E\x04\x00\x00
MID_OP2_#013	\x0E\x03\x00\x12\x0Cディアマンド\x023\n\x0E\x03\x02\x0E\x0Cディアマンド\nQuel est notre plan ? Une fois sur place,\nfonçons-nous sur le château d'Elusia ?\x0E\x04\x00\x00
