MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x10\nエーティエ\x022\n\x0E\x03\x02\x0C\nエーティエ\nVous êtes-vous enfin décidé, Boucheron ?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nブシュロン\nDécidé ? À quoi ?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nエーティエ\nÀ m'avouer ce que vous mettez dans vos\nplats pour avoir de tels muscles ! Je ne vois\npas d'autre explication.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nブシュロン\nHaha, c'est reparti pour un tour. Je vous ai déjà\ndit que mon alimentation n'influençait en\nrien mes muscles.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nエーティエ\nVous le prétendez, en tout cas. Mais\naujourd'hui, je vais connaître le fin\nmot de l'histoire.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0C\nブシュロン\nJe vous ai pourtant dit la vérité.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nブシュロン\nEn un mot comme en cent, je ne dois ma masse\nmusculaire qu'à Mère Nature.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nエーティエ\nEncore cette histoire ?\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nエーティエ\nJe préfère vous dire tout de suite que je vous\nobserve depuis un certain temps, Boucheron.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0C\nブシュロン\nAh oui ? Et quelles sont vos conclusions ?\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nエーティエ\nEh bien, je sais qu'après l'entraînement, vous\npassez toute la journée à lire et à pêcher.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nエーティエ\nPendant que je me tue à l'entraînement, vous\nvous installez confortablement sous un arbre\navec votre livre ou votre canne à pêche.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0C\nエーティエ\nDans ces conditions, je ne vois pas\ncomment vous faites pour garder\ncette forme éblouissante.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nエーティエ\nJ'en conclus que quoi que vous fassiez en\ndouce, cela marche du tonnerre !\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0C\nブシュロン\nBon, écoutez...\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0C\nエーティエ\nVous allez m'avouer que vous avez recours à\nune forme de magie ? Je n'en reviens pas !\nVous êtes vraiment prêt à tout !\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0C\nブシュロン\nMais non enfin ! Pas du tout ! C'est une affaire\nmontée de toutes pièces !\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0C\nブシュロン\nBon, ça suffit. Il vaudrait mieux qu'on ne\nsurprenne pas les vassaux du prince en pleine\nquerelle.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0C\nブシュロン\nBonne journée, Etie.\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0C\nエーティエ\nC'est tout à fait le genre de phrase qu'on sort\nquand on a quelque chose à se reprocher !\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x02\x0C\nブシュロン\nLa lumière qui filtre à travers les arbres est\nabsolument magnifique ! C'est l'endroit idéal\npour profiter d'un bel après-midi ensoleillé.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x00\x10\nエーティエ\x022\n\x0E\x03\x02\x0C\nエーティエ\nBoucheron !\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nブシュロン\nEtie ! Vous m'avez fait peur. Puis-je me rendre\nutile ?\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0C\nエーティエ\nJ'observe, voilà tout.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0C\nブシュロン\nSi ce n'est pas trop vous demander... qu'est-ce\nque vous observez ?\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0C\nエーティエ\nVous, bien sûr. Je compte bien vous percer\nà jour.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nブシュロン\nFaites comme bon vous semble, Etie. De toute\névidence, je ne peux m'y opposer.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nエーティエ\nComme vous dites !\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nエーティエ\nHmm. Rien d'anormal vu de l'extérieur. Vos\nvêtements n'ont pas l'air de cacher un poids\nd'entraînement.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0C\nエーティエ\nPas si vite, il y a quelque chose de dur sous vos\nhabits ! Vous aviez bel et bien un secret !\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nブシュロン\nCe sont les muscles de mon abdomen.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0C\nエーティエ\nAh... euh... toutes mes excuses. J'ai cru qu'il\ns'agissait de quelque accessoire sibyllin pour\nrenforcer ses abdos...\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0C\nエーティエ\nUne sorte de plaque enchantée qui ferait\ntravailler les muscles quand on la porte,\nen somme...\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0C\nブシュロン\nJamais entendu parler d'un tel ustensile. Mais si\nj'en déniche un, il est à vous.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nエーティエ\nC'est bien urbain de votre part !\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0C\nブシュロン\nQuoi qu'il en soit, vous m'avez surpris au\nmoment où je m'apprêtais à me restaurer.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0C\nブシュロン\nJe sens que je vais me régaler.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nエーティエ\nUne seconde !\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0C\nブシュロン\nQu'y a-t-il, cette fois ?!\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0C\nエーティエ\nJe parie que ce casse-croûte recèle la clé\nde l'énigme !\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0C\nエーティエ\n*snif* *snif*...\n*snif* *snif*...\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0C\nエーティエ\n*cronch*\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0C\nブシュロン\nEh, mais c'est à moi !\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0C\nエーティエ\nHmm...\x0E\x04\x00\x00
MID_RELIANCE_B_#025	\x0E\x03\x02\x0C\nエーティエ\nCurieux. On eût dit un casse-croûte tout\nce qu'il y a de plus ordinaire.\x0E\x04\x00\x00
MID_RELIANCE_B_#026	\x0E\x03\x02\x0C\nエーティエ\nJ'étais persuadée que vous l'agrémentiez\nd'une sauce secrète de votre cru.\x0E\x04\x00\x00
MID_RELIANCE_B_#027	\x0E\x03\x02\x0C\nブシュロン\nJe vous répète pour la énième fois qu'il n'en est\nrien. Il s'agit simplement de mon repas, et pour\ntout vous dire, je tiens à le manger moi-même.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x10\nエーティエ\x022\n\x0E\x03\x02\x0C\nエーティエ\nBonjour, je tiens à m'excuser pour l'autre fois.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0C\nブシュロン\nVraiment ?\x0E\x04\x00\x00
