MSID_Hp_5	PV +5
MSID_H_Hp_5	Confère PV max +5.
MSID_Hp_7	PV +7
MSID_H_Hp_7	Confère PV max +7.
MSID_Hp_10	PV +10
MSID_H_Hp_10	Confère PV max +10.
MSID_Hp_12	PV +12
MSID_H_Hp_12	Confère PV max +12.
MSID_Hp_15	PV +15
MSID_H_Hp_15	Confère PV max +15.
MSID_Str_1	Force +1
MSID_H_Str_1	Confère Frc +1.
MSID_Str_2	Force +2
MSID_H_Str_2	Confère Frc +2.
MSID_Str_3	Force +3
MSID_H_Str_3	Confère Frc +3.
MSID_Str_4	Force +4
MSID_H_Str_4	Confère Frc +4.
MSID_Str_5	Force +5
MSID_H_Str_5	Confère Frc +5.
MSID_Str_6	Force +6
MSID_H_Str_6	Confère Frc +6.
MSID_Tec_1	Technique +1
MSID_H_Tec_1	Confère Tec +1.
MSID_Tec_2	Technique +2
MSID_H_Tec_2	Confère Tec +2.
MSID_Tec_3	Technique +3
MSID_H_Tec_3	Confère Tec +3.
MSID_Tec_4	Technique +4
MSID_H_Tec_4	Confère Tec +4.
MSID_Tec_5	Technique +5
MSID_H_Tec_5	Confère Tec +5.
MSID_Spd_1	Vitesse +1
MSID_H_Spd_1	Confère Vit +1.
MSID_Spd_2	Vitesse +2
MSID_H_Spd_2	Confère Vit +2.
MSID_Spd_3	Vitesse +3
MSID_H_Spd_3	Confère Vit +3.
MSID_Spd_4	Vitesse +4
MSID_H_Spd_4	Confère Vit +4.
MSID_Spd_5	Vitesse +5
MSID_H_Spd_5	Confère Vit +5.
MSID_Lck_2	Chance +2
MSID_H_Lck_2	Confère Cha +2.
MSID_Lck_4	Chance +4
MSID_H_Lck_4	Confère Cha +4.
MSID_Lck_6	Chance +6
MSID_H_Lck_6	Confère Cha +6.
MSID_Lck_8	Chance +8
MSID_H_Lck_8	Confère Cha +8.
MSID_Lck_10	Chance +10
MSID_H_Lck_10	Confère Cha +10.
MSID_Lck_12	Chance +12
MSID_H_Lck_12	Confère Cha +12.
MSID_Def_1	Défense +1
MSID_H_Def_1	Confère Déf +1.
MSID_Def_2	Défense +2
MSID_H_Def_2	Confère Déf +2.
MSID_Def_3	Défense +3
MSID_H_Def_3	Confère Déf +3.
MSID_Def_4	Défense +4
MSID_H_Def_4	Confère Déf +4.
MSID_Def_5	Défense +5
