MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x0A\x08リュール\nCet endroit a quelque chose de très étrange.\x0E\x04\x00\x00
MID_OP1_#002	\x0E\x03\x02\x08\x06リーフ\nC'est la rivière Thracia. Ou du moins,\nune rivière qui lui ressemble énormément.\x0E\x04\x00\x00
MID_OP1_#003	\x0E\x03\x02\x0A\x08リュール\nElle vient de votre monde ?\x0E\x04\x00\x00
MID_OP1_#004	\x0E\x03\x02\x08\x06リーフ\nOui. Et cela ressemble fort à un terrain sur\nlequel je me suis un jour tenu.\x0E\x04\x00\x00
MID_OP1_#005	\x0E\x03\x02\x08\x06リーフ\nLa rivière Thracia était jolie et assez large\nen même temps. Mais surtout, elle fut le théâtre\nde sanglantes batailles.\x0E\x04\x00\x00
MID_OP1_#006	\x0E\x03\x02\x0A\x08リュール\nJe n'arrive pas à imaginer que des combats\naient eu lieu dans un paysage aussi serein...\x0E\x04\x00\x00
MID_OP1_#007	\x0E\x03\x02\x08\x06リーフ\nC'est ici que j'ai affronté Saias, un tacticien\nde génie que d'aucuns considéraient comme\nun héros.\x0E\x04\x00\x00
MID_OP1_#008	\x0E\x03\x02\x08\x06リーフ\nReinhardt, un puissant guerrier en qui certains\nvoyaient la réincarnation du croisé Thrud était\négalement présent.\x0E\x04\x00\x00
MID_OP1_#009	\x0E\x03\x02\x08\x06リーフ\nLe combat fut âpre. J'ai cru plus d'une fois\nque la défaite était inéluctable...\x0E\x04\x00\x00
MID_OP1_#010	\x0E\x03\x02\x0A\x08リュール\nAlors pourquoi cet endroit ressemble-t-il\nà ce lieu si chargé en souvenirs ?\x0E\x04\x00\x00
MID_OP1_#011	\x0E\x03\x02\x08\x06リーフ\nJe n'en suis pas sûr.\x0E\x04\x00\x00
