MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x0E\x08パンドロ\x022\n\x0E\x03\x02\x0C\nスタルーク\nPfff... Pfff...\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08パンドロ\nAlors, Prince Alcryst ! Qu'est-ce que vous\ndites de votre première fête ?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nスタルーク\nPour... Pourquoi j'ai fait ça ?!\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08パンドロ\nHmm. Faire la bringue toute la nuit n'est\npas évident pour un débutant...\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nスタルーク\nLa musique était si forte ! Tout le monde criait !\nEt la danse... LA DANSE !\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0C\nスタルーク\nC'était comme une scène tirée de mes pires\ncauchemars. Je n'aurais pas dû venir. Je n'étais\npas prêt...\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08パンドロ\nHa ha ha ! Ouais, c'était d'enfer.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nスタルーク\nPandreo, s'il te plaît... Je ne pense pas pouvoir\nrefaire ça. Désolé, mais faire la fête, ce n'est pas\npour moi.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08パンドロ\nAllez, pas de conclusions hâtives.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08パンドロ\nJ'ai vu que vous restiez à l'écart, loin\nde l'action.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08パンドロ\nPour savoir ce que c'est, il faut plonger dans\nla masse et vous laisser entraîner par les autres.\x0E\x04\x00\x00
