MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cゴルドマリー\x021\n\x0E\x03\x00\x0E\x08パネトネ\x022\n\x0E\x03\x02\x0A\x08パネトネ\nGoldmary, il se raconte que tu es un véritable\ncordon bleu.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0E\x0Cゴルドマリー\nEn effet.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0E\x0Cゴルドマリー\nJ'en suis navrée pour tous les cuisiniers moins\ndoués que moi, mais mon talent aux fourneaux\nn'a pas son pareil.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0E\x0Cゴルドマリー\nLa jalousie de ces tâcherons me pèse d'ailleurs\nlourdement, mais je suppose que c'est la rançon\nde la gloire.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08パネトネ\nMerveilleux ! Avec des dons comme les tiens,\nj'escomptais vivement que tu m'enseignes\nton art culinaire...\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0E\x0Cゴルドマリー\nPeut-être. Mais pourquoi ?\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08パネトネ\nÀ ma grande vergogne, je n'y connais rien\nen cuisine.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08パネトネ\nEn tant que vassale de la famille royale, je me\ndois de connaître les rudiments de la bonne\nchère, tu ne crois pas ?\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0E\x0Cゴルドマリー\nÇa va sans dire...\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0E\x0Cゴルドマリー\nMais si je te révèle mes secrets de cuisine,\nje risque de me retrouver avec une nouvelle\nrivale.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08パネトネ\nJe t'assure que mon but n'est pas de te dérober\nla vedette. Je souhaite simplement régaler la\ncheffe.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0E\x0Cゴルドマリー\nSi c'est pour la princesse héritière...\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0E\x0Cゴルドマリー\nSoit. Par respect pour ton ardeur au service,\nj'accepte.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0E\x0Cゴルドマリー\nJe me charge de rassembler les ingrédients.\nSois prête à te lancer dès que nous nous\nreverrons.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08パネトネ\nJe t'en suis fort reconnaissante ! Je n'oublierai\npas cet acte de grande bienveillance.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cゴルドマリー\x021\n\x0E\x03\x00\x0E\x08パネトネ\x022\n\x0E\x03\x02\x0E\x0Cゴルドマリー\nL'heure de ta première leçon de cuisine a\nsonné, Panette. Aujourd'hui, nous allons\nfaire rôtir un poulet.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08パネトネ\nGrandiose. La cheffe raffole des préparations\nvolatiles.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0E\x0Cゴルドマリー\nJe... Je doute qu'il convienne de le formuler\nainsi, mais peu importe. C'est le programme\ndu jour.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08パネトネ\nFort bien.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08パネトネ\nAinsi, ce volatile a déjà été rôti. Il ne nous\nreste qu'à le servir à la cheffe, n'est-ce pas ?\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0E\x0Cゴルドマリー\nQuoi ? Évidemment que non.\nLa viande n'est même pas cuite.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0E\x0Cゴルドマリー\nNous allons d'abord le farcir, puis le rôtir.\nEn le passant à la flamme.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08パネトネ\nOh, hmm hmm. Fort bien, fort bien.\x0E\x04\x00\x00
