MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0A\x04ルイ\x022\n\x0E\x03\x02\x06\x04ルイ\nLe thé est-il à votre goût, Princesse Céline ?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08セリーヌ\nTout à fait. Son arôme m'enchante\nparticulièrement.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08セリーヌ\nUne once de citron... accompagnée de notes\nflorales, n'est-ce pas ? Il y en a plusieurs\nvariétés, si je ne m'abuse.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08セリーヌ\nC'est une fragrance qui évoque l'éclosion\nde la nature, à la saison chaude.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08セリーヌ\nL'ensemble diffuse une senteur qui\nme transporte.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x06\x04ルイ\nJe m'efforce de vous satisfaire.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x06\x04ルイ\nCe thé noir a été préparé en mélangeant des\nfeuilles du sud de Firene avec des écorces de\nfruits secs ainsi que des fleurs.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08セリーヌ\nIl est divin, ainsi que l'est toujours le thé\nque tu prépares.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08セリーヌ\nLa perspective de déguster ton thé est l'un\nde ces petits plaisirs qui m'aident à affronter\nmes journées.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x06\x04ルイ\nHé hé. Vous êtes trop bonne, Princesse Céline.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x06\x04ルイ\nÀ ce sujet... Vous souvient-il des feuilles\nspéciales dont je vous avais parlé ?\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08セリーヌ\nBien sûr.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08セリーヌ\nTu disais qu'on en tirerait un thé à nul autre\npareil, si ma mémoire ne me trahit pas.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x06\x04ルイ\nC'est exact.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x06\x04ルイ\nJ'ai peut-être découvert un moyen de me\nprocurer les feuilles en question. Je suppose\nque cela vous intéresse ?\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08セリーヌ\nVraiment ? Tu supposes bien.\nJe serais heureuse d'y goûter.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x06\x04ルイ\nExcellent. Soyez patiente, cela en vaut la peine.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0A\x04ルイ\x022\n\x0E\x03\x02\x0A\x08セリーヌ\nTout simplement exquis.\x0E\x04\x00\x00
