MID_TUT_BMAP_FireBall_TITLE	Bombes volcaniques
MID_TUT_BMAP_FireBall_0	Les bombes volcaniques infligent des dégâts\nà l'endroit où elles tombent.
MID_TUT_BMAP_FireBall_1	Elles tomberont systématiquement sur les\ncratères de lave, alors tenez vos alliés à l'écart.
MID_TUT_BMAP_FireBall_2	Les unités se trouvant sur les cratères subiront\négalement des dégâts.
MID_TUT_BMAP_Smoke_TITLE	Fumée
MID_TUT_BMAP_Smoke_0	Les terrains recouverts de fumée réduiront\nl'esquive (Esq), la défense et la résistance\ndes unités.
MID_TUT_BMAP_Smoke_1	Sur cette carte en particulier, la fumée se\npropage progressivement, alors faites attention.
MID_TUT_HUB_REFRESH_TITLE	Détente
MID_TUT_HUB_REFRESH_0	Choisissez deux alliés qui passeront des\nmoments de détente à différents endroits\nde Somniel.
MID_TUT_HUB_REFRESH_1	Les alliés choisis pourront voir leurs points\nde soutien augmenter en passant du temps\nensemble.
MID_TUT_HUB_REFRESH_2	Cette activité est accessible à la piscine,\nau verger ou à l'écurie, une fois entre\nchaque combat.
MID_TUT_HUB_REFRESH_NOTICE	L'activité Détente est désormais accessible\nà la piscine et à d'autres endroits.
MID_TUT_HUB_REFRESH_OPEN	Vous avez désormais accès\nà l'activité Détente.
MID_TUT_GOD_HECTOR_TITLE	Emblème Hector
MID_TUT_GOD_HECTOR_0	L'Emblème Hector bénéficie d'une défense\nélevée. Il peut protéger les alliés et riposter\naux attaques ennemies.
MID_TUT_GOD_HECTOR_1	La technique d'engagement Double riposte\npermet une contre-attaque double quand les\nPV de l'unité sont au-dessus d'un certain seuil.
MID_TUT_GOD_HECTOR_2	L'arme de fusion Wolf Beil inflige des dégâts\nbonus à la cavalerie et aux ennemis cuirassés.
MID_TUT_GOD_HECTOR_3	La technique de fusion Inexpugnable augmente\nla défense et la résistance de l'unité quand\ncelle-ci est attaquée.
MID_TUT_GOD_HECTOR_4	L'attaque Œil du cyclone empêche l'ennemi de\nbriser la garde et d'effectuer une double frappe.\nPermet à l'unité une contre-attaque double.
MID_TUT_GOD_SENERIO_TITLE	Emblème Soren
MID_TUT_GOD_SENERIO_0	L'Emblème Soren est spécialisé dans la magie\noffensive et l'altération du cours de la bataille.
MID_TUT_GOD_SENERIO_1	La technique d'engagement Cible désignée\nrend un allié plus susceptible d'être ciblé\npar les ennemis.
MID_TUT_GOD_SENERIO_2	L'arme de fusion Fulguration frappe les ennemis\nà distance à l'aide de magie de foudre à longue\nportée.
MID_TUT_GOD_SENERIO_3	La technique de fusion Faisceau réduit la\nrésistance d'un ennemi et soigne l'unité\nquand elle attaque à l'aide de tomes.
MID_TUT_GOD_SENERIO_4	L'attaque de fusion Cataclysme frappe une\nlarge zone à l'aide des magies de feu,\nde foudre et de vent.
MID_TUT_GOD_CAMILLA_TITLE	Emblème Camilla
MID_TUT_GOD_CAMILLA_0	L'Emblème Camilla peut manipuler le terrain et\ncontrôler le cours de la bataille depuis les airs.
MID_TUT_GOD_CAMILLA_1	La technique d'engagement Veine dragunaire\ndissipe les flammes et les miasmes d'un terrain\net y ajoute des effets selon le type de l'unité.
MID_TUT_GOD_CAMILLA_2	L'arme de fusion Tonnerre peut frapper\nles ennemis à distance à l'aide d'attaques\nmagiques.
MID_TUT_GOD_CAMILLA_3	La technique de fusion Survol augmente le\nmouvement (Mvt) et permet à l'unité de voler.
MID_TUT_GOD_CAMILLA_4	L'attaque de fusion Brasier obscur inflige des\ndégâts aux ennemis dans une large zone\net met le feu au terrain.
MID_TUT_TIPS_Hector	Emblème Hector
MID_TUT_TIPS_Senerio	Emblème Soren
MID_TUT_TIPS_Camilla	Emblème Camilla
MID_TIPS_OTHER_35	Profitez de l'un des trois lieux de détente de Somniel une fois entre chaque combat.
MID_TIPS_SKILL_36	Les attaques avec des tomes de magie de feu, de foudre ou de vent réduisent une des\ncaractéristiques de l'ennemi pendant un tour, en fonction du type de tome utilisé.
MID_TIPS_SKILL_37	Si vous attaquez un ennemi dont la garde est brisée avec de la magie,\nil y a une chance pour que cet effet soit prolongé.
MID_TIPS_GOD_29	Frère du marquis d'Ositia sur le continent d'Elibe dans un autre\nmonde. Manie la hache avec une force prodigieuse.
MID_TIPS_GOD_30	Armé de sa hache légendaire, l'Armadès, il affronta jadis\nun mal redoutable aux côtés d'Eliwood, le père de Roy.
MID_TIPS_GOD_31	Conseiller en stratégie des mercenaires de Greil\nen Tellius, un continent d'un autre monde.
MID_TIPS_GOD_32	Sage appartenant au groupe de mercenaires d'Ike.\nCe tacticien est prodigieusement doué.
MID_TIPS_GOD_33	Princesse de Nohr, un royaume d'un autre monde. Cette jeune\nfemme à la fois féroce et dévouée monte une wyverne.
MID_TIPS_GOD_34	L'une des sœurs de Corrin. Se montre dévouée envers ses amis\net sa famille, mais implacable envers ses ennemis.
MID_TUT_NAVI_G004_ADVICE_START	En raison du grand nombre d'ennemis armés\nde bâtons sur cette carte, l'option Animations\nbâtons / danses sera définie pour ce combat\nsur Votre tour. Vous pouvez la modifier\nà tout moment depuis le menu Paramètres.
MID_TUT_NAVI_G004_ADVICE_END	Les modifications apportées à l'option\nAnimations bâtons / danses au début\nde ce combat vont être réinitialisées.
