MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06セピア\x021\n\x0E\x03\x00\x0C\x06マロン\x022\n\x0E\x03\x00\x0A\x04グリ\x023\n\x0E\x03\x00\x0C\x06モーヴ\x024\n\x0E\x03\x02\x08\x06セピア\nQuoi ?\x0E\x04\x02\x00
MID_OP1_#002	Vous les avez laissé prendre\ndeux de nos anneaux ?\x0E\x04\x00\x00
MID_OP1_#003	\x0E\x03\x02\x08\x06モーヴ\nToutes mes excuses.\x0E\x04\x00\x00
MID_OP1_#004	\x0E\x03\x02\x08\x06マロン\nEn fait, nous... nous nous sommes dit que si\nnous parvenions à leur voler quelques anneaux,\nvous seriez fière de nous...\x0E\x04\x00\x00
MID_OP1_#005	\x0E\x03\x02\x06\x04グリ\nIl n'y a aucun intérêt à leur dérober les leurs si\non n'arrête pas de perdre les nôtres, bande\nd'idiots !\x0E\x04\x00\x00
MID_OP1_#006	\x0E\x03\x02\x08\x06マロン\nJe suis vraiment désolée.\x0E\x04\x02\x00
MID_OP1_#007	Mais le seigneur Sombron comprendra. Nous\nsommes ses chouchous, après tout.\x0E\x04\x02\x00
MID_OP1_#008	Il ne va pas nous réprimander juste pour avoir\nperdu deux petits anneaux de rien du tout.\x0E\x04\x00\x00
MID_OP1_#009	\x0E\x03\x02\x08\x06セピア\nMarni.\x0E\x04\x00\x00
MID_OP1_#010	\x0E\x03\x02\x08\x06マロン\nOui ?\x0E\x04\x02\x00
MID_OP1_#011	OH ! Aïe ! Ça fait mal !\x0E\x04\x00\x00
MID_OP1_#012	\x0E\x03\x02\x08\x06セピア\nVous auriez dû suivre les ordres à la lettre.\nJe ne pourrai pas vous défendre, cette fois.\x0E\x04\x00\x00
MID_OP1_#013	\x0E\x03\x02\x08\x06マロン\nMoi ? C'est vous qui avez perdu l'Anneau du\nChevalier Sacré !\x0E\x04\x00\x00
MID_OP1_#014	\x0E\x03\x02\x08\x06セピア\nJe ne faisais que suivre les ordres de Dame\nVeyle. Tu sous-entends que tout est de\nsa faute ?\x0E\x04\x00\x00
MID_OP1_#015	\x0E\x03\x02\x08\x06マロン\nEh bien, non, mais...\x0E\x04\x00\x00
MID_OP1_#016	\x0E\x03\x02\x08\x06モーヴ\nJe ne chercherai pas à me dérober.\nSi un châtiment doit s'abattre,\nqu'il s'abatte sur moi.\x0E\x04\x00\x00
MID_OP1_#017	\x0E\x03\x02\x08\x06セピア\nToi ?\x0E\x04\x00\x00
MID_OP1_#018	\x0E\x03\x02\x08\x06モーヴ\nMarni cherchait juste à s'attirer vos louanges.\nC'est moi qui suis responsable. J'aurais dû\nl'en empêcher.\x0E\x04\x00\x00
MID_OP1_#019	\x0E\x03\x02\x08\x06セピア\nQuel dévouement. Te voir te soucier ainsi\nd'un autre membre des Chacals... Je suis\nbouleversée.\x0E\x04\x02\x00
MID_OP1_#020	À moins que tu souhaites simplement atténuer\nmon courroux pour le bien de Dame Veyle.\x0E\x04\x00\x00
MID_OP1_#021	\x0E\x03\x02\x08\x06モーヴ\n...\x0E\x04\x00\x00
MID_OP1_#022	\x0E\x03\x02\x08\x06セピア\nHélas, il est trop tard. J'ai déjà lancé le sort.\x0E\x04\x00\x00
MID_OP1_#023	\x0E\x03\x02\x08\x06モーヴ\nQuoi ?! Vous aviez promis d'attendre notre\nretour !\x0E\x04\x00\x00
MID_OP1_#024	\x0E\x03\x02\x08\x06セピア\nC'était mon intention, mais la tare s'est\nréveillée, alors je n'ai pas eu le choix.\x0E\x04\x02\x00
MID_OP1_#025	Et ne viens pas me parler de promesses,\ntoi qui as trahi le seigneur Sombron.\x0E\x04\x02\x00
MID_OP1_#026	En tant que cheffe de cette famille, il est de\nmon devoir de punir les enfants désobéissants.\x0E\x04\x00\x00
MID_OP1_#027	\x0E\x03\x02\x08\x06マロン\nLes punir ? Et comment ?\x0E\x04\x00\x00
MID_OP1_#028	\x0E\x03\x02\x08\x06モーヴ\nMarni, sauve-toi !\x0E\x04\x00\x00
MID_OP1_#029	\x0E\x03\x02\x08\x06セピア\nJe ne crois pas, non.\x0E\x04\x00\x00
MID_OP1_#030	\x0E\x03\x02\x08\x06マロン\nAaah !\x0E\x04\x00\x00
MID_OP1_#031	\x0E\x03\x02\x08\x06モーヴ\nArgh !\x0E\x04\x00\x00
MID_OP1_#032	\x0E\x03\x01\x08\x06マロン\n\x0E\x03\x01\x08\x06モーヴ\n\x0E\x03\x01\x06\x04グリ\n\x0E\x03\x00\x0A\x04グリ\x022\n\x0E\x03\x02\x06\x04グリ\nVoyez-vous ça. Ils ont tous deux perdu\nconnaissance. Et ça avait l'air joliment\ndouloureux.\x0E\x04\x00\x00
