MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nブシュロン\x022\n\x0E\x03\x02\x0C\nブシュロン\nTout va bien, Votre Divinité ?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08リュール\nBoucheron ? Pourquoi cette question ?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nブシュロン\nC'est que vous m'avez l'air un peu fatigué\x0E\x0A\x00\x06
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08リュール\nOn ne peut rien vous cacher. J'ai l'impression\nde fonctionner au ralenti...\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nブシュロン\nÇa ne me dit rien qui vaille. Vous mangez trois\nfois par jour, au moins ?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08リュール\nOui, mon régime n'a rien à voir là-dedans,\nme semble-t-il.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nブシュロン\nEt vous dormez convenablement ?\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08リュール\nComme d'habitude.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nブシュロン\nHmm... Vous vous sentez faible, alors que vous\nmangez et que vous dormez bien.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0C\nブシュロン\nVous avez peut-être trop de pression sur\nles épaules.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08リュール\nVous croyez ?\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nブシュロン\nCe ne serait guère surprenant. La guerre n'a rien\nd'une sinécure.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0C\nブシュロン\nQu'est-ce que vous faites pour vous détendre ?\x0E\x04\x00\x00
