MID_GR_El_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x06\x04エル\nLeif, vous faites preuve d'une sagesse\nétonnante, pour un humain. Je comprends\npourquoi on vous nomme le Souverain Éclairé.\x0E\x04\x00\x00
MID_GR_El_C_#002	\x0E\x03\x02\x08\x06リーフ\nSi cela est vrai, c'est assurément le fruit\nde l'éducation que j'ai reçue, car dans ma\njeunesse, j'étais d'une ignorance crasse.\x0E\x04\x00\x00
MID_GR_El_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x06\x04エル\nJ'ai appris que vous n'aviez pas été capable de\nbrandir l'arme sacrée de votre famille. Voilà qui\na dû être une épreuve difficile pour vous.\x0E\x04\x00\x00
MID_GR_El_B_#002	\x0E\x03\x02\x08\x06リーフ\nJ'ai eu le sentiment de ne pas être à la hauteur,\nmais ça n'a pas duré, car j'ai bientôt réalisé que\nseule ma détermination comptait réellement.\x0E\x04\x00\x00
MID_GR_El_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x06\x04エル\nVeuillez me pardonner d'avoir manqué de tact,\nl'autre fois, en évoquant cet épisode délicat de\nvotre vie, mais cela m'avait rappelé mon frère.\x0E\x04\x00\x00
MID_GR_El_A_#002	\x0E\x03\x02\x08\x06リーフ\nInutile de vous excuser. Deviser avec vous\nm'emplit d'une certaine nostalgie, car vous\nme faites penser à un vieil ami.\x0E\x04\x00\x00
MID_GR_El_A_#003	\x0E\x03\x02\x08\x06リーフ\nC'était un homme austère et qui avait parfois\ndes mots très durs, mais ses intentions étaient\ntoujours bienveillantes.\x0E\x04\x00\x00
MID_GR_El_A_#004	\x0E\x03\x02\x06\x04エル\nPeut-être qu'en suivant vos instructions et\nvotre exemple, je pourrai devenir un jour\naussi sage que votre vieil ami.\x0E\x04\x00\x00
MID_GR_Rafale_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x0C\nラファール\nProfitez bien de votre heure de gloire, car elle\nsera de courte durée. Je ne vous laisserai pas\nme voler la vedette dans la prochaine bataille.\x0E\x04\x00\x00
MID_GR_Rafale_C_#002	\x0E\x03\x02\x08\x06リーフ\nJ'ai hâte de vous voir à l'œuvre, Rafal,\ntout comme j'espère pouvoir gagner\nun jour votre confiance.\x0E\x04\x00\x00
MID_GR_Rafale_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x0C\nラファール\nN'êtes-vous donc jamais fatigué ? Même\nun Emblème doit avoir besoin de prendre\ndu repos de temps à autre, je suppose.\x0E\x04\x00\x00
