MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0C\x06ラピス\x022\n\x0E\x03\x02\x0C\nエーティエ\nSalut, Lapis. Tu aurais une minute ?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06ラピス\nBien sûr, Etie. Que puis-je faire pour toi ?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nエーティエ\nJ'ai entendu dire que tu étais capable de\nfabriquer ce que tu voulais. Est-ce la vérité ?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06ラピス\nQuoi ? Qui est-ce qui t'a raconté ça ?\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06ラピス\nEnfin... je dois dire qu'il y a du vrai. Si j'ai\nles bons matériaux, je peux faire toutes sortes\nde choses. Des meubles, des jouets...\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06ラピス\nJ'ai même déjà fabriqué des instruments pour\nun concert local, une fois. C'était très amusant.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nエーティエ\nC'est formidable ! Écoute, j'aurais besoin\nd'un petit service.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nエーティエ\nEst-ce que tu voudrais bien me fabriquer\nune machine pour m'entraîner les muscles ?\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06ラピス\nUne sorte d'appareil d'exercice ? Ouah. Ça, je\nn'ai encore jamais eu l'occasion d'en construire.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0C\nエーティエ\nPour moi, la musculation, c'est toute ma vie.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nエーティエ\nJ'ai essayé bien des méthodes pour m'entraîner,\nmais j'ai de plus en plus de mal à atteindre\nseule mes objectifs.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06ラピス\nOh, je vois. Je déteste ça, cet effet de plateau\noù on n'a plus l'impression de progresser.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0C\nエーティエ\nC'est exactement ce que je voulais dire !\nJe savais que tu comprendrais.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06ラピス\nSur quels muscles veux-tu mettre l'accent ?\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0C\nエーティエ\nHmm. Les bras, les pectoraux, les abdominaux,\net puis le dos. C'est sur ça que je me concentre.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0C\nエーティエ\nJe te le revaudrai, bien évidemment. Tu n'auras\nqu'à me demander ce que tu veux. Tu crois que\ntu pourras me fabriquer ça ?\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x08\x06ラピス\nOui ! Ce sera un défi à relever, mais ce sera\namusant. Je vais voir ce que je peux faire.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0C\nエーティエ\nParfait. Oooh, je sens que ça va\nêtre incroyable !\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0C\x06ラピス\x022\n\x0E\x03\x02\x0C\nエーティエ\nAlors, Lapis ? Ça avance bien, cet appareil\npour entraîner mes muscles ?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06ラピス\nOh ! Salut, Etie ! Tu arrives au bon moment.\nJe faisais justement les derniers réglages.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06ラピス\nVoici... l'Optimiseur de muscles version III !\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0C\nエーティエ\nVersion III ?\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06ラピス\nOui... Les deux premiers prototypes n'étaient\npas au point mais m'ont aidée à comprendre\ncomment il fallait s'y prendre.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06ラピス\nCelui-ci est à la hauteur, en revanche. Il te fera\ntravailler les bras, les pectoraux, les abdominaux\net le dos.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nエーティエ\nOuah ! Je n'aurais pas rêvé mieux.\nAlors, qu'est-ce que ça va me coûter ?\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06ラピス\nNe te tracasse pas pour ça. Cette machine est\nfaite de bouts de bois et de pièces détachées,\nça n'a rien coûté en matières premières.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nエーティエ\nDes bouts de bois et des pièces détachées ?!\nC'est incroyable.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0C\nエーティエ\nMais il y a aussi la main-d'œuvre, quand même.\nIl faudra absolument que tu me donnes une\noccasion de te dédommager.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nエーティエ\nMais tout d'abord... ça ne te dérange pas\nsi je fais un essai ?\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06ラピス\nVas-y, je t'en prie !\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0C\nエーティエ\nHmm... Pff... Ouaiiis !\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0C\nエーティエ\nLa résistance à l'effort est parfaite. On voit bien\nle mal que tu t'es donné pour ajuster tout ça.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nエーティエ\nC'est exactement ce que j'espérais !\x0E\x04\x00\x00
