MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nシトリニカ\x022\n\x0E\x03\x02\x0C\nシトリニカ\nExcusez-moi, Votre Divinité. Permettez-moi\nde vous remercier pour l'aide que vous m'avez\napportée au combat, l'autre jour.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nシトリニカ\nSi cela ne vous semble pas inopportun,\nje désirerais vous trouver un présent afin\nde vous témoigner pleinement ma gratitude.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08リュール\nUn présent ? Ce n'est pas nécessaire, Citrinne.\nN'importe qui en aurait fait autant, à ma place.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nシトリニカ\nHi hi ! Oh, Votre Divinité, vous êtes si modeste !\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nシトリニカ\nAha ! Voilà qu'une idée de cadeau vient\nse présenter à mon esprit.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0C\nシトリニカ\nUne relation de la famille royale de Brodia\ncherche un acquéreur pour une île privée...\nà prix coûtant !\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nシトリニカ\nQue diriez-vous de disposer d'une île rien\nqu'à vous pour vous détendre ? Je prendrai\nles frais à ma charge, cela va sans dire.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08リュール\nUne île entière ?! Ce n'est vraiment pas...\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nシトリニカ\nPas assez. J'en conviens. Peut-être puis-je\najouter un bijou ancien de ma collection ?\nIl ne remonte qu'à quelques générations...\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08リュール\nNon ! Citrinne, je n'ai pas besoin de\nsomptueux cadeaux.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nシトリニカ\nVraiment ? Mais alors... quel présent\naccepteriez-vous plus volontiers ?\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08リュール\nMa foi, si je ne peux pas vous dissuader...\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08リュール\nEn toute franchise, je préférerais un cadeau\nqui ne s'achète pas.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nシトリニカ\nUn cadeau... qui ne s'achète pas ?\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08リュール\nPas d'île personnelle. Pas de bijou. J'aime\nles cadeaux dont la valeur ne se réduit pas\nà leur prix.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08リュール\nCe sont les plus beaux présents qu'on puisse\nrecevoir. Me comprenez-vous ?\x0E\x04\x00\x00
