MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nシトリニカ\x022\n\x0E\x03\x02\x0C\nシトリニカ\nHa ! Hyah ! Han !\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nシトリニカ\nAh...\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nシトリニカ\nC'était un peu mieux qu'hier... mais c'est\nencore loin d'être suffisant.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x00\x0C\x06ラピス\x021\n\x0E\x03\x02\x08\x06ラピス\nCitrinne ? Que faites-vous debout à une heure\npareille ?\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nシトリニカ\nAah !\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0C\nシトリニカ\nOh, Lapis. Vous m'avez fait peur.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nシトリニカ\nPour tout vous dire, j'étais en train...\nde réviser mes pas de danse.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06ラピス\nHmm. Vous mentez bien mal. Je vous ai\nvue utiliser la magie. Vous vous entraînez\nen douce ?\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nシトリニカ\nVous m'avez démasquée.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06ラピス\nTravailler aussi tard n'est pas bon pour votre\nsanté. Vous devriez vraiment aller vous reposer.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nシトリニカ\nJ'apprécie votre prévenance, Lapis, mais...\nje ne peux pas me permettre de prendre\ndu repos.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06ラピス\nVous ne pouvez pas ?\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0C\nシトリニカ\nSi j'avais votre force, je n'aurais pas besoin\nde m'entraîner jusqu'au petit matin.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nシトリニカ\nMais les choses ne sont pas ainsi.\nJe dois coûte que coûte devenir plus forte.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06ラピス\nOh. Citrinne, c'est...\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0C\nシトリニカ\nNe veillez pas pour moi. Je promets d'aller me\nreposer, mais pas avant d'avoir suffisamment\ntravaillé pour cette nuit.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x08\x06ラピス\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x08\x06ラピス\nN'en faites tout de même pas trop, d'accord ?\nBonne nuit.\x0E\x04\x00\x00
