MID_GR_Lueur_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x0A\x08リュール\nMerci pour cet espoir que vous m'avez montré.\nSans vous, j'aurais pu abandonner.\x0E\x04\x00\x00
MID_GR_Lueur_C_#002	\x0E\x03\x02\x08\x06ルキナ\nJe n'ai fait que vous montrer la bonne\ndirection. Vous graverez vous-même votre\nfutur.\x0E\x04\x00\x00
MID_GR_Lueur_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x0A\x08リュール\nJe me demande parfois si nous sommes\nvraiment capables de gagner cette guerre.\x0E\x04\x00\x00
MID_GR_Lueur_B_#002	\x0E\x03\x02\x08\x06ルキナ\nJe sais que l'avenir peut sembler sombre.\nMais tant que vous gardez espoir, vous\npourrez repousser les ténèbres.\x0E\x04\x00\x00
MID_GR_Lueur_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x08\x06ルキナ\nIl y a longtemps, j'ai dû quitter ma maison.\nMais je serais morte si j'étais restée. Tout\naurait été perdu.\x0E\x04\x00\x00
MID_GR_Lueur_A_#002	\x0E\x03\x02\x0A\x08リュール\nJe vois ce que vous voulez dire. Parfois, il faut\nsavoir battre en retraite... Avez-vous remporté\nla victoire en fin de compte ?\x0E\x04\x00\x00
MID_GR_Lueur_A_#003	\x0E\x03\x02\x08\x06ルキナ\nOui. J'ai créé un nouveau futur, et vous aussi\nen êtes capable. Alors n'abandonnez jamais,\njusqu'à votre dernier souffle !\x0E\x04\x00\x00
MID_GR_Lueur_A_#004	\x0E\x03\x02\x0A\x08リュール\nCompris. Même si les choses tournent mal,\nje sais qu'elles finiront par s'arranger.\x0E\x04\x00\x00
MID_GR_Vandre_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x08\x06ルキナ\nIl paraît que vous êtes un maître du tricot.\nMoi qui suis incapable du moindre ouvrage\nun peu délicat, vous m'en voyez fort jalouse.\x0E\x04\x00\x00
MID_GR_Vandre_C_#002	\x0E\x03\x02\x0C\nヴァンドレ\nOh... On s'étonne toujours de voir un homme\naussi massif que moi réussir des travaux aussi...\ndélicats.\x0E\x04\x00\x00
MID_GR_Vandre_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x08\x06ルキナ\nSi vous savez tricoter, vous savez confectionner\ndes vêtements. Et si vous réalisiez un gilet à\nvotre effigie ?\x0E\x04\x00\x00
