MID_GR_Lueur_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x0A\x08リュール\nM'aiderez-vous à rétablir aussi vite\nque possible la paix en ce monde ?\x0E\x04\x00\x00
MID_GR_Lueur_C_#002	\x0E\x03\x02\x08\x06セリカ\nBien entendu. Je n'aurai de cesse qu'elle\nne soit revenue.\x0E\x04\x00\x00
MID_GR_Lueur_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x0A\x08リュール\nQue faites-vous, Celica ?\x0E\x04\x00\x00
MID_GR_Lueur_B_#002	\x0E\x03\x02\x08\x06セリカ\nJe prie Mila. Vous pouvez vous joindre à moi\nsi vous le désirez.\x0E\x04\x00\x00
MID_GR_Lueur_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x08\x06セリカ\nLa marque sur ma main droite est la preuve de\nmon appartenance à la famille royale de Zofia.\x0E\x04\x00\x00
MID_GR_Lueur_A_#002	\x0E\x03\x02\x0A\x08リュール\nLe motif est simple, mais joli.\x0E\x04\x00\x00
MID_GR_Lueur_A_#003	\x0E\x03\x02\x08\x06セリカ\nJ'ai des sentiments partagés à son sujet, mais\ncomme nous sommes proches, je tenais à ce\nque vous la voyiez.\x0E\x04\x00\x00
MID_GR_Lueur_A_#004	\x0E\x03\x02\x0A\x08リュール\nMerci de me l'avoir montrée. Je ferai de mon\nmieux pour être digne de votre confiance.\x0E\x04\x00\x00
MID_GR_Vandre_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x0C\nヴァンドレ\nJe dois dire que jamais au cours de toutes\nces années, je n'avais imaginé me battre\naux côtés d'Emblèmes.\x0E\x04\x00\x00
MID_GR_Vandre_C_#002	\x0E\x03\x02\x08\x06セリカ\nLa vie nous entraîne sur des sentiers\nqu'on parcourt sans même s'en rendre\ncompte, c'est fascinant.\x0E\x04\x00\x00
MID_GR_Vandre_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x08\x06セリカ\nUn de ces jours, j'aimerais déposer une\ngerbe de fleurs sur la tombe de Lumera.\nPourrez-vous m'aider ?\x0E\x04\x00\x00
