MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0C\x06カゲツ\x022\n\x0E\x03\x02\x08\x06カゲツ\nJade ! Affrontez-moi ! Je veux voir ce que\nvous valez au combat !\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08ジェーデ\nÇa ira, merci.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x08\x06カゲツ\nPourquoi refusez-vous si vite ? Vous n'avez\nmême pas considéré la question !\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06カゲツ\nOn dit que vos talents vous ont valu de\nremporter des tournois en Brodia.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06カゲツ\nUne telle puissance se doit d'être partagée !\nPourquoi la garder pour vous ?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08ジェーデ\nJe n'ai pas reçu l'ordre de vous attaquer, et\nje n'ai pas spécialement de raison de vous en\nvouloir. Pourquoi me battrais-je ?\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06カゲツ\nJade, Jade, Jade... Comme vous me décevez !\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06カゲツ\nJ'ai entendu tant de belles choses sur vos\ntechniques de combat ! Je vous en prie, je\ndois absolument les voir de mes yeux !\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06カゲツ\nQue dois-je faire pour gagner le droit de vous\naffronter ? Demandez-moi tout ce que vous\nvoudrez !\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08ジェーデ\nTout ce que je voudrai ?\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08ジェーデ\nDans ce cas...\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08ジェーデ\nSi j'accepte de me battre contre vous,\nseriez-vous prêt à répondre à quelques\nquestions personnelles ?\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06カゲツ\nOh, sans aucun problème ! Mais puis-je vous\ndemander pour quelle raison ?\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08ジェーデ\nJ'ai un personnage à finaliser pour le nouveau\nroman que je prépare. Vous m'aideriez à lui\ndonner plus de corps.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06カゲツ\nVous voulez que je vous parle de moi, rien\nde plus ?\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08ジェーデ\nC'est bien ça. Donc c'est entendu, n'est-ce\npas ?\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0C\x06カゲツ\x022\n\x0E\x03\x02\x08\x06カゲツ\nJe viens des Sables d'Opale, à la frontière\nnord-est de Solm.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06カゲツ\nLes visiteurs ne s'aventurent que rarement\njusqu'à mon village natal, qui a conservé\nintacte sa culture si riche et si spécifique.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08ジェーデ\nQu'est-ce qui la rend si spécifique ? Vous\nauriez quelques exemples à me donner ?\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x08\x06カゲツ\nNos vêtements, déjà. J'imagine que ma tenue\ndoit vous sembler bien exotique.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06カゲツ\nC'est également le cas de notre architecture.\nMon peuple excelle comme aucun autre au\ntravail du bois.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06カゲツ\nNotre culte est différent, lui aussi. Nous ne\nvénérons ni le Dragon déchu, ni le Dragon\ndivin.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06カゲツ\nNous avons nos propres dragons, très longs\net très fins. Je ne les ai jamais rencontrés dans\naucun autre pays.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08ジェーデ\nIntéressant... J'aimerais bien voir ça, un jour.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06カゲツ\nJe peux vous montrer des parchemins illustrés.\nSi vous acceptez de m'affronter à nouveau !\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08ジェーデ\nAttendez au moins notre premier duel avant\nd'en demander un second ! Et je n'en ai pas\nencore fini avec mes questions.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08ジェーデ\nPouvez-vous me parler de votre famille ?\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06カゲツ\nIl y a mes parents, bien sûr, et puis mon petit\nfrère et ma petite sœur.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08ジェーデ\nAh, c'est donc vous l'aîné ?\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06カゲツ\nOui. Mes parents s'attendaient à ce que je\nreprenne le flambeau familial.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x08\x06カゲツ\nMais... je n'en ai pas été capable.\x0E\x04\x00\x00
