MID_SYS_EnchantEffect	Effet d'enchant.
MID_DLC_News_Patch1_Title	Version 1.2.0
MID_DLC_News_Patch1	Pass d'extension\n\n・ Ajout des Emblèmes Hector, Soren et Camilla\n　 Chacun d'eux rejoindra votre groupe lorsque vous aurez\n　 terminé l'annexe divine correspondante.\n\n・ Ajout du bonus 2 du pass d'extension\n　 Si vous avez acheté le pass, vous recevrez automatiquement\n　 des matériaux, des armes et des manuels.\n\n・ Ajout de nouveaux accessoires à la boutique\n　 Ceux-ci incluent le set esprit, le masque esprit, les oreilles\n　 esprit, les oreilles chien, les oreilles lapin et les oreilles renard.\n\nContenu gratuit\n\n・ Ajout de lieux de détente à Somniel\n　 Utilisez-les pour faire gagner des points de soutien aux alliés.
MID_MSG_GET_ITEM_DLC_Accessory2	Bonus 2 du pass d'extension reçu.
MCID_G002_PREFIX	Annexe divine
MCID_G002	Le Général Impétueux
MCID_G002_PLACE	Antre du berserker
MCID_G002_OUTLINE	Un bracelet a été aperçu dans\nune grotte humide dont l'air\nest chargé de miasmes.
MCID_G004_PREFIX	Annexe divine
MCID_G004	Le Stratège
MCID_G004_PLACE	Grotte magmatique
MCID_G004_OUTLINE	Un bracelet a été aperçu dans\nune grotte où coule de la lave\nen fusion.
MCID_G005_PREFIX	Annexe divine
MCID_G005	La Sœur Dévouée
MCID_G005_PLACE	Passage souterrain
MCID_G005_OUTLINE	Un bracelet a été aperçu dans des\nruines souterraines inondées.
MID_RULE_G002_WIN	Vaincre l'Emblème Hector.
MID_RULE_G004_WIN	Vaincre l'Emblème Soren.
MID_RULE_G005_WIN	Vaincre l'Emblème Camilla.
MTID_VolcanicBombTraces	Cratère de lave
MTID_Fumarole	Fumerolle
MTID_Crater	Cratère
MPID_Hector	Hector
MPID_H_Hector	Emblème de la Force.\nJeune héros exubérant\net plein d'assurance.
MPID_Senerio	Soren
MPID_H_Senerio	Emblème de la Perspicacité.\nStratège tout de noir vêtu aux\nconseils avisés et précieux.
MPID_Camilla	Camilla
MPID_H_Camilla	Emblème de la Révélation.\nRavissant chevalier wyverne\nà l'aura charismatique.
MGID_Hector	Hector
MGID_H_Hector	Emblème de la Force.\nPourfend l'ennemi avec sa hache\net risque sa vie pour ses amis.
MGID_H_EnemyHector	Emblème qui sommeillait dans\nle Bracelet du Général Impétueux.
MGID_Senerio	Soren
MGID_H_Senerio	Emblème de la Perspicacité.\nMaîtrise parfaitement la magie\net les tomes les plus puissants.
MGID_H_EnemySenerio	Emblème qui sommeillait dans\nle Bracelet du Stratège.
MGID_Camilla	Camilla
MGID_H_Camilla	Emblème de la Révélation.\nAttaque depuis les airs armée\nde sa hache et de ses tomes.
MGID_H_EnemyCamilla	Emblème qui sommeillait dans\nle Bracelet de la Sœur Dévouée.
MGEID_Hector	Force
MGEID_Senerio	Perspicacité
MGEID_Camilla	Révélation
MJID_Enchant	Enchanteur
MJID_H_Enchant	Un guérisseur qui soutient ses alliés\net peut prendre des objets dans le\nconvoi pour les utiliser au combat.
MIID_Hector_WolfBeil	Wolf Beil
MIID_H_Hector_WolfBeil	Hache maniée par l'Emblème Hector.\nEfficace contre la cavalerie\net les unités cuirassées.
MIID_Hector_Runesword	Épée runique
MIID_H_Hector_Runesword	Épée de l'Emblème Hector. Attaque\nde près ou de loin. Rend 50 % des\ndégâts infligés sous forme de PV.
MIID_Hector_Armads	Armadès
MIID_H_Hector_Armads	Hache foudroyante maniée par\nl'Emblème Hector. Confère Déf +5.\nEfficace contre les dragons.
MIID_Senerio_Thunderstorm	Fulguration
MIID_H_Senerio_Thunderstorm	Magie de foudre à longue portée\nutilisée par l'Emblème Soren.\nDouble frappe impossible.
MIID_Senerio_MagicShield	Bouclier magique
MIID_H_Senerio_MagicShield	Bâton de Soren. Pendant 1 tour, les\nalliés situés à 2 cases max renvoient\n50 % des dégâts magiques subis.
MIID_Senerio_Rexcalibur	Fimbulvetr
MIID_H_Senerio_Rexcalibur	Un puissant tome de magie de vent\nmanié par l'Emblème Soren.\nEfficace contre les unités volantes.
MIID_Senerio_Disaster	Cataclysme
MIID_H_Senerio_Disaster	Magie de Soren. Attaques de feu, de\nfoudre et de vent infligeant 40 % de\ndégâts. Vent efficace contre volants.
MIID_Camilla_BoltAxe	Tonnerre
MIID_H_Camilla_BoltAxe	Hache magique maniée par\nl'Emblème Camilla.\nAttaque au loin ou au corps à corps.
MIID_Camilla_Lightning	Lumière
MIID_H_Camilla_Lightning	Magie de l'Emblème Camilla.\nConfère deux attaques si l'unité\ninitie le combat.
MIID_Camilla_Camilla'sAxe	Hache de Camilla
MIID_H_Camilla_Camilla'sAxe	Hache de Camilla. Confère Rés +10.\nInflige des dégâts supp. égaux à la\nRés ennemie moins la Déf ennemie.
MIID_HE_Vulnerary	Restaure 15 PV à l'unité et aux\nalliés situés à 2 cases max.
MIID_HE_Antidote	Soigne les altérations d'état de\nl'unité et des alliés adjacents.
MIID_HE_Medicine	Jauge de fusion +2 à l'unité\net aux alliés adjacents.
MIID_HE_HolyWater	Confère un effet d'efficacité contre\nles Aberrations à l'unité et aux\nalliés adjacents pendant un tour.
MIID_HE_Torch	Confère l'effet suivant à l'unité et\naux alliés adjacents : éclaire dans un\nrayon de 7 cases (-1 à chaque tour).
MIID_HE_HpTonic	Pendant un tour, augmente les PV\nmax de l'unité et des alliés adjacents\nen fonction du niveau et annule les\ndégâts d'attaques enchaînées subis.
MIID_HE_StrTonic	Pendant un tour, augmente la Frc en\nfonction du niveau et réduit de 50 %\nle poids de l'arme pour l'unité et les\nalliés adjacents.
MIID_HE_TecTonic	Pendant un tour, augmente la Tec\nde l'unité et des alliés adjacents en\nfonction du niveau et les immunise\nface au brise-garde.
MIID_HE_SpdTonic	Pendant un tour, augmente la Vit\nde l'unité et des alliés adjacents en\nfonction du niveau et les immunise\ncontre le Gel.
MIID_HE_LckTonic	Confère 30 % de chance d'empêcher\nl'unité et les alliés adjacents de subir\ndes dégâts pendant un tour.
MIID_HE_DefTonic	Pendant un tour, confère à l'unité et\naux alliés adjacents la capacité de\nrenvoyer les dégâts physiques subis.
MIID_HE_MagTonic	Pendant un tour, augmente la Mag\nde l'unité et des alliés adjacents en\nfonction du niveau et les immunise\ncontre le Silence.
MIID_HE_MdefTonic	Pendant un tour, confère à l'unité et\naux alliés adjacents la capacité de\nrenvoyer les dégâts magiques subis.
MIID_HE_Bento	Permet à un allié adjacent ayant au\nmoins 2 PV au début d'un combat\nde survivre avec 1 PV s'il reçoit un\ncoup fatal (une fois seulement).
MIID_HE_WeaponAvo	Confère Esq +20 aux armes\ndu même nom pour la durée\nd'une bataille.
MIID_HE_WeaponDef	Confère Déf/Rés +5 aux armes\ndu même nom pour la durée\nd'une bataille.
MIID_HE_WeaponCrit	Confère Crit +20 aux armes\ndu même nom pour la durée\nd'une bataille.
MIID_HE_WeaponAtk	Confère Dmg +5 aux armes\ndu même nom pour la durée\nd'une bataille.
MIID_HE_WeaponHit	Confère Prc +20 aux armes\ndu même nom pour la durée\nd'une bataille.
MIID_HE_WeaponAvo_Short	Effet d'enchantement :\nconfère Esq +20.
MIID_HE_WeaponDef_Short	Effet d'enchantement :\nconfère Déf/Rés +5.
MIID_HE_WeaponCrit_Short	Effet d'enchantement :\nconfère Crit +20.
MIID_HE_WeaponAtk_Short	Effet d'enchantement :\nconfère Dmg +5.
MIID_HE_WeaponHit_Short	Effet d'enchantement :\nconfère Prc +20.
MSID_QuickResponse	Double riposte
MSID_H_QuickResponse	Si l'unité a au moins 80 % de PV et\nque l'ennemi initie le combat, l'unité\npeut effectuer une double frappe\n(si l'arme le permet).
MSID_QuickResponse+	Double riposte +
MSID_H_QuickResponse+	Si l'unité a au moins 60 % de PV et\nque l'ennemi initie le combat, l'unité\npeut effectuer une double frappe\n(si l'arme le permet).
MSID_HeavyAttack	Attaque massive
