MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x10\nミスティラ\x022\n\x0E\x03\x02\x0C\nミスティラ\nHé, Jade ! Tu aurais une seconde ?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08ジェーデ\nCertainement, Princesse Timerra.\nQue puis-je faire pour vous ?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nミスティラ\nJ'ai entendu dire que tu étais originaire d'une\npetite ville minière, et que tu étais donc très\ncalée en minéraux.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08ジェーデ\nC'est exact. Mon père était gemmologue, alors\nj'ai acquis un certain savoir dans ce domaine.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nミスティラ\nParfait ! Une experte comme toi voudrait-elle\nm'accompagner dans ma quête de joyaux ?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08ジェーデ\nVous avez l'intention de partir à la recherche\nde pierres précieuses ?\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nミスティラ\nOuais !\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nミスティラ\nVois-tu, j'aimerais trouver une énorme gemme\nà l'état brut.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nミスティラ\nJ'ai déjà une idée de l'endroit où chercher,\nmais je ne sais pas trop comment m'y prendre\nune fois sur place pour trouver un joyau.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08ジェーデ\nAaah, je comprends pourquoi vous êtes venue\nme voir, du coup.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08ジェーデ\nJe serais tout à fait disposée à partir avec vous,\nmais... si vous voulez des joyaux, pourquoi ne\npas aller simplement voir un joaillier ?\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08ジェーデ\nVous êtes une princesse, après tout.\nJe suis certaine qu'on vous vendrait autant\nde pierreries que vous le souhaiteriez.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0C\nミスティラ\nBien sûr, mais cela n'aurait rien d'amusant.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nミスティラ\nJe préférerais vraiment me trouver une\ngemme moi-même ! Au prix de moult\nefforts, à l'ancienne !\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08ジェーデ\nJe vois. C'est une démarche inhabituelle.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08ジェーデ\nSi tel est votre projet, je serais ravie de vous\nservir de guide.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08ジェーデ\nJe prendrai des notes en chemin. Cela pourrait\nse révéler un gisement d'idées à exploiter pour\nmon prochain roman...\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0C\nミスティラ\nParfait ! Moi, je rapporterai un splendide joyau,\net vous, un formidable protagoniste. Nous y\ngagnerons toutes les deux !\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x10\nミスティラ\x022\n\x0E\x03\x02\x0C\nミスティラ\nHélas... Notre quête de joyaux est restée vaine.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08ジェーデ\nDésolée, Princesse Timerra. Je me doutais que\nnous risquions de revenir les mains vides.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nミスティラ\nBah, ne t'en fais pas pour si peu. C'était malgré\ntout amusant d'explorer la mine avec toi.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0C\nミスティラ\nEntre nous, si tu as le temps, j'adorerais que\nnous retentions notre chance un autre jour.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08ジェーデ\nBien sûr. Je suis prête à vous accompagner\naussi souvent que vous le voudrez.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0C\nミスティラ\nHé, ça me donne une idée !\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nミスティラ\nSi nous trouvons une gemme assez grosse,\nnous n'aurons qu'à la faire couper en deux\net tailler en deux joyaux jumeaux !\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nミスティラ\nNous aurons ainsi toutes les deux un souvenir\nétincelant pour nous rappeler notre amitié.\nCe serait formidable, non ?\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08ジェーデ\nUn joyau pour moi ? J'ai un peu l'impression\nque ce serait du gaspillage, à vrai dire.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0C\nミスティラ\nHein ? Comment ça ?\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nミスティラ\nMaintenant que j'y réfléchis... C'est vrai que\ntu ne portes guère de bijoux, n'est-ce pas ?\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08ジェーデ\nJe n'en porte pas.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08ジェーデ\nPour moi, les joyaux ne sont pas faits pour être\nportés. Ce sont des objets de valeur à protéger.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08ジェーデ\nPar le passé, j'ai servi comme garde de la mine,\ndans ma ville natale. Les bandits représentaient\nune menace permanente...\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08ジェーデ\nC'est pour cela que je serais incapable de porter\nun bijou avec plaisir. Mon instinct me pousserait\nà l'enfermer dans un coffre.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0C\nミスティラ\nOuah, c'est en effet un véritable « gaspillage »...\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08ジェーデ\nOui, n'est-ce pas ! Je suis contente que\nvous me compreniez.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nミスティラ\nAh, mais pas du tout ! Je trouve pour ma part\nque c'est du gaspillage qu'une beauté comme\ntoi ne porte pas de bijoux !\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0C\nミスティラ\nEn tout cas, il n'y a plus à discuter. Nous\ndevons retourner là-bas et dénicher les plus\nbelles gemmes qu'on ait jamais vues.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0C\nミスティラ\nEt foi de Timerra, tu finiras par porter ton joyau !\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x10\nミスティラ\x022\n\x0E\x03\x02\x0C\nミスティラ\nPff... Je n'arrive pas à croire que nous n'ayons\ntoujours pas réussi à trouver la moindre gemme.\x0E\x04\x00\x00
