MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x10\nラファール\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nHmm... Yaaah !\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nラファール\nVous !\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0E\x0Cアルフレッド\nAllez, une dernière série !\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nラファール\nJe vous parle !\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0E\x0Cアルフレッド\nHein ? Oh, bonjour, Messire Rafal. Vous avez\nl'air dans tous vos états. Je peux vous aider ?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0C\nラファール\nCessez immédiatement vos grognements\nintempestifs. Ils troublent ma sérénité.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0E\x0Cアルフレッド\nD'accord, je peux m'entraîner un peu plus\ncalmement, désolé.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nラファール\nCela ne suffira pas. J'exige que vous arrêtiez\nde vous entraîner. La simple vue d'une séance\nsuffit à m'importuner.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0E\x0Cアルフレッド\nJe ne peux pas tout bonnement arrêter, mais\nil doit y avoir un moyen... Voyons...\x0E\x04\x02\x00
MID_RELIANCE_C_#010	J'ai trouvé ! Et si vous me rejoigniez ?\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nラファール\nJe vous demande pardon ?\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0E\x0Cアルフレッド\nSi nous nous entraînons ensemble, le bruit\nne vous dérangera pas du tout.\x0E\x04\x02\x00
MID_RELIANCE_C_#013	Et en plus, ce sera amusant !\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nラファール\nJe n'ai ni le temps ni la patience de me livrer\nà une mascarade aussi grotesque.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0E\x0Cアルフレッド\nTout le monde dit ça, au début.\x0E\x04\x02\x00
MID_RELIANCE_C_#016	Mais ça ne coûte rien d'essayer.\nAvec un entraîneur personnel tel que moi,\nvous ne tarderez pas à changer d'avis.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0C\nラファール\nToute conversation avec vous est une grossière\nperte de temps. Si vous ne voulez pas partir,\nc'est moi qui m'en vais. Et à toute vitesse.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0E\x0Cアルフレッド\nMais enfin, Messire Rafal... Eh, c'est qu'il tient\nla forme ! Jolie foulée !\x0E\x04\x02\x00
MID_RELIANCE_C_#019	Attendez-moi ! Moi aussi, je veux courir !\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0C\nラファール\nQu'est-ce qui ne va pas, chez ce type ?\x0E\x04\x02\x00
MID_RELIANCE_C_#021	Que faites-vous ? Cessez immédiatement\nde cavaler derrière moi !\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x10\nラファール\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nPff, pff... Vous êtes un coureur de premier\nordre, vous savez. Vous avez ça dans le sang.\x0E\x04\x02\x00
MID_RELIANCE_B_#002	J'ai grandement amélioré ma foulée depuis\nla dernière fois, mais vous continuez à me\ndistancer.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nラファール\nJe suis un dragon. Ce n'est pas un simple\nhumain qui pourra rivaliser avec moi.\x0E\x04\x02\x00
MID_RELIANCE_B_#004	Je vous surpasse sans effort. Vous vous\nentraînez en vain. Si vous aviez une once\nde sagesse, vous abandonneriez.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0E\x0Cアルフレッド\nJe suis navré, Messire Rafal, mais je me dois\nde vous contredire.\x0E\x04\x02\x00
MID_RELIANCE_B_#006	Mon entraînement n'est pas vain. Mon corps\nen est la preuve concrète.\x0E\x04\x00\x00
