MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nラファール\x022\n\x0E\x03\x02\x0A\x08リュール\nAh, Rafal. Je vous cherchais.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nラファール\nVous... Que voulez-vous ?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08リュール\nRien, sinon l'occasion d'exprimer ma gratitude.\nJe n'ai pas encore pu le faire convenablement.\x0E\x04\x02\x00
MID_RELIANCE_C_#004	Alors voilà : merci d'être venu à Somniel.\nJe suis heureu\x0E\x0A\x00\x0A\x02x\x04se que vous soyez des nôtres.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nラファール\nJ'avais promis que nous nous reverrions si ma\nsœur se réveillait et m'accordait son pardon.\x0E\x04\x02\x00
MID_RELIANCE_C_#006	Renier ma parole aurait constitué une insulte\nvis-à-vis de ce miracle.\x0E\x04\x02\x00
MID_RELIANCE_C_#007	C'est pourquoi je suis là. Le prix de mon\nallégeance a déjà été réglé. Il est inutile\nde me remercier.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08リュール\nMais votre indéfectible soutien nous est\nprécieux. Le moins que je puisse faire est\nde me montrer reconnaissant\x0E\x0A\x00\x06
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nラファール\nVous êtes vraiment étrange, en fait.\x0E\x04\x02\x00
MID_RELIANCE_C_#010	Après tout ce que j'ai fait, m'accorder votre\nconfiance est déjà aberrant. Mais une telle\namabilité est tout simplement inconcevable.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08リュール\nJe souhaite peut-être seulement que vous\nsoyez heureux, après tout ce que vous avez\ntraversé. Qu'y a-t-il d'aberrant à cela ?\x0E\x04\x02\x00
MID_RELIANCE_C_#012	Je ne pouvais pas vous abandonner sans\nsavoir si vous pourriez vous réconcilier avec\nNel. Cela m'aurait brisé le cœur.\x0E\x04\x02\x00
MID_RELIANCE_C_#013	Je sais que vous êtes quelqu'un de bien,\nau fond. Et il se trouve que j'ai de l'affection\npour vous.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nラファール\nDe l'affection ?\x0E\x04\x02\x00
MID_RELIANCE_C_#015	Est-ce vraiment ainsi que les gens s'expriment ?\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08リュール\nPourquoi pas ? Y a-t-il quelque chose\nqui vous gêne ?\x0E\x04\x02\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0C\nラファール\nÇa suffit ! N'avez-vous donc aucun devoir\nà accomplir ? Laissez-moi tranquille !\x0E\x04\x02\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0A\x08リュール\nEh, un instant !\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nラファール\x022\n\x0E\x03\x02\x0A\x08リュール\nIl fait un temps sublime, n'est-ce pas, Rafal ?\nÇa donne envie de partir pour une longue\npromenade.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0C\nラファール\nVous ! Avez-vous oublié ce que je vous ai dit ?\x0E\x04\x02\x00
MID_RELIANCE_B_#003	Ne vous ai-je pas instamment demandé\nde me laisser tranquille ?\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08リュール\nSi, je m'en souviens, mais il y a tant de sujets\nque je souhaite aborder qu'il m'est impossible\nde demeurer à l'écart.\x0E\x04\x00\x00
