MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0E\x08セアダス\x022\n\x0E\x03\x02\x0A\x08セアダス\nQuoi ? Vraiment ? Ici ? Hmm... est-ce que\nj'interprète cela correctement ?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08アンバー\nSeadall ! Que vous arrive-t-il ? Tout va bien ?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08セアダス\nJe suis simplement en train de tirer les cartes.\nElles disent qu'un homme aux innombrables\nlégendes fera bientôt son apparition.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08アンバー\nOuah, un homme aux innombrables légendes ?!\nOù ça, et quand ? Qu'est-ce qu'elles vous\ndisent d'autre ?\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08セアダス\nEh bien, cet homme légendaire est jeune.\nGrégaire. Énergique... et plutôt beau.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08アンバー\nOooh, voilà une description qui me ressemble\nfort... Quel dommage que je sois pas Grégoire.\nAh là là, c'était presque moi.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08セアダス\nAh, mais c'est aussi... un imbécile.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08アンバー\nOh. Ça peut pas être moi, alors. Hé hé,\nle pauvre Grégoire...\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08セアダス\nHmm... Cet être de légende a aussi un rapport\ntrès fort avec un animal particulier... l'alpaga ?!\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08アンバー\nL'alpaga ?! C'est pas possible ! C'est forcément\nmoi, ça ! Je suis donc ce Grégoire légendaire !\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08セアダス\nCe serait vous, ce personnage dont mes cartes\nannoncent la venue ?\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08アンバー\nIl faut croire, oui ! Mais... à quoi rime tout cela ?\nSuis-je censé faire quoi que ce soit ?\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08セアダス\nEh bien... d'après les cartes, vous allez, dans\nun avenir proche, agir en sauveur.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08アンバー\nOuah ! Un sauveur, moi ?! C'est la meilleure !\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08アンバー\nEt cet avenir proche, c'est pour bientôt ou\ndans plus longtemps ?\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08セアダス\nEuh, cela reste encore un peu... nébuleux.\nMais ne vous inquiétez pas, je vous préviendrai\ndès que les choses s'éclairciront.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08アンバー\nEntendu. Je resterai les oreilles dressées aux\naguets et les yeux braqués chacun dans\nune direction... tout comme un alpaga !\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0E\x08セアダス\x022\n\x0E\x03\x02\x0A\x08セアダス\nAh, voilà que nous arrive le sauveur passionné\nd'alpagas, en personne.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08アンバー\nHmm. Je sais que c'était dit sans ironie, mais\nla façon dont vous l'avez tourné, ce n'était...\npas très flatteur.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08セアダス\nMa foi, la suite sera peut-être plus flatteuse...\nD'après les cartes, c'est aujourd'hui que\nvous deviendrez un sauveur !\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08アンバー\nVraiment ? Aujourd'hui ?! C'est formidable !\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08アンバー\nAlors, euh... que dois-je faire ?\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08セアダス\nFaites tomber la pluie.\x0E\x04\x00\x00
