MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0E\x08パンドロ\x022\n\x0E\x03\x02\x0A\x08パンドロ\nMessire Vander, c'est vrai que vous étiez\nau service de la reine Lumera à Lythos ?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nヴァンドレ\nSi fait, j'étais son suivant. Pourquoi\ncette question ?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08パンドロ\nBen vous avez aussi servi l'Église. Disons que\nça m'inspire encore plus de respect.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08パンドロ\nJ'aurais donné un bras pour occuper une telle\ndignité... Et en terre sainte, excusez du peu !\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nヴァンドレ\nPoursuis tes flagorneries et c'est ton oreille que\ntu sacrifieras, condamnée à m'entendre radoter.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08パンドロ\nMais je vous en prie ! Je brûle d'envie de vous\nécouter, dites-moi tout.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nヴァンドレ\nAvec plaisir, même si cet endroit ne sied guère\nà un tel entretien.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08パンドロ\nVous n'avez qu'à venir à ma prochaine fête !\nC'est un lieu convenable, non ?\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nヴァンドレ\nHmm. Je n'ai guère l'habitude de me rendre\nà des fêtes.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08パンドロ\nOh, je suis sûr que vous vous sentirez à l'aise.\nC'est rien qu'une petite réunion à l'église.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08パンドロ\nDe jeunes fidèles se livrant à des danses et des\nchants rituels pour la paix, ce genre de choses.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nヴァンドレ\nExprimer sa ferveur par des chants et des\ndanses ? Cela me semble merveilleux.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08パンドロ\nEn tant que clerc, il est de mon devoir d'aider\nles gens à traverser ces temps difficiles.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nヴァンドレ\nJe vois. Tu considères ces rassemblements\ncomme un service rendu à tes fidèles.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08パンドロ\nExactement ! Alors, vous en serez ?\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0C\nヴァンドレ\nBien entendu. Comment refuser une invitation\nà une réunion sacrée ?\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08パンドロ\nFormidable ! J'ai hâte de vous voir sur place.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0E\x08パンドロ\x022\n\x0E\x03\x02\x0A\x08パンドロ\nMerci d'être venu à la fête aujourd'hui, Vander.\nLes célébrations en étaient plus ferventes.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0C\nヴァンドレ\nPandreo, mes oreilles me jouaient des tours ou\nest-ce que vous... hurliez lors de l'office ?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08パンドロ\nAh non, faites pas attention. Ça nous\nprend quand on est saisis par l'extase.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08パンドロ\nC'est vos histoires à propos de la reine Lumera\nqui nous ont littéralement mis en transe.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0C\nヴァンドレ\nEh bien, tu m'en vois ravi, mais... Tout de\nmême, j'ai assisté à un drôle de cérémonial...\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0C\nヴァンドレ\nTu as évoqué des danses et des chants rituels.\nJ'attendais quelque chose de plus... solennel.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nヴァンドレ\nAu lieu de cela, quel carnaval ! Tout le monde\nbondissait et jappait comme des chiots.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nヴァンドレ\nArriviez-vous seulement à entendre ce que\nje disais au milieu de ce brouhaha ?\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08パンドロ\nBien sûr !\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08パンドロ\nD'où notre état ! On exprimait notre fascination\npour vos histoires de tout notre corps et de\ntoute notre âme.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nヴァンドレ\nHmm... Tu vas me trouver démodé, mais... J'ai\ntendance à exprimer mon intérêt en écoutant.\x0E\x04\x00\x00
