MID_GR_Lueur_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nVous êtes le cœur qui anime ce groupe.\nJe ferai tout ce qui est en mon pouvoir\npour vous protéger du danger.\x0E\x04\x00\x00
MID_GR_Lueur_C_#002	\x0E\x03\x02\x0A\x08リュール\nJe vous en remercie, Camilla. Mais vous n'avez\npas besoin d'être si proche pour me le dire,\nvous savez. Je vous entends très bien.\x0E\x04\x00\x00
MID_GR_Lueur_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nVous avez des cheveux tellement magnifiques...\nSi je n'étais pas qu'un simple esprit, j'adorerais\nvous les brosser.\x0E\x04\x00\x00
MID_GR_Lueur_B_#002	\x0E\x03\x02\x0A\x08リュール\nOh, euh... C'est très gentil de votre part, mais\nrestons-en à cette aimable intention.\x0E\x04\x00\x00
MID_GR_Lueur_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nVotre regard reflète une incroyable résolution.\nVous avez dû voir bien des choses difficiles.\x0E\x04\x00\x00
MID_GR_Lueur_A_#002	\x0E\x03\x02\x0A\x08リュール\nIl est vrai que j'ai fait beaucoup de sacrifices.\nMais cela en valait le coup, afin de protéger\nmes amis.\x0E\x04\x00\x00
MID_GR_Lueur_A_#003	\x0E\x03\x02\x08\x06カミラ\nEn ce cas, je ferai tout ce que je peux pour vous\naider à cheminer vers un avenir plus radieux.\x0E\x04\x00\x00
MID_GR_Lueur_A_#004	\x0E\x03\x02\x0A\x08リュール\nMerci. Je suis content\x0E\x0A\x00\x06
MID_GR_Vandre_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nVous voir prendre soin d'autrui me réchauffe\nle cœur. Vous êtes si consciencieux, en plus\nd'être la fiabilité incarnée.\x0E\x04\x00\x00
MID_GR_Vandre_C_#002	\x0E\x03\x02\x0C\nヴァンドレ\nVous me faites honneur, Dame Camilla.\nJ'ai beaucoup appris en me dévouant\nau Dragon divin.\x0E\x04\x00\x00
MID_GR_Vandre_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nIl paraît que vous tricotez. C'est merveilleux !\nJ'ai un faible pour la broderie, même si je m'y\nadonne en dilettante.\x0E\x04\x00\x00
MID_GR_Vandre_B_#002	\x0E\x03\x02\x0C\nヴァンドレ\nJe ne doute pas de vos talents. Quel type\nd'ouvrages confectionnez-vous ?\x0E\x04\x00\x00
MID_GR_Vandre_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nVander, cela vous dérangerait-il que\nje vous observe tricoter ?\x0E\x04\x00\x00
MID_GR_Vandre_A_#002	\x0E\x03\x02\x0C\nヴァンドレ\nPas le moins du monde. Vous pouvez en profiter\npour me régaler de vos histoires tandis que\nje me consacre à mon ouvrage.\x0E\x04\x00\x00
MID_GR_Vandre_A_#003	\x0E\x03\x02\x08\x06カミラ\nParfait. Passerons-nous la journée ensemble,\nà faire du tricot et à échanger des récits ?\x0E\x04\x00\x00
MID_GR_Vandre_A_#004	\x0E\x03\x02\x0C\nヴァンドレ\nJ'en serais charmé. Mais il n'est pas nécessaire\nque vous me scrutiez de si près, cela a tendance\nà m'inspirer quelque nervosité.\x0E\x04\x00\x00
MID_GR_Clan_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nClanne, je tenais à dire que le zèle que vous\ndéployez dans votre travail m'impressionne.\x0E\x04\x00\x00
MID_GR_Clan_C_#002	\x0E\x03\x02\x08\x06クラン\nMerci bien, Dame Camilla. Si vous avez besoin\nde quoi que ce soit, je suis à votre disposition.\x0E\x04\x00\x00
MID_GR_Clan_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06クラン\nExcusez-moi, Dame Camilla... Je vous suis\nreconnaissant pour vos compliments, mais...\nvous ne croyez pas que vous exagérez ?\x0E\x04\x00\x00
MID_GR_Clan_B_#002	\x0E\x03\x02\x08\x06カミラ\nMais pas du tout, mon cher Clanne. Vous êtes\nd'une aide précieuse, aussi bien pour moi que\npour tous les autres.\x0E\x04\x00\x00
MID_GR_Clan_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nExiste-t-il un sentiment plus gratifiant que de\nprendre soin de quelqu'un qui nous est cher ?\nJe ferais n'importe quoi pour Corrin.\x0E\x04\x00\x00
MID_GR_Clan_A_#002	\x0E\x03\x02\x08\x06クラン\nPour ma part, je cherche toujours comment\nje pourrais aider davantage le Dragon divin.\nAuriez-vous des idées ?\x0E\x04\x00\x00
MID_GR_Clan_A_#003	\x0E\x03\x02\x08\x06カミラ\nHmm, laissez-moi réfléchir... Oh ! Je m'étais\ndit que je pourrais agiter un drapeau pour\nencourager Corrin sur le champ de bataille.\x0E\x04\x00\x00
MID_GR_Clan_A_#004	\x0E\x03\x02\x08\x06クラン\nOui, c'est une idée formidable ! Nous pourrions\nfabriquer des drapeaux pour les encourager\ntou\x0E\x0A\x00\x08
MID_GR_Fram_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nJe vous ai vue combattre avec vaillance,\naujourd'hui. Votre force est impressionnante.\x0E\x04\x00\x00
