MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ジャン\x021\n\x0E\x03\x00\x1C\x16S001_ジャン_父親\x022\n\x0E\x03\x02\x18\x16S001_ジャン_父親\nVous devriez vous remettre rapidement avec\nces pilules. Si ce n'est pas le cas, n'hésitez\npas à me le faire savoir, c'est bien compris ?\x0E\x04\x00\x00
MID_OP1_#002	\x0E\x03\x02\x18\x16S001_ジャン_父親\nVous avez l'air en meilleure forme ! Je vous\navais bien dit que ce rhume ne durerait pas\nbien longtemps.\x0E\x04\x00\x00
MID_OP1_#003	\x0E\x03\x02\x08\x06ジャン\nPapa, tu veux pas faire une petite\npause ? Je t'ai fait du thé, regarde !\x0E\x04\x00\x00
MID_OP1_#004	\x0E\x03\x02\x18\x16S001_ジャン_父親\nC'est gentil, Jean. J'espère que tu ne t'es pas\nbrûlé en le préparant.\x0E\x04\x00\x00
MID_OP1_#005	\x0E\x03\x02\x08\x06ジャン\nIl faut toujours que tu t'inquiètes ! Rassure-toi,\nje suis bien assez grand pour mettre une\nbouilloire sur le feu.\x0E\x04\x00\x00
MID_OP1_#006	\x0E\x03\x02\x18\x16S001_ジャン_父親\nHmm hmm, c'est un bonheur pour moi\nde te voir grandir de jour en jour.\x0E\x04\x00\x00
MID_OP1_#007	\x0E\x03\x02\x18\x16S001_ジャン_父親\nTiens ? Qu'est-ce qu'il y a, là-bas ?\x0E\x04\x00\x00
MID_OP1_#008	\x0E\x03\x00\x1C\x16S001_村人_青年男\x023\n\x0E\x03\x02\x18\x16S001_村人_青年男\nDocteur, aidez-nous ! Les monstres nous\nattaquent, il y a des blessés !\x0E\x04\x00\x00
MID_OP1_#009	\x0E\x03\x00\x1C\x16S001_異形兵_ボス\x023\n\x0E\x03\x02\x18\x16S001_異形兵_ボス\nRaaargh ! RAAARGH !\x0E\x04\x00\x00
MID_OP1_#010	\x0E\x03\x02\x08\x06ジャン\nPar le diable, qu'est-ce que c'est que ces\ncréatures ?!\x0E\x04\x00\x00
MID_OP1_#011	\x0E\x03\x02\x18\x16S001_ジャン_父親\nÇa va mal tourner... Va te cacher, Jean !\nJe vais conduire les blessés à l'hospice.\x0E\x04\x00\x00
MID_OP1_#012	\x0E\x03\x02\x18\x16S001_ジャン_父親\nSuivez-moi, vous tous ! Si vous pouvez marcher,\nsoutenez les blessés ! Il faut nous y mettre\nensemble !\x0E\x04\x00\x00
MID_OP1_#013	\x0E\x03\x02\x08\x06ジャン\nPapa veut que je me cache, mais je peux pas\nfaire ça ! Il faut que je participe, moi aussi !\x0E\x04\x00\x00
MID_OP2_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x1C\x08リュール\x10Surprise\n\x0E\x03\x02\x0A\x08リュール\nOh non...\x0E\x04\x00\x00
