MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ロサード\x021\n\x0E\x03\x00\x0C\x06メリン\x022\n\x0E\x03\x02\x08\x06メリン\nAh, Rosado. Depuis toujours, c'était là\nnotre destinée.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08ロサード\nJe sais bien. Cela devait arriver.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08ロサード\nJe n'ai aucune envie d'affronter une amie,\nmais c'est là notre destin et nous ne pouvons\npas y échapper.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06メリン\nNon. Nous n'avons d'autre choix que de\nrégler cela, ici et maintenant !\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06メリン\nC'est parti !\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08ロサード\nLe duel entre la classe et le charme !\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06メリン\nQue le meilleur gagne !\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08ロサード\nTu as fiévreusement étudié ce qui relève de\nla classe, tandis que je me suis spécialisé\ndans tout ce qui pouvait être charmant.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06メリン\nPar un coup du sort, nous nous sommes\nrapprochés, et à présent nous devons décider\nquelle est la meilleure approche.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06メリン\nVoici comment nous allons procéder...\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06メリン\nTu te mettras en quête de l'objet le plus\ncharmant tandis que je dénicherai un objet\ndes plus classe, et nous trancherons !\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06メリン\nNous nous montrerons réciproquement ces\nobjets, et celui qui sera le plus fasciné...\nsera déclaré perdant !\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08ロサード\nD'accord. L'objet que je vais te rapporter\nsera si mignon qu'il fera fondre ton petit cœur !\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06メリン\nFais de ton mieux. Je vais rapporter un objet\ntellement classe que tu en auras la mâchoire\ndécrochée !\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08ロサード\nTrès bien, que le concours de fascination\ncommence !\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ロサード\x021\n\x0E\x03\x00\x0C\x06メリン\x022\n\x0E\x03\x02\x08\x06メリン\nLe duel tant attendu qui devrait départager\nune fois pour toutes le charme de la classe...\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06メリン\nIl peut commencer, Rosado. Es-tu prêt ?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08ロサード\nPlus que prêt. Prépare-toi à tomber sous\nle charme, Merrin.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x08\x06メリン\nJe suis prête ! Montre-moi ce que tu as trouvé\nde charmant.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08ロサード\nPour le plaisir des yeux... Ta-da !\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06メリン\nEst-ce un... dessin ou autre chose du genre ?\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08ロサード\nTu ne vas pas jouer les blasées, là.\nRegarde de plus près.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08ロサード\nC'est une reproduction, grandeur nature,\ndu lapin nain laineux qu'on trouve dans\nle nord d'Elusia.\x0E\x04\x00\x00
