MID_GR_El_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06カムイ\x022\n\x0E\x03\x02\x08\x06カムイ\nJe suis heureuse de rencontrer un autre dragon,\net je ferai tout mon possible pour vous aider à\nmettre un terme à cette guerre.\x0E\x04\x00\x00
MID_GR_El_C_#002	\x0E\x03\x02\x06\x04エル\nIl est rassurant de vous savoir à mes côtés.\nŒuvrons ensemble pour la paix !\x0E\x04\x00\x00
MID_GR_El_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06カムイ\x022\n\x0E\x03\x02\x06\x04エル\nJ'aimerais mieux vous connaître, Corrin.\nVous êtes issue d'une famille nombreuse,\nsi je ne m'abuse ?\x0E\x04\x00\x00
MID_GR_El_B_#002	\x0E\x03\x02\x08\x06カムイ\nOh, je meurs d'envie de vous parler de mes\nfrères et sœurs, mais à la seule condition que\nvous me contiez également vos exploits.\x0E\x04\x00\x00
MID_GR_El_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06カムイ\x022\n\x0E\x03\x02\x08\x06カムイ\nOn m'a relaté que vous aviez risqué votre\nvie pour votre frère. Je me suis trouvée face\nà une situation similaire, par le passé.\x0E\x04\x00\x00
MID_GR_El_A_#002	\x0E\x03\x02\x06\x04エル\nRafal est très cher à mon cœur. Je voulais\ncertes le protéger, mais ce que je souhaitais\npar-dessus tout, c'était qu'il se sente accepté.\x0E\x04\x00\x00
MID_GR_El_A_#003	\x0E\x03\x02\x08\x06カムイ\nJe connais ce sentiment, car il m'a fallu moi\naussi accepter pleinement les conséquences\nde mes choix, à un moment de ma vie.\x0E\x04\x00\x00
MID_GR_El_A_#004	\x0E\x03\x02\x06\x04エル\nVous semblez avoir partagé des expériences\ntrès fortes avec votre fratrie, je brûle d'en\napprendre davantage.\x0E\x04\x00\x00
MID_GR_Rafale_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0C\x06カムイ\x022\n\x0E\x03\x02\x0C\nラファール\nAinsi, vous êtes une descendante des\npremiers dragons ? J'ai hâte de voir\nvos prouesses au combat.\x0E\x04\x00\x00
MID_GR_Rafale_C_#002	\x0E\x03\x02\x08\x06カムイ\nVous possédez vous aussi le pouvoir des\ndragons, n'est-ce pas ? Je suis heureuse\nde côtoyer l'un de mes semblables.\x0E\x04\x00\x00
MID_GR_Rafale_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0C\x06カムイ\x022\n\x0E\x03\x02\x0C\nラファール\nOn dit que vous êtes également capable de vous\ntransformer en dragon... Voilà qui est fascinant.\nVous devez jouir d'une force considérable.\x0E\x04\x00\x00
MID_GR_Rafale_B_#002	\x0E\x03\x02\x08\x06カムイ\nC'est la vérité, même si je ne puis vous en faire\nla démonstration ici. Un peu d'exercice sous\ncette forme serait pourtant bénéfique.\x0E\x04\x00\x00
MID_GR_Rafale_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0C\x06カムイ\x022\n\x0E\x03\x02\x08\x06カムイ\nEst-il vrai que vous aspiriez à devenir plus fort\nque tous vos semblables ? Pourquoi cela ?\nAviez-vous soif de pouvoir ?\x0E\x04\x00\x00
MID_GR_Rafale_A_#002	\x0E\x03\x02\x0C\nラファール\nJ'étais faible, autrefois, et je savais que le seul\nmoyen de gagner le respect de mon père était\nde surpasser tous les autres.\x0E\x04\x00\x00
MID_GR_Rafale_A_#003	\x0E\x03\x02\x0C\nラファール\nCe vœu ne s'est jamais réalisé, et aujourd'hui,\nje combats l'homologue de mon père dans\nce monde... Quelle ironie du destin.\x0E\x04\x00\x00
MID_GR_Rafale_A_#004	\x0E\x03\x02\x08\x06カムイ\nJe sais ce que cela implique de se dresser\ncontre une figure paternelle. Si les émotions\nvous submergent, confiez-vous donc à moi.\x0E\x04\x00\x00
MID_GR_Selestia_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0C\x06カムイ\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nJe suis un dragon mage, Corrin, et je\npressens que nous aurons beaucoup\nde choses à nous dire, vous et moi.\x0E\x04\x00\x00
MID_GR_Selestia_C_#002	\x0E\x03\x02\x08\x06カムイ\nUn dragon mage ? Il n'en existait aucun dans\nmon monde. Vous avez raison, Zelestia,\nje meurs d'envie de discuter avec vous !\x0E\x04\x00\x00
MID_GR_Selestia_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0C\x06カムイ\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nLes Quatre Zéphyrs ont été réunis pour veiller\nsur Dame Nel et Messire Rafal, et vous pouvez\ncompter sur nous pour vous protéger aussi.\x0E\x04\x00\x00
MID_GR_Selestia_B_#002	\x0E\x03\x02\x08\x06カムイ\nC'est un soulagement de vous savoir à mes\ncôtés, Zelestia, et je compte bien vous montrer\nque je suis capable de vous protéger en retour.\x0E\x04\x00\x00
MID_GR_Selestia_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0C\x06カムイ\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nJe suis heureuse que nous soyons revenues\nsaines et sauves. Je ne veux plus jamais avoir\nà revivre la perte d'un allié.\x0E\x04\x00\x00
