MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アイビー\x021\n\x0E\x03\x00\x0C\x06モーヴ\x022\n\x0E\x03\x02\x0A\x08アイビー\nMauvier ?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06モーヴ\nOui, Princesse Ivy ? Que puis-je faire pour\nvous ?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08アイビー\nJe souhaiterais m'entretenir avec vous.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08アイビー\nNous nous trouvons tous deux dans\nune situation semblable.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06モーヴ\nUne situation semblable ? Ah, je crois deviner\nce à quoi vous faites allusion.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06モーヴ\nNous nous sommes tous deux tenus devant\ndes ennemis que nous considérons à présent\ncomme nos alliés.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08アイビー\nPrécisément.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08アイビー\nEn l'état, avez-vous l'impression d'être enfin\nà votre place ?\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06モーヴ\nDifficile à dire...\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06モーヴ\nCertains m'acceptent, mais je ne pense pas\nque ce soit le cas de tout le monde. Pas pour\nl'instant, en tout cas.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06モーヴ\nJe me sens bien ici, mais cela ne veut pas dire\ngrand-chose.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06モーヴ\nJe me comporte comme si tout allait bien,\nmais je n'en ai aucune preuve.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08アイビー\nJe comprends.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06モーヴ\nJe n'ai toutefois pas l'intention de m'en aller.\x0E\x04\x00\x00
