MID_OP1C_#001	\x0E\x02\x00\x06\x04PP\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nNous avons traversé la frontière, nous\nvoilà sur le territoire de Brodia.\x0E\x04\x00\x00
MID_OP1C_#002	\x0E\x03\x02\x0A\x08リュール\nLe décor a bien changé depuis Firene. Rien\nque des roches escarpées à perte de vue.\x0E\x04\x00\x00
MID_OP1C_#003	\x0E\x03\x02\x0E\x0Cアルフレッド\nAttention !\x0E\x04\x00\x00
MID_OP1C_#004	\x0E\x03\x02\x0A\x08リュール\n \x0E\x04\x02\x00
MID_OP1C_#005	\x0E\x03\x01\x0A\x08リュール\n\x0E\x03\x02\x0E\x0Cアルフレッド\nOn nous attaque ?\x0E\x04\x00\x00
MID_OP1C_#006	\x0E\x03\x01\x0E\x0Cアルフレッド\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x06\x00&\nスタルーク\x18MPID_Unknown\n\x0E\x03\x02\x0C\nスタルーク\n \x0E\x04\x00\x00
MID_OP1C_#007	\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x02\x0A\x08リュール\nDéclinez votre identité !\x0E\x04\x00\x00
MID_OP1C_#008	\x0E\x03\x02\x0C\nスタルーク\nJe pourrais avoir la même exigence. C'est vous\nqui traversez subrepticement la frontière.\x0E\x04\x00\x00
MID_OP1C_#009	\x0E\x03\x02\x0A\x08リュール\n \x0E\x04\x00\x00
MID_OP1C_#010	\x0E\x03\x02\x0C\nスタルーク\nDonnez-moi vos noms... ou je devrai en\nconclure que vous êtes des voleurs.\x0E\x04\x00\x00
MID_OP1C_#010_2	\x0E\x03\x02\x0C\nスタルーク\nCette fois, je ne vous manquerai pas.\x0E\x04\x00\x00
MID_OP1C_#011	\x0E\x03\x02\x0A\x08リュール\nOn m'appelle le Dragon divin\n\x0E\x06\x03\x00... Je viens de Lythos.\x0E\x04\x00\x00
MID_OP1C_#012	\x0E\x03\x00\x12\x0Cアルフレッド\x024\n\x0E\x03\x02\x0E\x0Cアルフレッド\nAlfred, prince héritier de Firene...\net accessoirement votre allié.\x0E\x04\x00\x00
MID_OP1C_#013	\x0E\x03\x02\x0C\nスタルーク\nLe Dragon divin... et le prince\nhéritier de Firene ?\x0E\x04\x00\x00
MID_OP1C_#014	\x0E\x03\x02\x0A\x08リュール\nEux-mêmes. Et vous, qui êtes-vous\npour nous tirer ainsi dessus ?\x0E\x04\x00\x00
MID_OP1C_#015	\x0E\x03\x02\x0C\nスタルーク\n \x0E\x04\x02\x00
MID_OP1C_#016	Eh bien...\x0E\x04\x00\x00
MID_OP1C_#017	\x0E\x03\x02\x0A\x08リュール\n \x0E\x04\x00\x00
MID_OP1C_#018	\x0E\x03\x02\x0C\nスタルーク\nJe suis vraiment, vraiment navré !\x0E\x04\x00\x00
MID_OP1C_#019	\x0E\x03\x02\x0A\x08リュール\nHein ?\x0E\x04\x00\x00
MID_OP1C_#020	\x0E\x03\x02\x0C\nスタルーク\nJ'ai menacé le Dragon divin\net le prince héritier de Firene !\x0E\x04\x00\x00
MID_OP1C_#020_2	\x0E\x03\x02\x0C\nスタルーク\nJe vous en supplie, trouvez la force\nde me pardonner !\x0E\x04\x00\x00
MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x020\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nスタルーク\x022\n\x0E\x03\x02\x0A\x08リュール\nTout va bien. Personne n'a été blessé.\x0E\x04\x00\x00
