MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0C\x06モーヴ\x022\n\x0E\x03\x02\x08\x06モーヴ\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nヴァンドレ\nMmmh...\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x08\x06モーヴ\nMessire Vander, vous me suivez.\nJ'exige des explications.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nヴァンドレ\nVous êtes un garde valeureux, en alerte à toute\nheure du jour. On ne peut rêver meilleur\nprotecteur.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06モーヴ\nVous me surveillez ?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0C\nヴァンドレ\nOh, à peine. N'y voyez rien de personnel.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06モーヴ\nCraignez-vous que je change à nouveau\nde camp ?\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nヴァンドレ\nLà n'était pas mon propos, non.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nヴァンドレ\nToutefois, tous ne sont hélas pas encore\nconvaincus de votre sincérité.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06モーヴ\nOn ne peut les en blâmer... J'ai beaucoup\nà faire pardonner.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06モーヴ\nJ'espère un jour gagner votre confiance, même\nsi je conçois qu'il vous faille me surveiller.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nヴァンドレ\nIl ne s'agit pas de surveillance à proprement\nparler. Je vous observe seulement de loin.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06モーヴ\nJe travaille sans ménager ma peine... afin de\ngagner la confiance de chacun.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nヴァンドレ\nL'âpreté à la tâche est une excellente chose,\nmais la confiance est une denrée précieuse.\nPlus facile à perdre qu'à gagner.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06モーヴ\nLa confiance est une denrée précieuse.\nJe me le tiendrai pour dit.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06モーヴ\nVander me hait, lui aussi. Ce n'est guère\nétonnant, quand on songe à ce que j'ai\nfait à la reine Lumera.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0C\x06モーヴ\x022\n\x0E\x03\x02\x0C\nヴァンドレ\nVous vous chargez à nouveau de la garde\naujourd'hui, à ce que je vois.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06モーヴ\nJe me sens mieux lorsque je travaille.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06モーヴ\nNaturellement, je vous présente mes excuses\nsi mes patrouilles vous empêchent de me\nsurveiller en permanence.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0C\nヴァンドレ\nEn effet. Vous ne me facilitez pas la vie.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06モーヴ\nPardonnez-moi...\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0C\nヴァンドレ\nHa ha ha ! Je plaisante, enfin ! Voyons, je ne fais\nque mon métier en vous observant faire le vôtre.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nヴァンドレ\nExercez-le comme bon vous semble.\nJe me garderai bien de vous faire la leçon sur\nla façon dont vous devez honorer vos devoirs.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06モーヴ\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06モーヴ\nMessire Vander, quelles sont vos réflexions\nau sujet de mes agissements passés ?\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0C\nヴァンドレ\nQuel agissement vous tracasse au juste ?\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06モーヴ\nJe suis navré pour Sa Majesté Lumera. Surtout,\nje suis navré de ne pas avoir prononcé ces\nparoles plus tôt.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0C\nヴァンドレ\nCe qui compte, c'est que nous soyons devenus\nalliés. Je n'ai nulle intention de ressasser des\ntemps révolus.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0C\nヴァンドレ\nSi Sa Majesté Lumera était là, elle vous\naccueillerait, Messire Mauvier. C'est pourquoi\nje le fais à sa place.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06モーヴ\nVous ne me haïssez pas pour ce que j'ai fait ?\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nヴァンドレ\nPourquoi le ferais-je ? À quelle fin ?\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06モーヴ\n...\x0E\x04\x00\x00
