MID_OP1_#001	\x0E\x02\x00\x10\x0EDefault\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x02\x0A\x08リュール\n \x0E\x04\x02\x00
MID_OP1_#002	Où suis-je ?\x0E\x04\x00\x00
MID_OP1_#003	\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0C\x06フラン\x023\n\x0E\x03\x02\x08\x06フラン\nHein ?\x0E\x04\x00\x00
MID_OP1_#004	\x0E\x03\x02\x08\x06クラン\nOuah. Dis-moi que tu vois ce que je vois !\x0E\x04\x00\x00
MID_OP1_#005	\x0E\x03\x02\x0A\x08リュール\nBonjour. Qui êtes-vous, exactement ?\x0E\x04\x00\x00
MID_OP1_#006	\x0E\x03\x02\x08\x06フラン\nVous êtes réveillé\x0E\x0A\x00\x06
MID_OP1_#007	\x0E\x03\x02\x0A\x08リュール\nHein ?\x0E\x04\x00\x00
MID_OP1_#008	\x0E\x03\x02\x08\x06フラン\nVous êtes vraiment réveillé\x0E\x0A\x00\x06
MID_OP1_#009	\x0E\x03\x02\x08\x06クラン\nVous êtes bien \x0E\x06\x03\x00, le Dragon divin !\x0E\x04\x00\x00
MID_OP1_#010	\x0E\x03\x02\x0A\x08リュール\nOh...\x0E\x04\x00\x00
MID_OP1_#011	\x0E\x03\x02\x08\x06フラン\nJ'y crois pas !\x0E\x04\x00\x00
MID_OP1_#012	\x0E\x03\x02\x08\x06クラン\nMoi non plus !\x0E\x04\x00\x00
MID_OP1_#013	\x0E\x03\x02\x08\x06クラン\nLe Dragon divin est enfin réveillé !\x0E\x04\x00\x00
MID_OP1_#014	\x0E\x03\x01\x08\x06フラン\n\x0E\x03\x01\x08\x06クラン\n\x0E\x03\x02\x0A\x08リュール\nHein ? Mais attendez !\x0E\x04\x00\x00
MID_OP2_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x02\x0C\nヴァンドレ\nAllons, tous les deux, calmez-vous. Quelle\nraison pourrait bien justifier tout ce raffut ?\x0E\x04\x00\x00
MID_OP2_#002	\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x02\x0A\x08リュール\nOh... Euh...\x0E\x04\x00\x00
MID_OP2_#003	\x0E\x03\x02\x0C\nヴァンドレ\n\x0E\x06\x03\x00, Dragon divin !\x0E\x04\x02\x00
MID_OP2_#004	C'est un miracle. Une opération des cieux.\nVotre Divinité, réveillée après une si longue\nattente...\x0E\x04\x02\x00
MID_OP2_#005	Ainsi, il m'aura été accordé de vous voir\nvous tenir debout devant moi. Quel honneur.\x0E\x04\x00\x00
MID_OP2_#006	\x0E\x03\x02\x0A\x08リュール\nEuh... Sans vouloir manquer de correction...\nQui êtes-vous ?\x0E\x04\x00\x00
MID_OP2_#007	\x0E\x03\x02\x0C\nヴァンドレ\nAh ! J'étais si ému que j'en oubliais\nmes manières. Veuillez me pardonner.\x0E\x04\x02\x00
MID_OP2_#008	Je m'appelle Vander. Je suis le 32e gardien\ndu Dragon.\x0E\x04\x00\x00
MID_OP2_#009	\x0E\x03\x02\x0A\x08リュール\nBonjour, Messire Vander.\x0E\x04\x00\x00
MID_OP2_#010	\x0E\x03\x02\x0C\nヴァンドレ\nOh, Votre Divinité ! Il n'y a pas lieu de me\ngratifier d'un tel titre. Vander suffira.\x0E\x04\x00\x00
MID_OP2_#011	\x0E\x03\x00\x0C\x06フラン\x023\n\x0E\x03\x00\x0C\x06クラン\x024\n\x0E\x03\x02\x08\x06フラン\nVous voyez ! Je vous avais bien dit que\nle Dragon divin était réveillé !\x0E\x04\x00\x00
MID_OP2_#012	\x0E\x03\x02\x08\x06クラン\nOuais ! On vous racontait pas d'histoires !\x0E\x04\x00\x00
MID_OP2_#013	\x0E\x03\x02\x0A\x08リュール\nVous deux... Je ne crois pas avoir entendu\nvos noms.\x0E\x04\x00\x00
MID_OP2_#014	\x0E\x03\x02\x08\x06クラン\nOh, pardon ! Nous étions tellement excités\nque nous avons oublié de nous présenter.\x0E\x04\x02\x00
MID_OP2_#015	Nous sommes les 33e gardiens du Dragon.\nJe m'appelle Clanne, et je suis ravi de faire\nvotre connaissance.\x0E\x04\x00\x00
MID_OP2_#016	\x0E\x03\x02\x08\x06フラン\nEt moi, je suis Framme ! Sa sœur jumelle.\x0E\x04\x02\x00
MID_OP2_#017	Ça fait des lustres qu'on attend votre réveil !\x0E\x04\x00\x00
MID_OP2_#018	\x0E\x03\x02\x0C\nヴァンドレ\nEn tant que gardiens du Dragon, notre devoir\nconsiste à nous occuper de vous et à assurer\nvotre protection.\x0E\x04\x02\x00
MID_OP2_#019	De génération en génération, nos prédécesseurs\nveillèrent sur vous, attendant patiemment\nvotre éveil.\x0E\x04\x02\x00
MID_OP2_#020	Je ne peux qu'avouer ma stupéfaction\nde voir ce jour enfin se lever.\x0E\x04\x02\x00
MID_OP2_#021	Un millénaire s'est écoulé depuis la prise de\nfonction du premier gardien, voyez-vous...\x0E\x04\x00\x00
MID_OP2_#022	\x0E\x03\x02\x0A\x08リュール\nUn millénaire ? J'ai dormi pendant tout\nce temps ?\x0E\x04\x00\x00
MID_OP2_#023	\x0E\x03\x02\x0C\nヴァンドレ\nEn effet. Votre mère, Sa Majesté Lumera,\nla reine draconique divine, attend depuis\nlongtemps ce glorieux événement.\x0E\x04\x02\x00
MID_OP2_#024	Et voilà que vous, dont les veines charrient elles\naussi le sang d'un Dragon divin, vous éveillez\nenfin. Cela ne peut être que d'excellent augure.\x0E\x04\x00\x00
MID_OP2_#025	\x0E\x03\x02\x0A\x08リュール\nJe vous arrête tout de suite. Cette reine dont\nvous parlez... C'est ma mère ?\x0E\x04\x02\x00
MID_OP2_#026	Et moi, je serais ce que vous appelez\nun « Dragon divin » ?\x0E\x04\x00\x00
