MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0E\x08ジェーデ\x022\n\x0E\x03\x02\x0A\x08ジェーデ\n(...)\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0E\x0Cディアマンド\n¿Hay novedades?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08ジェーデ\nAh, mi señor Diamant.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08ジェーデ\nNegativo. Todo en calma esta noche.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0E\x0Cディアマンド\nBien.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08ジェーデ\nCuando estoy de guardia, como ahora,\nme acuerdo de aquel día...\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0E\x0Cディアマンド\n¿De cuál?\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08ジェーデ\nDel de la ventisca de nieve.\nLa pasé apostada en la frontera de Elusia.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0E\x0Cディアマンド\nCierto. Fue una tormenta terrible.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08ジェーデ\nNevaba con tanta intensidad\nque temía no encontraros.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0E\x0Cディアマンド\nY yo.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08ジェーデ\n¿Eh?\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0E\x0Cディアマンド\nEl riesgo de perder a una vasalla tan leal\nvíctima del frío me consumía por dentro.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0E\x0Cディアマンド\nCuando llegué y vi que resistías, no imaginas\nlo aliviado que respiré.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08ジェーデ\nBueno, tampoco hace falta ponerse sensiblero...\naunque agradezco el interés, príncipe Diamant.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0E\x0Cディアマンド\nEstá amaneciendo. Hoy puedes retirarte antes.\nDuerme un poco, ¿de acuerdo?\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08ジェーデ\nEntendido.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0E\x0Cディアマンド\nBuen trabajo. Por cierto, estoy deseando leer\nlos capítulos nuevos. ¿Los acabarás pronto?\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0A\x08ジェーデ\nSí, sin demora.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0E\x08ジェーデ\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\n¡Ja, ja, ja!\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0E\x0Cディアマンド\n¡Ja, ja! No puedo... No puedo parar...\n¡Ja, ja! ¡Me mondo!\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08ジェーデ\nMi señor Diamant, ¿estáis bien?\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0E\x0Cディアマンド\n¿Que si estoy bien? ¡Casi me matas!\nTu prosa es un peligro para mi salud, Jade.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08ジェーデ\nEs un honor inopinado que mis dotes literarias\npongan en riesgo la vida del príncipe heredero.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08ジェーデ\n¿Por dónde vais?\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0E\x0Cディアマンド\nPor el capítulo 19 de "Las aventuras de Amber,\nmajadero por vocación".\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08ジェーデ\n¿Estáis en la parte en la que Amber\nacaba de ganar el torneo de justas?\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0E\x0Cディアマンド\n¡Exacto! Y entonces regresa a su tierra\npara celebrar la victoria, pero nadie le cree.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0E\x0Cディアマンド\nY luego sale a cabalgar por el campo a lomos de\nsu imponente alpaca para secarse las lágrimas.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08ジェーデ\nY cuando por fin se le secan, descabalga...\ny la alpaca le escupe al pobre en toda la cara.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0E\x0Cディアマンド\nEsto es algo más que una novela jocosa,\nJade... ¡Es una obra de arte!\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0E\x0Cディアマンド\n¿Cuándo terminarás la siguiente?\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08ジェーデ\nBueno... justo de eso quería hablaros.\nQuizá deje de escribir por un tiempo.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0E\x0Cディアマンド\n¿De veras?\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0E\x0Cディアマンド\nTe entiendo. Los combates se recrudecen\ncada vez más. Si no queda más remedio...\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08ジェーデ\nEso influye, sin duda, aunque...\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08ジェーデ\núltimamente, todo lo que escribo me resulta...\ninsustancial. Me aburren mis propias ideas.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0E\x0Cディアマンド\nO sea, que has llegado a un punto muerto.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08ジェーデ\nSí. Necesito dar descanso a mi pluma.\nDisculpad si la noticia os importuna, mi señor.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0E\x0Cディアマンド\nNo te disculpes. Soy un lector tan empedernido\ncomo paciente. Tómate el tiempo que necesites.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0A\x08ジェーデ\nMuchísimas gracias. Si retomo la escritura,\nos lo haré saber.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0E\x0Cディアマンド\nEn realidad, me alegra saber que te tomarás\nun descanso. Entretanto...\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0E\x0Cディアマンド\n¿qué tal si la próxima novela la escribo yo?\x0E\x04\x00\x00
MID_RELIANCE_B_#025	\x0E\x03\x02\x0A\x08ジェーデ\n¿Eh?\x0E\x04\x00\x00
MID_RELIANCE_B_#026	\x0E\x03\x02\x0E\x0Cディアマンド\nTranquila, no te pisotearé el trabajo. Sería más\nbien una... historia paralela. Me veo con ganas.\x0E\x04\x00\x00
MID_RELIANCE_B_#027	\x0E\x03\x02\x0A\x08ジェーデ\nEsto... ¿Habláis en serio?\x0E\x04\x00\x00
MID_RELIANCE_B_#028	\x0E\x03\x02\x0E\x0Cディアマンド\nSiempre hablo en serio. Cuando la termine,\nte aviso. Hasta entonces, descansa.\x0E\x04\x00\x00
MID_RELIANCE_B_#029	\x0E\x03\x02\x0A\x08ジェーデ\nEntendido.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0E\x08ジェーデ\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nJade, he terminado el primer borrador.\n¿Te importaría echarle una ojeada?\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0E\x0Cディアマンド\nSe titula "Más aventuras de Amber,\nmajadero por vocación".\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08ジェーデ\nConque... lo habéis escrito de verdad...\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08ジェーデ\nSí, por supuesto, príncipe Diamant.\nSerá un... placer.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0E\x0Cディアマンド\n(...)\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08ジェーデ\nTiene su gracia. No obstante...\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0E\x0Cディアマンド\nSé sincera, sin ambages.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08ジェーデ\nAquí vendría a cuento algún chascarrillo más.\nY podría retocarse esta escena...\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0E\x0Cディアマンド\nMmm... ¿Qué modificarías?\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08ジェーデ\nSi de mí dependiera, haría que la lana\nde la alpaca explotara y saliera despedida.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0E\x0Cディアマンド\nJa...\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08ジェーデ\nY, cuando Amber se recompone,\nla lana le crece de golpe, pero suave y lisa.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08ジェーデ\nAmber va a montarse en la alpaca, pero está\ntan sedosa que resbala... No, sale disparado.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08ジェーデ\nY, mientras Amber vuela hacia el horizonte...\nla alpaca, toda afligida, escupe en el suelo.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0E\x0Cディアマンド\n(...)\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0E\x0Cディアマンド\n¡Ja, ja, ja!\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0E\x0Cディアマンド\n¡Es perfecto! Tu versión es mucho mejor.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08ジェーデ\nGracias. Aunque, en conjunto, la historia está\nbastante lograda, mi señor Diamant.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08ジェーデ\nCon gusto os proporcionaré más observaciones\ncuando tengáis listo el segundo borrador.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0E\x0Cディアマンド\nNo, lo dejo aquí.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08ジェーデ\n¡¿Eh?! ¿Pero por qué arrugáis las hojas?\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0E\x0Cディアマンド\nPorque ya han cumplido su cometido.\nParece que tu nueva novela está en camino.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08ジェーデ\n¿Mi nueva novela?\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0E\x0Cディアマンド\nAsí es. La idea del pelaje sedoso es magnífica.\nSeguro que puedes seguir desde ahí.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0A\x08ジェーデ\nUn momento. ¿Acaso...?\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0A\x08ジェーデ\n¿Lo que habéis escrito... era un intento\nde estimular mi creatividad?\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0E\x0Cディアマンド\n¿Preguntas si he compuesto ese borrador\nmediocre a propósito? No soy tan sagaz...\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0E\x0Cディアマンド\nMe he empleado a fondo, pero mis chascarrillos\nquedan en nada ante los de una artista de pro.\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0A\x08ジェーデ\nPríncipe Diamant...\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x0A\x08ジェーデ\nAunque finjáis que no era esa vuestra\nintención...\x0E\x04\x00\x00
MID_RELIANCE_A_#031	\x0E\x03\x02\x0A\x08ジェーデ\nos doy las gracias.\x0E\x04\x00\x00
MID_RELIANCE_A_#032	\x0E\x03\x02\x0E\x0Cディアマンド\nBueno. Va siendo hora de ponerse a trabajar.\x0E\x04\x00\x00
MID_RELIANCE_A_#033	\x0E\x03\x02\x0E\x0Cディアマンド\nOlvídate de hacer guardia esta noche, Jade.\nYo me ocupo.\x0E\x04\x00\x00
MID_RELIANCE_A_#034	\x0E\x03\x02\x0A\x08ジェーデ\nPero...\x0E\x04\x00\x00
MID_RELIANCE_A_#035	\x0E\x03\x02\x0E\x0Cディアマンド\nTe has dejado la piel en los últimos combates,\ny de ahí el bloqueo que sufriste. Descansa.\x0E\x04\x00\x00
MID_RELIANCE_A_#036	\x0E\x03\x02\x0E\x0Cディアマンド\nCuando finalices la novela, dímelo. Nada me\nrelaja más que reírme leyendo tus historias.\x0E\x04\x00\x00
MID_RELIANCE_A_#037	\x0E\x03\x02\x0A\x08ジェーデ\nEntendido. Muchísimas gracias.\x0E\x04\x00\x00
MID_RELIANCE_A_#038	\x0E\x03\x02\x0A\x08ジェーデ\nMientras me tengáis por vasalla,\nmi señor Diamant...\x0E\x04\x00\x00
MID_RELIANCE_A_#039	\x0E\x03\x02\x0A\x08ジェーデ\njuro proteger cada uno de vuestros huesos...\ny en especial el de la risa.\x0E\x04\x00\x00
