MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06クロエ\x022\n\x0E\x03\x02\x0A\x08リュール\n(...)\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06クロエ\nSois tan adorable cuando dormís, Divinidad.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08リュール\n¡¿Eh?!\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06クロエ\nOh, buenos días. ¿Os he despertado?\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08リュール\n¿Estabas observándome mientras dormía?\n¡¿Otra vez?!\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06クロエ\nSí. Lo siento.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08リュール\nNo deberías molestarme si decido\nechar una cabezada mientras estoy fuera.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08リュール\nEs molesto despertar y ver a alguien\nobservándote fijamente.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06クロエ\n¡Oh! Esa no era mi intención, Divinidad.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06クロエ\nPero habéis dormido durante mil años,\ncomo un personaje salido de una fábula.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06クロエ\nVuestra forma durmiente es tan etérea\nque no puedo evitar observarla.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08リュール\nLo entiendo. Pero debía de tener un aspecto\nridículo durmiendo precisamente en este lugar.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06クロエ\n¡No! ¡Nada de eso!\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06クロエ\nAunque se me ha ocurrido una idea.\nEscuchadme.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06クロエ\nSi siempre estoy presente cuando despertéis,\nquizá os acostumbréis y dejéis de asustaros.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06クロエ\nTan solo tendríamos que instalar\nuna cama extra en vuestros aposentos.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08リュール\n¡Ni hablar! ¡De ninguna manera!\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x08\x06クロエ\nVaya, pues es una pena...\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06クロエ\x022\n\x0E\x03\x02\x08\x06クロエ\nEstuvisteis durmiendo durante mil años...\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06クロエ\nY, nada más despertar, os lanzasteis\na la batalla contra las fuerzas del mal...\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06クロエ\n¡Sois la encarnación perfecta del personaje\nprotagonista de un cuento de hadas!\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08リュール\n¿Eso crees?\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06クロエ\nClaro. No todos los días se conoce\na una persona tan extraordinaria.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06クロエ\nVuestra vida no tiene nada de ordinario...\n¡Vuestro destino es vivir aventuras!\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06クロエ\nCuánto quisiera ser así...\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08リュール\nNo sé...\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06クロエ\n¿Cómo? ¿Por qué no?\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08リュール\nEsta vida conlleva una carga muy pesada.\nAunque no reniegue de mi existencia...\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08リュール\nEs completamente cierto que mi vida\nno tiene nada de ordinario.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08リュール\nA veces, tampoco me desagradaría\nllevar una vida algo más normal.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06クロエ\nLo siento. Me he dejado llevar por mi deseo\nde vivir en un cuento de hadas...\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06クロエ\nNi siquiera me había planteado cómo se siente\nalguien cuya vida ya es así.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08リュール\nNo tienes por qué disculparte, Chloé.\nSé que no era tu intención.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06クロエ\nDe todos modos, todavía me sabe un poco mal.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x08\x06クロエ\n¡Ya lo tengo! Os traeré algo especial\ny delicioso para compensaros.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x08\x06クロエ\n¡Conozco un sitio que tiene un pescado\nen adobo tan ácido que quita el sentido!\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x08\x06クロエ\n¡Voy a traer un poco ahora mismo!\n¡Os va a encantar!\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08リュール\n¡No hace falta! ¡De verdad! ¡Solo de pensarlo,\nya me da flojera en las piernas!\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06クロエ\x022\n\x0E\x03\x02\x0A\x08リュール\nSé que a menudo dices que te gustaría\nvivir en un cuento de hadas...\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06クロエ\nSí. Es mi deseo desde que era una niña.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06クロエ\nNací en una familia noble, así que mis padres\nya habían planificado cómo sería mi vida.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06クロエ\nMi destino como mujer noble sería casarme\ny dedicarme a la familia de mi esposo.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06クロエ\nNo se me permitía ni siquiera probar\nla comida callejera que tanto me gusta.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06クロエ\nNo era apropiado para una chica de alta cuna...\nOdiaba aquella vida.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08リュール\nNo tenía ni idea.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x08\x06クロエ\nYo soñaba con una vida libre y emocionante...\nUna vida fuera de lo común.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08リュール\nNo era mi intención traerte recuerdos\ntan dolorosos, Chloé.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06クロエ\nEstá bien; son solo recuerdos. Al final, cumplí\nmi sueño cuando me convertí en caballera.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06クロエ\nConocer a la princesa Céline... y a vos...\nme ha permitido vivir como siempre soñé.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06クロエ\n¿Qué mejor cuento de hadas que luchar\njunto al Dragón Divino y la familia real?\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08リュール\nVisto así, quizá tengas razón.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x08\x06クロエ\nMe pregunto si algún día se narrarán\nhistorias sobre esta guerra.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08リュール\nEs posible. Y, cuando lo hagan...\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08リュール\nno me extrañaría que fueses\nuno de sus personajes principales.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06クロエ\n¡¿Cómo?! Nunca se me había pasado\nesa idea por la cabeza. ¡Pero me gusta!\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06クロエ\nDebo conducirme con virtuosidad para darles\nun buen ejemplo a las generaciones venideras.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08リュール\nEstás en el buen camino, Chloé.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x08\x06クロエ\nGracias, Divinidad.\x0E\x04\x00\x00
MID_RELIANCE_S_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06クロエ\x022\n\x0E\x03\x02\x0A\x08リュール\nTienes una personalidad contagiosa, Chloé.\x0E\x04\x00\x00
MID_RELIANCE_S_#002	\x0E\x03\x02\x08\x06クロエ\n¿Sí? ¿En qué sentido?\x0E\x04\x00\x00
MID_RELIANCE_S_#003	\x0E\x03\x02\x0A\x08リュール\nAl igual que tú desearías vivir en un cuento\nde hadas, yo empiezo también a tener un sueño.\x0E\x04\x00\x00
MID_RELIANCE_S_#004	\x0E\x03\x02\x08\x06クロエ\n¡Pues fantástico!\x0E\x04\x00\x00
MID_RELIANCE_S_#005	\x0E\x03\x02\x08\x06クロエ\nAhora que sabéis cuál es vuestro sueño,\npodéis tratar de hacerlo realidad.\x0E\x04\x00\x00
MID_RELIANCE_S_#006	\x0E\x03\x02\x0A\x08リュール\nQuizá no sea tan sencillo.\x0E\x04\x00\x00
MID_RELIANCE_S_#007	\x0E\x03\x02\x0A\x08リュール\nHay ciertas partes de mi sueño\nque no puedo cumplir en solitario.\x0E\x04\x00\x00
MID_RELIANCE_S_#008	\x0E\x03\x02\x08\x06クロエ\n¿A quién más necesitáis?\x0E\x04\x00\x00
MID_RELIANCE_S_#009	\x0E\x03\x02\x0A\x08リュール\nA ti, Chloé.\x0E\x04\x00\x00
MID_RELIANCE_S_#010	\x0E\x03\x02\x08\x06クロエ\n¡¿A mí?!\x0E\x04\x00\x00
MID_RELIANCE_S_#011	\x0E\x03\x02\x0A\x08リュール\nCuando imagino mi vida tras la guerra,\nla veo incompleta sin tu presencia.\x0E\x04\x00\x00
MID_RELIANCE_S_#012	\x0E\x03\x02\x0A\x08リュール\nY, si algún día protagonizas tu propio\ncuento de hadas, quiero ser tu acompañante.\x0E\x04\x00\x00
MID_RELIANCE_S_#013	\x0E\x03\x02\x08\x06クロエ\nCaramba...\x0E\x04\x00\x00
MID_RELIANCE_S_#014	\x0E\x03\x02\x0A\x08リュール\nSi tú sientes lo mismo, espero que aceptes\neste regalo.\x0E\x04\x00\x00
MID_RELIANCE_S_#015	\x0E\x03\x02\x0A\x08リュール\nTe lo tenía reservado.\x0E\x04\x00\x00
MID_RELIANCE_S_#016	\x0E\x03\x02\x08\x06クロエ\nEso es el Anillo del Pacto...\x0E\x04\x00\x00
MID_RELIANCE_S_#017	\x0E\x03\x02\x0A\x08リュール\nLlevabas razón: mi vida no tiene\nnada de ordinario.\x0E\x04\x00\x00
MID_RELIANCE_S_#018	\x0E\x03\x02\x0A\x08リュール\nY pretender que formes parte de ella\nquizá sea pedirte demasiado.\x0E\x04\x00\x00
MID_RELIANCE_S_#019	\x0E\x03\x02\x0A\x08リュール\nPero tenía que intentarlo.\x0E\x04\x00\x00
MID_RELIANCE_S_#020	\x0E\x03\x02\x08\x06クロエ\nOs bastaba con pedírmelo, \x0E\x06\x03\x00.\x0E\x04\x00\x00
MID_RELIANCE_S_#021	\x0E\x03\x02\x08\x06クロエ\nNunca he querido llevar una vida ordinaria,\ny la posibilidad de figurar en vuestra historia...\x0E\x04\x00\x00
MID_RELIANCE_S_#022	\x0E\x03\x02\x08\x06クロエ\nes el final más feliz que se me ocurre.\x0E\x04\x00\x00
MID_RELIANCE_S_#023	\x0E\x03\x02\x0A\x08リュール\n¿Entonces...?\x0E\x04\x00\x00
MID_RELIANCE_S_#024	\x0E\x03\x02\x08\x06クロエ\nClaro que acepto el anillo. Siempre estaré con\nvos para que vuestro sueño se haga realidad.\x0E\x04\x00\x00
MID_RELIANCE_S_#025	\x0E\x03\x02\x0A\x08リュール\nGracias, Chloé.\x0E\x04\x00\x00
MID_RELIANCE_S_#026	\x0E\x03\x02\x08\x06クロエ\nAquí comienza el cuento de su Divinidad\ny Chloé, ¡una historia para la eternidad!\x0E\x04\x00\x00
