MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ラピス\x021\n\x0E\x03\x00\x0E\x08ロサード\x022\n\x0E\x03\x02\x08\x06ラピス\n¿Sabes qué, Rosado?\nSiempre he pensado que eres muy mono.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08ロサード\n¡Oh, gracias!\nHarás que me sonroje.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x08\x06ラピス\nMe fascina que siempre seas tan adorable.\n¿Cuál es tu secreto?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08ロサード\nMmm... No creo que tenga ninguno.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08ロサード\nSolo intento ser la mejor versión de mí mismo\ny luego la exteriorizo.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06ラピス\n¿Sí?\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08ロサード\nClaro. Las apariencias importan,\npero la verdadera belleza está en el interior.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08ロサード\nDe nada sirve vestirte con las mejores galas\nsi uno no cree en sí mismo.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06ラピス\nAh... Por eso yo no soy mona.\nHay algo malo dentro de mí.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08ロサード\n¿Cómo? Pero, Lapis, si eres preciosa.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06ラピス\n¡No! Me falta seguridad en mí misma.\nHay muchas cosas de mí que no me gustan.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06ラピス\nComo que me gusta comer hierba y arbustos,\ny que soy terriblemente fuerte...\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08ロサード\nNo sé muy bien de lo que hablas,\npero, por tu cara, deduzco que es algo serio.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08ロサード\n¿Por qué no me lo cuentas?\nEstaré encantado de escucharte.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06ラピス\n¿De verdad? Eres muy amable, gracias.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08ロサード\n¡Gracias a ti!\nAvísame siempre que me necesites.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ラピス\x021\n\x0E\x03\x00\x0E\x08ロサード\x022\n\x0E\x03\x02\x08\x06ラピス\nRosado, ¿puedo pedirte algo?\nEs sobre lo del otro día.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08ロサード\n¡Claro, dime!\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06ラピス\nDijiste que, para ser adorable, hay que creer\nen uno mismo. ¿De dónde sacas la confianza?\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08ロサード\nNo sé... Supongo que tendrá\nque ver con cómo me crie.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06ラピス\nEntiendo.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08ロサード\nNací en una aldea cerca del Lago Misterio.\nEs conocida como la aldea de las hadas.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08ロサード\nEs un lugar maravilloso. Valoramos la belleza\nen sí, por encima de cosas como el género.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06ラピス\n¡Vaya! Nunca había oído hablar\nde un lugar como ese.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08ロサード\nAllí todos nos aceptamos como somos.\nTodo el mundo es hermoso a su estilo.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08ロサード\nComo crecí en ese entorno, me sorprendí\nal ver lo diferente que era el mundo exterior.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08ロサード\nPero me gusta ser distinto. Quiero que todos\nsepan que ser diferente es estupendo.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06ラピス\n¿Dices que ser diferente\na los demás... es bueno?\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08ロサード\nBueno no, ¡estupendo! Tus diferencias\nte hacen única. Te hacen ser quien eres.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08ロサード\nDe hecho, irme de mi hogar me ha servido\npara tener más confianza en mí mismo.\x0E\x04\x00\x00
