MID_GR_El_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x06\x04エル\nHa pasado tanto tiempo, Chrom... Me invade\nla nostalgia al hablar contigo de nuevo.\x0E\x04\x00\x00
MID_GR_El_C_#002	\x0E\x03\x02\x08\x06クロム\nSí, aquel día en el castillo de Lythos parece\nya muy lejano. Me alegra reunirme contigo.\x0E\x04\x00\x00
MID_GR_El_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06クロム\nRecuerdo la calma que me invadía al sumirme\nen mi letargo. ¿Aún conservas ese poder?\x0E\x04\x00\x00
MID_GR_El_B_#002	\x0E\x03\x02\x06\x04エル\nMe temo que no en este mundo.\nPero puedo cantarte una nana, si lo deseas...\x0E\x04\x00\x00
MID_GR_El_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06ルフレ\x022\n\x0E\x03\x00\x0C\x06クロム\x023\n\x0E\x03\x02\x06\x04エル\nNo es habitual que hables conmigo, Daraen.\nCasi siempre estás absorto en tus estudios...\x0E\x04\x00\x00
MID_GR_El_A_#002	\x0E\x03\x02\x08\x06ルフレ\nQuería pedirte que me cantaras una nana.\nChrom me ha contado que le tarareaste una.\x0E\x04\x00\x00
MID_GR_El_A_#003	\x0E\x03\x02\x08\x06クロム\nMe deparó el mejor sueño de mi vida. Cántanos\npara que lleguemos frescos a la próxima batalla.\x0E\x04\x00\x00
MID_GR_El_A_#004	\x0E\x03\x02\x06\x04エル\nDe acuerdo, pero que sea un sueño ligero. No\nquiero tener que arrastraros cuando os invoque.\x0E\x04\x00\x00
MID_GR_Rafale_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x0C\nラファール\nDe modo que tú también estás aquí...\nDisculpa por las batallas que te obligué a librar.\x0E\x04\x00\x00
MID_GR_Rafale_C_#002	\x0E\x03\x02\x08\x06クロム\nNo hay nada que disculpar; haremos borrón\ny cuenta nueva. Será un placer combatir juntos.\x0E\x04\x00\x00
MID_GR_Rafale_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06クロム\nSuenas... distinto. ¿Quieres que yo también\naltere mi voz? ¿Que parezca más autoritario?\x0E\x04\x00\x00
MID_GR_Rafale_B_#002	\x0E\x03\x02\x0C\nラファール\nHe dejado de fingir que soy Nil. No hace falta\nque tú alteres nada. Limítate a ser quien eres.\x0E\x04\x00\x00
MID_GR_Rafale_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0C\x06ルフレ\x022\n\x0E\x03\x00\x0C\x06クロム\x023\n\x0E\x03\x02\x0C\nラファール\nMe sorprende verte, Daraen.\nPensaba que preferías evitarme.\x0E\x04\x00\x00
MID_GR_Rafale_A_#002	\x0E\x03\x02\x08\x06ルフレ\nNo te odio, Rafal. En cierto modo, yo también\nsoy un Dragón Caído. Imagino cómo te sientes.\x0E\x04\x00\x00
MID_GR_Rafale_A_#003	\x0E\x03\x02\x08\x06クロム\nDejemos el pasado estar y centrémonos\nen preparar juntos un futuro mejor.\x0E\x04\x00\x00
MID_GR_Rafale_A_#004	\x0E\x03\x02\x0C\nラファール\nBien dicho. Me olvidaré de lo que ha quedado\natrás y miraré hacia delante. Gracias a los dos.\x0E\x04\x00\x00
MID_GR_Selestia_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06クロム\nProcura ir abrigada, ¿de acuerdo? Si te resfrías,\nno estarás en condiciones para luchar.\x0E\x04\x00\x00
MID_GR_Selestia_C_#002	\x0E\x03\x02\x0E\x0Cセレスティア\nLa temperatura corporal de las dragonas magas\nes muy elevada, pero gracias por preocuparte.\x0E\x04\x00\x00
MID_GR_Selestia_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\n\x0E\x03\x02\x08\x06クロム\nZelestia, ¿eras tú la que estaba en la cafetería\ncomiendo a dos carrillos?\x0E\x04\x00\x00
MID_GR_Selestia_B_#002	\x0E\x03\x02\x0E\x0Cセレスティア\nEl estómago de una dragona maga es diez veces\nmayor que el humano. Es broma. Tenía hambre.\x0E\x04\x00\x00
MID_GR_Selestia_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nQuiero ser la inspiración de los Cuatro Vientos.\n¿Qué hace falta para ser un gran líder como tú?\x0E\x04\x00\x00
MID_GR_Selestia_A_#002	\x0E\x03\x02\x08\x06クロム\nEn los Custodios contaba con grandes aliados.\nNo tengo ninguna cualidad especial.\x0E\x04\x00\x00
MID_GR_Selestia_A_#003	\x0E\x03\x02\x08\x06クロム\nUn caballero hasta me apartaba las piedras\ndel camino. Yo, como líder, lo permitía...\x0E\x04\x00\x00
MID_GR_Selestia_A_#004	\x0E\x03\x02\x0E\x0Cセレスティア\nAdmitir tus defectos es señal de fortaleza.\nGracias. Espero estar a tu altura algún día.\x0E\x04\x00\x00
MID_GR_Gregory_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x0C\nグレゴリー\nCuando lucho contigo, no tengo tiempo para\nsentir miedo. Es un no parar de enemigos...\x0E\x04\x00\x00
MID_GR_Gregory_C_#002	\x0E\x03\x02\x08\x06クロム\nCulpa a Daraen, que es el estratega.\nAdemás, combatir te hará más valiente, créeme.\x0E\x04\x00\x00
MID_GR_Gregory_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x0C\nグレゴリー\n¡Esta batalla ha sido un festín! Un momento...\n¿Veo sangre en mi ropa? ¿Acaso voy a morir?\x0E\x04\x00\x00
MID_GR_Gregory_B_#002	\x0E\x03\x02\x08\x06クロム\nCalma, Gregory. No es sangre, sino la salsa\nde tomate del almuerzo...\x0E\x04\x00\x00
MID_GR_Gregory_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x0C\nグレゴリー\nOjalá fuera tan gallardo como tú, pero siempre\nacabo huyendo y haciendo el ridículo...\x0E\x04\x00\x00
MID_GR_Gregory_A_#002	\x0E\x03\x02\x08\x06クロム\nNo te avergüences. Ponerse a salvo es natural,\npero debes plantarles cara a tus temores.\x0E\x04\x00\x00
MID_GR_Gregory_A_#003	\x0E\x03\x02\x08\x06クロム\nA mí también me da miedo perder a mis amigos,\npero eso me empuja a seguir luchando.\x0E\x04\x00\x00
MID_GR_Gregory_A_#004	\x0E\x03\x02\x0C\nグレゴリー\nEl miedo te empuja a pelear... Vale, intentaré\nseguir tu ejemplo la próxima vez. ¡Confía en mí!\x0E\x04\x00\x00
MID_GR_Madeline_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06クロム\n¿Y esta abeja? ¿Buscará néctar?\nAh, mira, te sigue, Madeline.\x0E\x04\x00\x00
MID_GR_Madeline_C_#002	\x0E\x03\x02\x0C\nマデリーン\n¿U-una abeja? E-en mi mundo no las he visto\nnunca... No me da miedo, pero... ¡vámonos ya!\x0E\x04\x00\x00
