MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nエーティエ\x022\n\x0E\x03\x02\x0A\x08リュール\nJa, ja...\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nエーティエ\n¿Eh?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nエーティエ\n¿Qué ocurre?\nMe miráis de un modo muy extraño.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08リュール\nLo siento. No quería molestarte.\nSe me ha escapado.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nエーティエ\n¿Acaso hay algo impropio en mi aspecto?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08リュール\n¡No, no! ¡Para nada!\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nエーティエ\nEntonces, ¡decidme de qué os reís!\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08リュール\n(...)\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08リュール\nEs que siempre tienes ese aire\nde seguridad en ti misma...\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0C\nエーティエ\n¿Eh?\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08リュール\nEstaba pensando en lo mucho que se te nota\nen la mirada.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08リュール\nDesprendes autoconfianza por cada poro.\nEres toda una inspiración.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0C\nエーティエ\nY por eso me estabais mirando así...\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08リュール\nLo siento, Etie. Si te molesta, lo dejo.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0C\nエーティエ\nNo, no me importa. De hecho, es un honor\nayudar a vuestra Divinidad.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0C\nエーティエ\nSi mirándome de ese modo os sentís mejor,\nhacedlo todo el tiempo que queráis.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08リュール\n¡Gracias!\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0C\nエーティエ\nA ver, me da un poco de vergüenza,\npero saldré a correr un rato y se me pasará.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0C\nエーティエ\n¡Hasta otra ocasión, Divinidad!\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nエーティエ\x022\n\x0E\x03\x02\x0C\nエーティエ\nVeo que me estáis observando de nuevo,\nvuestra Divinidad.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08リュール\nSí. Otra vez. Lo siento; no puedo evitarlo.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nエーティエ\nYa sabéis que no me molesta.\nDe hecho, hasta me parece bien.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0C\nエーティエ\nDicho lo cual, se me ocurren formas de haceros\nsentir bien mucho mejores que observarme.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08リュール\n¿Como qué?\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0C\nエーティエ\n¡Dar cien vueltas alrededor del Somniel!\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08リュール\n¿Cómo?... ¡¿Corriendo?!\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nエーティエ\nIncluso yo me estreso a veces.\nCuando ocurre, me pego una buena carrera.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nエーティエ\nMientras corro, mi mente se vacía.\nEs como si exudara las preocupaciones.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08リュール\nPero ¿es necesario dar cien vueltas?\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nエーティエ\nSegún mi experiencia, sí. Si es menos, se corre\nel riesgo de dejar algunas dudas persistentes.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0C\nエーティエ\n¿Y bien? ¿Os interesa?\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08リュール\nSí... creo.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0C\nエーティエ\nMuy bien. ¡Pues vamos allá!\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08リュール\n¡¿Ahora mismo?!\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0C\nエーティエ\n¡No hay tiempo que perder!\n¿Queréis ganar confianza en vos o no?\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08リュール\nNo tenía planeado correr tanto hoy,\npero no se pierde nada por intentarlo.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08リュール\n¡Venga, Etie! ¡Vamos a correr!\x0E\x04\x00\x00
