MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ロサード\x021\n\x0E\x03\x00\x0E\x08セアダス\x022\n\x0E\x03\x02\x0A\x08セアダスMmm...\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08ロサード\nPuedes mirar, no me importa.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08セアダス\n¿Cómo?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08ロサード\nLlevas un rato observándome.\nNo pasa nada, sé que soy adorable.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08ロサード\nEstabas admirando mi hermosura, ¿no?\nSigue, sigue.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08セアダス\nBueno, no vas mal encaminado.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08セアダス\nAdmiro cómo cuidas de tu salud\ny de tu aspecto.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08セアダス\nTu pelo brilla tanto que hasta reluce,\ny tu piel... es la definición de saludable.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08セアダス\nMe muero por saber cuál es el secreto\nde tu belleza.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08ロサード\n¡Ah, muchas gracias!\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08ロサード\nAunque, no tengo ningún secreto.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08セアダス\nEso es imposible.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08セアダス\nDebe de haber algo. Vigilar lo que comes,\nhacer mucho ejercicio... algo.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08セアダス\nEs imposible tener ese aspecto\nsin esfuerzo alguno.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08セアダス\nSi dijeras la verdad, sería muy injusto.\nYo me he esforzado mucho para estar así.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08ロサード\nNo sé qué decirte...\nDe verdad que no hago nada especial.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08セアダス\nPor favor.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0A\x08セアダス\nQuizá sea algo que haces inconscientemente,\no quizá no quieras compartir tu secreto.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0A\x08セアダス\nSea lo que sea, lo descubriré.\nMi orgullo profesional de bailarín lo exige.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ロサード\x021\n\x0E\x03\x00\x0E\x08セアダス\x022\n\x0E\x03\x02\x0A\x08ロサード\nZzz...\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08セアダス\nBien. Rosado se está echando una siesta.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08ロサード\nMmm... Adorable...\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08セアダス\nDebe de tener algún secreto de belleza.\nSolo basta con mirarlo para saberlo.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08セアダス\nLo he estado observando en secreto y,\naun así, no he descubierto nada de nada...\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08ロサード\nMmm... Je, je... Mmm...\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08セアダス\nUgh. Qué posición más mala para dormir.\nEs fatal para la postura.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08セアダス\nSe supone que dormir es bueno para la piel,\npero no es su secreto, todo el mundo duerme.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08セアダス\nTengo que ser paciente. En algún momento\ntendrá que hacer algo interesante.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x04\x03\x04
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08ロサード\n¡Qué bien me siento esta mañana!\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08セアダス\nBien, se acaba de despertar y se está lavando\nla cara. Por fin descubriré su secreto.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08セアダス\nCon esa piel tan hidratada que tiene,\ndebe de usar alguna loción especial.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08セアダス\n¿Qué será? Tengo que saberlo.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08ロサード\n♪¡Hum, hummm!♪\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08セアダス\nQué raro, no se ha puesto ninguna loción...\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08セアダス\nSe ha lavado la cara\ny ahora se está lavando el pelo.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08セアダス\nY ni siquiera está usando champú.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08ロサード\n¡Limpio y fresquito!\nEs la hora de desayunar.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08セアダス\n¿Ni acondicionador con aceites esenciales\nni gomina? ¡Ni siquiera se ha secado el pelo!\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0A\x08セアダス\nNo puede ser. ¿Será verdad que Rosado\nno tiene ningún truco de belleza?\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0A\x08セアダス\nNo... Seguro que será algo que come.\nEse debe de ser su truco.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0A\x08セアダス\nNo me rendiré hasta que lo descubra.\nSi Rosado puede estar tan fabuloso, yo también.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ロサード\x021\n\x0E\x03\x00\x0E\x08セアダス\x022\n\x0E\x03\x02\x0A\x08ロサード\n(...)\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08ロサード\nHoy el pollo asado está delicioso.\n¿Quieres un poco, Seadall?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08セアダス\n¡Oh, espíritu de la baraja! Que tu luz sagrada\nme revele el secreto de la belleza de Rosado...\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08セアダス\n¡Nadie puede ser tan bello\ny no tener ningún truco bajo la manga!\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08セアダス\n¡Vive como quiere y come lo que se le antoja!\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08セアダス\nEn cambio, yo debo ser excesivamente\ncuidadoso para mantenerme en forma.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08セアダス\nEspíritu de la baraja, ¿estás totalmente\nseguro de que no hace nada especial?\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08ロサード\n¿Has estado estudiando mi rutina?\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08ロサード\nEntonces ya habrás visto que no hago\nnada especial, no hace falta que preguntes.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08セアダス\nSupongo que tienes razón.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08セアダス\nRosado, me parece increíble que siempre\nestés tan adorable sin hacer nada.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08ロサード\nNo me tengas envidia, tú también\npuedes vivir la vida como te plazca.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08セアダス\n¿Ese es el secreto?\n¿Vivir como me plazca?\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08セアダス\nSupongo que privarme de la comida\nque me gusta puede llegar a pasar factura.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08セアダス\nQuizá el secreto para estar perfecto\nsea seguir tus propios deseos...\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08セアダス\nObsesionarme con no comer comida sabrosa\nha hecho que mi danza sea insípida.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08セアダス\n¡Tiene que ser eso! La manera de vivir\nde Rosado lo demuestra.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08セアダス\nEstá bien, se acabó lo de negarme\ntodo lo que me gusta.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08セアダス\nComeré pollo asado y lo mojaré en todo tipo\nde salsas a la miel. ¡Sabores dulces y picantes!\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08セアダス\n¡A partir de ahora, comeré lo que me apetezca\ny dormiré cuando se me antoje!\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08ロサード\nEspero que no se pase...\nExcederse no es bueno.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08ロサード\nEn fin...\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08ロサード\nNo hay nada malo en darse algún capricho.\nLo importante es que sea feliz.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08ロサード\n¡Él mismo sabrá arreglárselas!\x0E\x04\x00\x00
