MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x12\x0Cアルフレッド\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nBuenos días, Divinidad.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08リュール\nHola, Alfred.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08リュール\nCaray, te noto muy sonriente...\nEstás teniendo un buen día, ¿verdad?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0E\x0Cアルフレッド\n¡Y tanto!\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0E\x0Cアルフレッド\nHe madrugado, he entrenado una barbaridad...\n¡y hasta he ido a correr!\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0E\x0Cアルフレッド\nY, para redondear el día, habéis venido\na verme. ¡Qué más se puede pedir!\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08リュール\nNo hace falta que me des tanta coba.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0E\x0Cアルフレッド\nNi mucho menos. ¿A vos no os complace\nver a un buen amigo?\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08リュール\nPor supuesto. Es de las cosas\nque siempre me alegran.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0E\x0Cアルフレッド\n¿Lo veis? ¡A mí me pasa igual!\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0E\x0Cアルフレッド\nPor cierto, ¿puedo hacer algo por vos? Hace\ntiempo que despertasteis, pero debe ser duro...\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0E\x0Cアルフレッド\nSeguro que aún os estáis adaptando a muchas\ncosas. ¡Aquí está Alfred para lo que necesitéis!\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08リュール\nA ver, deja que piense... No, ahora mismo\nno tengo ningún asunto pendiente.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0E\x0Cアルフレッド\nMe alegro. Pero, si os viene algo a la cabeza,\nno dudéis en acudir a mí.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0E\x0Cアルフレッド\nAntes de partir de Lythos, me pedisteis que os\nayudara a aclimataros, por ser vuestro amigo.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0E\x0Cアルフレッド\nMe hizo mucha ilusión saber que me consideráis\ncomo tal. ¡Por mis amistades soy capaz de todo!\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08リュール\nA mí también me alegra que el sentimiento\nsea mutuo. Gracias, Alfred.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x12\x0Cアルフレッド\x022\n\x0E\x03\x02\x0A\x08リュール\nHola, Alfred.\n¿Podemos hablar un momento?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0E\x0Cアルフレッド\n¡Faltaría más! Para vos, soy todo oídos.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08リュール\nEscucha, te agradezco mucho que me prepares\nel desayuno cada mañana...\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08リュール\nPero ¿te importaría dejar de hacerlo?\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0E\x0Cアルフレッド\n¡Ay, no me digáis que me he excedido con los\nembutidos! Es que quiero que ganéis músculo...\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08リュール\nLa verdad es que sí que pones demasiado\nembutido, pero no lo digo por eso.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08リュール\nEl problema es que no me parece bien\nque te esfuerces tanto por mí cada mañana.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0E\x0Cアルフレッド\nAh, vaya, lo siento mucho.\nNo pretendía incomodaros...\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0E\x0Cアルフレッド\nPensé que un desayuno rico y nutritivo\nos alegraría la mañana, pero no lo haré más.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08リュール\nGracias, Alfred. Ah, y otra cosa...\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08リュール\nCada noche, cuando me estoy quedando\ndormid\x0E\x0A\x00\x08\x02o\x02a, oigo el dulce sonido de una flauta...\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0E\x0Cアルフレッド\n¡Soy yo tocando una nana para que\nvuestra Divinidad duerma... divinamente!\x0E\x04\x00\x00
