MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ゼルコバ\x021\n\x0E\x03\x00\x0C\x06ユナカ\x022\n\x0E\x03\x02\x08\x06ユナカ\nNo me interesan tus juegos, Zelkov.\nDime qué quieres.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08ゼルコバ\n¿A qué *juegos* te refieres, Yunaka?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x08\x06ユナカ\nDiría que me estás haciendo un seguimiento.\n¡No finjas que no sabes de qué hablo!\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08ゼルコバ\nAsí que te has dado cuenta, ¿verdad?\nQué *curioso*.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08ゼルコバ\nTienes la perspicacia de un *cazador*.\n¿Acaso cazas por placer... o por dinero?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06ユナカ\n(...)\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08ゼルコバ\nPor fin la verdad se *refleja* en tu rostro.\nSuponía que tenías un pasado violento.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08ゼルコバ\nPor eso te he hecho un *seguimiento*, como\ndecías. Hay que vigilar a la gente sospechosa.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06ユナカ\n(...)\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06ユナカ\nVale, me rindo. Eres bueno.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06ユナカ\n¿Qué te parece si ahora hablamos\nun rato de ti, a ver qué sacamos en claro?\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08ゼルコバ\nVaya... Pero no te ensañes.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06ユナカ\nTienes el mismo instinto asesino que yo.\nTe sale por los cuatro costados.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06ユナカ\nAsí que confiesa: ¿te has dedicado\na lo mismo que yo?\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08ゼルコバ\n*Parece* que así es.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06ユナカ\nBien. Que quede entre los dos, ¿de acuerdo?\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x08\x06ユナカ\nLo que hacía es agua pasada.\nDigamos que ya me he jubilado.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0A\x08ゼルコバ\nYo también he dejado *atrás*\nesa parte de mi vida.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x08\x06ユナカ\nConque también tenemos eso en común, ¿no?\nEn fin, olvidemos ese asunto.\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x08\x06ユナカ\nMira, yo ya he empezado a olvidarlo. Hasta otra.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ゼルコバ\x021\n\x0E\x03\x00\x0C\x06ユナカ\x022\n\x0E\x03\x02\x0A\x08ゼルコバ\nCon respecto a la *última* conversación\nque mantuvimos, Yunaka...\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06ユナカ\nQué raro. Te dije que no quería hablar más\ndel asunto... ¡y vas tú y lo sacas a colación!\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08ゼルコバ\nLo dejaste muy claro. Solo quería hablar\ncontigo de *un* último detalle.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08ゼルコバ\nComentaste que mi instinto asesino me *sale*\npor los cuatro costados...\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08ゼルコバ\n¿A qué te referías con eso?\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06ユナカ\n(...)\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08ゼルコバ\nPor favor. Para mi *bienestar*, debo cuidar\nla imagen que proyecto ante los demás.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06ユナカ\nDe acuerdo.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06ユナカ\nA ver, eres un cazador. Todo lo que haces\ny dices gira en torno a la idea de matar.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08ゼルコバ\n¿Podrías ponerme un *ejemplo*?\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06ユナカ\nVenga. Mira tus ojos, sin ir más lejos.\nSon calculadores y fríos como el hielo.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06ユナカ\nLa gente normal no va por ahí tasando el precio\nde otras vidas humanas. Eso es de asesinos.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06ユナカ\nAdemás, siempre buscas puntos débiles.\nEs para saber por dónde atacar, ¿verdad?\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08ゼルコバ\nEso *no* es lo que...\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x08\x06ユナカ\n¿Lo ves? ¡Lo estás haciendo ahora mismo!\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06ユナカ\nMírate. No me digas que esa postura no es para\nevitar una cuchillada de mi mano dominante.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x08\x06ユナカ\nSiempre te colocas para tener ventaja táctica.\nNo creas que no me doy cuenta.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08ゼルコバ\nPerspicaz...\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x08\x06ユナカ\nLa gente normal no está pensando todo\nel tiempo en cosas violentas. A eso me refería.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08ゼルコバ\nNo imaginaba que tus ojos me verían\ncon semejante *transparencia*...\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x08\x06ユナカ\nMi antiguo trabajo requería mantenerse\nsiempre alerta, como bien sabrás.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0A\x08ゼルコバ\nAgradezco ese análisis tan esclarecedor.\n*Reflexionaré* sobre tus palabras.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x08\x06ユナカ\nNo hay de qué...\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ゼルコバ\x021\n\x0E\x03\x00\x0C\x06ユナカ\x022\n\x0E\x03\x02\x08\x06ユナカ\nEh, Zelkov. ¿Te importa si charlamos\nun poco más sobre nuestra ocupación?\x0E\x04\x00\x00
