MID_GR_El_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06カムイ\x022\n\x0E\x03\x02\x08\x06カムイ\nMe alegro de colaborar con otra dragona\npara poner punto y final a esta guerra.\x0E\x04\x00\x00
MID_GR_El_C_#002	\x0E\x03\x02\x06\x04エル\nContar contigo me tranquiliza. Sí, hagamos\ncuanto esté en nuestro poder por traer la paz.\x0E\x04\x00\x00
MID_GR_El_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06カムイ\x022\n\x0E\x03\x02\x06\x04エル\nHáblame de tu pasado, Corrin. Si no\nme equivoco, tenías varios hermanos.\x0E\x04\x00\x00
MID_GR_El_B_#002	\x0E\x03\x02\x08\x06カムイ\nEstaré encantada de contarte todo sobre ellos,\npero espero que tú hagas lo propio conmigo.\x0E\x04\x00\x00
MID_GR_El_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06カムイ\x022\n\x0E\x03\x02\x08\x06カムイ\nHe oído que arriesgaste la vida por tu hermano.\nYo también hice algo parecido una vez...\x0E\x04\x00\x00
MID_GR_El_A_#002	\x0E\x03\x02\x06\x04エル\nRafal lo es todo para mí. Quiero protegerlo\ny, sobre todo, que no se sienta rechazado.\x0E\x04\x00\x00
MID_GR_El_A_#003	\x0E\x03\x02\x08\x06カムイ\nYo sentía algo similar. Debí aceptar las\nconsecuencias de la senda que había elegido.\x0E\x04\x00\x00
MID_GR_El_A_#004	\x0E\x03\x02\x06\x04エル\nSe diría que sucedieron muchas cosas entre tú\ny tus hermanos. Cuéntamelo todo, por favor.\x0E\x04\x00\x00
MID_GR_Rafale_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0C\x06カムイ\x022\n\x0E\x03\x02\x0C\nラファール\nLa sangre de los Dragones Primigenios corre\npor tus venas... Ansío ver tus poderes en acción.\x0E\x04\x00\x00
MID_GR_Rafale_C_#002	\x0E\x03\x02\x08\x06カムイ\nTú también posees poderes dragontinos, ¿no?\nMe alegra luchar junto a uno de mis congéneres.\x0E\x04\x00\x00
MID_GR_Rafale_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0C\x06カムイ\x022\n\x0E\x03\x02\x0C\nラファール\nDicen que tú también puedes convertirte en\ndragón. Interesante... Debes ser muy poderosa.\x0E\x04\x00\x00
MID_GR_Rafale_B_#002	\x0E\x03\x02\x08\x06カムイ\nNo puedo mostrártelo aquí, pero es cierto.\nQuizá deberíamos transformarnos para entrenar.\x0E\x04\x00\x00
MID_GR_Rafale_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0C\x06カムイ\x022\n\x0E\x03\x02\x08\x06カムイ\n¿Es cierto que aspirabas a ser el mejor de entre\ntus hermanos? ¿Por qué deseabas tanto poder?\x0E\x04\x00\x00
MID_GR_Rafale_A_#002	\x0E\x03\x02\x0C\nラファール\nPorque otrora fui débil... y debía ser el más\nfuerte para ganarme el respeto de mi progenitor.\x0E\x04\x00\x00
MID_GR_Rafale_A_#003	\x0E\x03\x02\x0C\nラファール\nPero mis deseos no se cumplieron. Qué ironía,\nluchar aquí para acabar con otra versión suya.\x0E\x04\x00\x00
MID_GR_Rafale_A_#004	\x0E\x03\x02\x08\x06カムイ\nSé lo que es enfrentarse a una figura paterna...\nSi necesitas desahogarte, estoy a tu disposición.\x0E\x04\x00\x00
MID_GR_Selestia_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0C\x06カムイ\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nComo dragona maga que soy, supongo que\ntendremos muchos temas en común, Corrin.\x0E\x04\x00\x00
MID_GR_Selestia_C_#002	\x0E\x03\x02\x08\x06カムイ\nEn mi mundo no existían dragones similares...\n¡Pero será un placer conversar contigo, Zelestia!\x0E\x04\x00\x00
MID_GR_Selestia_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0C\x06カムイ\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nLos Cuatro Vientos nacieron para proteger a Nel\ny a Rafal, pero también cuidaremos de ti, Corrin.\x0E\x04\x00\x00
MID_GR_Selestia_B_#002	\x0E\x03\x02\x08\x06カムイ\nMe tranquiliza gozar de vuestro apoyo,\npero estoy aquí para protegerte yo a ti, Zelestia.\x0E\x04\x00\x00
MID_GR_Selestia_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0C\x06カムイ\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nMenos mal que hemos salido sanas y salvas...\nNo quiero volver a perder a un aliado jamás.\x0E\x04\x00\x00
MID_GR_Selestia_A_#002	\x0E\x03\x02\x08\x06カムイ\nYo también he perdido a algunos muy queridos,\nespecialmente a uno que me cedió su testigo...\x0E\x04\x00\x00
MID_GR_Selestia_A_#003	\x0E\x03\x02\x08\x06カムイ\nComo supervivientes, nos corresponde devolver\na este mundo la paz que jamás debió perder.\x0E\x04\x00\x00
MID_GR_Selestia_A_#004	\x0E\x03\x02\x0E\x0Cセレスティア\nSí, permanezcamos juntas hasta que llegue\nese día. Así, siempre nos mantendremos a salvo.\x0E\x04\x00\x00
MID_GR_Gregory_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0C\x06カムイ\x022\n\x0E\x03\x02\x0C\nグレゴリー\nNunca he conocido a una persona tan decidida\ny amable como tú. Sé que puedo confiar en ti.\x0E\x04\x00\x00
MID_GR_Gregory_C_#002	\x0E\x03\x02\x08\x06カムイ\nMe alegro de que me veas así. Haré cuanto\nesté en mi mano por protegerte, Gregory.\x0E\x04\x00\x00
MID_GR_Gregory_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0C\x06カムイ\x022\n\x0E\x03\x02\x08\x06カムイ\nAntes odiaba luchar, pero me di cuenta de que\nera necesario para proteger a quienes amamos.\x0E\x04\x00\x00
MID_GR_Gregory_B_#002	\x0E\x03\x02\x0C\nグレゴリー\nTe entiendo. Pero a veces conviene renunciar y\nescapar para planear bien la estrategia a seguir.\x0E\x04\x00\x00
MID_GR_Gregory_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0C\x06カムイ\x022\n\x0E\x03\x02\x0C\nグレゴリー\nEnvidio tu indumentaria... Parece capaz\nde protegerte de cualquier ataque.\x0E\x04\x00\x00
MID_GR_Gregory_A_#002	\x0E\x03\x02\x08\x06カムイ\nEs eficaz ante los ataques con espada,\npero no contra magia u otras armas.\x0E\x04\x00\x00
MID_GR_Gregory_A_#003	\x0E\x03\x02\x0C\nグレゴリー\nMmm... En tal caso, tendré que reunir valor\npara que no te hieran en combate.\x0E\x04\x00\x00
MID_GR_Gregory_A_#004	\x0E\x03\x02\x08\x06カムイ\nQué considerado, Gregory. Yo también\nme esforzaré para que nadie te haga daño a ti.\x0E\x04\x00\x00
