MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06カムイ\x022\n\x0E\x03\x02\x08\x06カムイ\nEsto es... No, no puede ser.\nAunque se parece tanto...\x0E\x04\x00\x00
MID_OP1_#002	\x0E\x03\x02\x0A\x08リュール\n¿Qué ocurre, Corrin?\x0E\x04\x00\x00
MID_OP1_#003	\x0E\x03\x02\x08\x06カムイ\nEste lugar se parece mucho a aquel\ndonde mi destino se ramificó.\x0E\x04\x00\x00
MID_OP1_#004	\x0E\x03\x02\x08\x06カムイ\nEse día tuve tres opciones. Elegir una\nimplicaba abandonar las otras dos.\x0E\x04\x00\x00
MID_OP1_#005	\x0E\x03\x02\x0A\x08リュール\n¿Qué quieres decir?\x0E\x04\x00\x00
MID_OP1_#006	\x0E\x03\x02\x08\x06カムイ\nEn mi mundo, existen dos reinos enfrentados,\nHoshido y Nohr...\x0E\x04\x00\x00
MID_OP1_#007	\x0E\x03\x02\x08\x06カムイ\nYo nací en Hoshido, pero pasé la mayor\nparte de mi niñez en Nohr.\x0E\x04\x00\x00
MID_OP1_#008	\x0E\x03\x02\x0A\x08リュール\nDebió de ser difícil vivir una vida con lazos\nen ambos lados del conflicto.\x0E\x04\x00\x00
MID_OP1_#009	\x0E\x03\x02\x08\x06カムイ\nSí. Aquí se enfrentaron Hoshido y Nohr,\ny yo me vi forzada a escoger un bando.\x0E\x04\x00\x00
MID_OP1_#010	\x0E\x03\x02\x08\x06カムイ\nTenía familia y amigos en ambas naciones\ny no quería traicionar a nadie.\x0E\x04\x00\x00
MID_OP1_#011	\x0E\x03\x02\x08\x06カムイ\nElegir resultaba durísimo,\npero no me quedaba más remedio.\x0E\x04\x00\x00
MID_OP1_#012	\x0E\x03\x02\x08\x06カムイ\n¿Hoshido o Nohr? ¿Quizá ninguno y luchar\nyo sola? No había una respuesta fácil.\x0E\x04\x00\x00
MID_OP1_#013	\x0E\x03\x02\x0A\x08リュール\nNo sé si yo podría tomar una decisión\ntan importante.\x0E\x04\x00\x00
MID_OP1_#014	\x0E\x03\x02\x0A\x08リュール\nAunque sospecho que en algún momento\nde mi viaje tendré que hacerlo.\x0E\x04\x00\x00
MID_OP1_#015	\x0E\x03\x02\x08\x06カムイ\nYa has decidido enfrentarte al Dragón Caído\ny salvar el mundo. Es una gran decisión.\x0E\x04\x00\x00
MID_OP1_#016	\x0E\x03\x02\x08\x06カムイ\nVeamos si mereció la pena.\nEnfréntate a mí.\x0E\x04\x00\x00
