MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nミスティラ\x022\n\x0E\x03\x02\x0C\nミスティラ\n¡A la parrilla y lista! ¡Esta carne está tan rica\nque os va a quitar el sentido!\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08リュール\nUf... Me parece demasiada carne\npara dos personas.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nミスティラ\nQué va, si esta es para mí...\nIba a preparar la vuestra ahora.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08リュール\n¿¡Qué!? ¿¡Cómo vas a comerte\ntodo eso tú sola!?\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nミスティラ\nEs fácil: abres la boca, muerdes, masticas...\nMejor no os aburro con todos los detalles.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08リュール\nMadre mía. Eres de lo que no hay, Timerra.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nミスティラ\n(...)\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nミスティラ\n¡ADEMÁS DE VERDAD!\n¡SOY DE LO QUE NO HAY!\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nミスティラ\n¡LA PRINCESA HEREDERA DE SOLM!\n¡Y TENGO MOGOLLÓN DE JOYAS CARÍSIMAS!\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08リュール\n¡Haz el favor de bajar la voz!\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08リュール\nEsta zona es peligrosa, según tengo entendido.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nミスティラ\nQue no os quepa duda.\nEstá plagada de bandidos.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0C\nミスティラ\nPor eso estoy aquí, haciéndome pasar\npor un inocente y dulce corderito...\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08リュール\nUn momento... ¿¡Ese era tu plan!?\n¿¡Usarte a ti misma como cebo!?\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0C\nミスティラ\nY ha funcionado, ¿no creéis? Los muy rufianes\nno nos han quitado ojo desde que llegamos.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08リュール\nP-parece que... ¡se preparan\npara tendernos una emboscada!\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0C\nミスティラ\n¡No si los sorprendemos antes! Seguidme.\nEntre vos y yo, esto va a ser pan comido.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0A\x08リュール\nDe acuerdo. Pero ¡habría sido todo un detalle\nque me hubieras advertido de lo que tramabas!\x0E\x04\x00\x00
