MID_GR_Lueur_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nヴェロニカ\nJamás había visto un poder como el tuyo. Esa\ncapacidad de invocar Emblemas ha de ser mía.\x0E\x04\x00\x00
MID_GR_Lueur_C_#002	\x0E\x03\x02\x0A\x08リュール\nAgradezco el cumplido, aunque me temo que\nno es factible. Si lo necesitas, aquí me tienes.\x0E\x04\x00\x00
MID_GR_Lueur_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nヴェロニカ\nPese a tener el cuerpo cubierto de heridas,\nsigues luchando. ¿Por qué? ¿Quién te obliga?\x0E\x04\x00\x00
MID_GR_Lueur_B_#002	\x0E\x03\x02\x0A\x08リュール\nNo me obliga nadie.\nLucho para proteger el mundo que tanto amo.\x0E\x04\x00\x00
MID_GR_Lueur_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nヴェロニカ\nCuesta encontrar a alguien como tú, resuelt\x0E\x0A\x00\x08\x02o\x02a\na luchar con todas sus fuerzas en pos de la paz.\x0E\x04\x00\x00
MID_GR_Lueur_A_#002	\x0E\x03\x02\x0A\x08リュール\nTodo el mérito es de mis amigos y del apoyo\nque me brindan. Me alegra tenerte entre ellos.\x0E\x04\x00\x00
MID_GR_Lueur_A_#003	\x0E\x03\x02\x0C\nヴェロニカ\n¿Me consideras... tu amiga?\x0E\x04\x00\x00
MID_GR_Lueur_A_#004	\x0E\x03\x02\x0A\x08リュール\nClaro. Los lazos que hemos forjado en el campo\nde batalla perdurarán hasta el fin del mundo.\x0E\x04\x00\x00
MID_GR_Vandre_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nヴァンドレ\nVeronica, para mí es un inmenso honor contar\ncon una princesa imperial en nuestras filas.\x0E\x04\x00\x00
MID_GR_Vandre_C_#002	\x0E\x03\x02\x0C\nヴェロニカ\nAborrezco los formalismos. En lugar de eso,\n¿por qué no me cuentas tu historia?\x0E\x04\x00\x00
MID_GR_Vandre_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nヴェロニカ\n¿Qué haces con esa prenda, Vander?\n¿La has tejido tú?\x0E\x04\x00\x00
MID_GR_Vandre_B_#002	\x0E\x03\x02\x0C\nヴァンドレ\nEstoy haciendo encaje, uno de mis pasatiempos\npreferidos. ¿Te interesaría aprender?\x0E\x04\x00\x00
MID_GR_Vandre_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nヴェロニカ\nTengo la impresión de que siempre te limitas\na escucharme. ¿No te aburro?\x0E\x04\x00\x00
MID_GR_Vandre_A_#002	\x0E\x03\x02\x0C\nヴァンドレ\nEn absoluto. Tus historias me cautivan, al igual\nque la sonrisa que se te dibuja al contarlas.\x0E\x04\x00\x00
MID_GR_Vandre_A_#003	\x0E\x03\x02\x0C\nヴェロニカ\n¿Sonrío cuando te las relato?\nQué extraño... No es propio de mí.\x0E\x04\x00\x00
MID_GR_Vandre_A_#004	\x0E\x03\x02\x0C\nヴァンドレ\nQuizá se deba al tiempo que pasamos juntos.\nEstamos entablando amistad.\x0E\x04\x00\x00
