MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x10\nフォガート\x022\n\x0E\x03\x02\x0C\nスタルーク\n¡Glups! ¡El príncipe Fogado!\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nフォガート\n¡Eh, oye! ¿Qué pasa, príncipe Alcryst?\n¿Por qué me rehúyes?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nスタルーク\nP-perdón. Es que siempre estás de buen humor\ny no quiero aguarte la fiesta...\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nフォガート\n¡Madre mía! Me parece que no eres justo\ncontigo mismo.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nフォガート\nEs más, creo que tú y yo tenemos\nmucho en común.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0C\nフォガート\nTú eres el segundo príncipe de un reino;\ny yo, el primero de un reginato. Capicúa.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nスタルーク\nQuizá tengas razón...\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nスタルーク\n(...)\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nフォガート\n¿Por qué suspiras?\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0C\nスタルーク\nMe pregunto... Si nuestras situaciones\nson similares, ¿por qué somos tan distintos?\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nスタルーク\nTú eres sociable y despreocupado,\npero yo solo soy una carga para todos...\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nフォガート\nYa estamos. Pero mira que eres negativo...\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0C\nフォガート\nConste que no me disgusta tu actitud; de hecho,\nes uno de los motivos por los que me caes bien.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nスタルーク\n¿¡Que te caigo bien!? ¡Imposible!\n¡No merezco tan buen trato por tu parte!\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0C\nスタルーク\nUf, esto me huele muy mal...\nSi no cambias de actitud, me veo en peligro.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0C\nフォガート\n¿Eh? Pero ¿qué tengo que te parezca\ntan peligroso?\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0C\nスタルーク\n¡Pues esos ojos tan amables y tu atenta sonrisa!\n¡Haz el favor de no mirarme!\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0C\nスタルーク\nTu corazón es tan puro que me deja\nen evidencia. ¡A tu lado parezco un despojo!\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0C\nスタルーク\n¡M-me tengo que ir!\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0C\nスタルーク\n¡Mil perdones!\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x01\x0C\nスタルーク\n\x0E\x03\x02\x0C\nフォガート\nJo, a eso lo llamo yo salir por la puerta grande.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x10\nフォガート\x022\n\x0E\x03\x02\x0C\nフォガート\n¡Hola, príncipe Alcryst!\nOye, una preguntita: ¿cómo fue tu infancia?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0C\nスタルーク\n¿Eh? ¿Y para qué quieres saber eso?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nフォガート\nNada, es que estaba pensando\nen nuestra breve conversación del otro día.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0C\nフォガート\nAquello de que nuestras vidas son parecidas,\npero tenemos personalidades muy diferentes.\x0E\x04\x00\x00
