MID_GR_Lueur_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06カムイ\x022\n\x0E\x03\x02\x08\x06カムイ\nPasé gran parte de mi juventud en un castillo.\nSalir era siempre una experiencia emocionante.\x0E\x04\x00\x00
MID_GR_Lueur_C_#002	\x0E\x03\x02\x0A\x08リュール\nTe entiendo perfectamente.\nHemos vivido experiencias parecidas.\x0E\x04\x00\x00
MID_GR_Lueur_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06カムイ\x022\n\x0E\x03\x02\x0A\x08リュール\nA veces, en las batallas, debo tomar decisiones\ntan difíciles que hasta me paralizo.\x0E\x04\x00\x00
MID_GR_Lueur_B_#002	\x0E\x03\x02\x08\x06カムイ\nLo entiendo. Yo a veces me pregunto qué\nhabría pasado si hubiera elegido algo distinto.\x0E\x04\x00\x00
MID_GR_Lueur_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06カムイ\x022\n\x0E\x03\x02\x0A\x08リュール\n¿Alguna vez has tenido dudas\ndespués de tomar una decisión?\x0E\x04\x00\x00
MID_GR_Lueur_A_#002	\x0E\x03\x02\x08\x06カムイ\nSí, con una en particular... Eligiera lo que\neligiera, haría daño a la gente que quiero.\x0E\x04\x00\x00
MID_GR_Lueur_A_#003	\x0E\x03\x02\x08\x06カムイ\nPero no me arrepiento. Tomé la decisión\npor el bien de la gente en la que más confiaba.\x0E\x04\x00\x00
MID_GR_Lueur_A_#004	\x0E\x03\x02\x0A\x08リュール\nComprendo. Tener en cuenta en quién confío\nme ayudará a tomar decisiones en el futuro.\x0E\x04\x00\x00
MID_GR_Vandre_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0C\x06カムイ\x022\n\x0E\x03\x02\x0C\nヴァンドレ\nTu estilo de combate es impresionante. Aunque\nme preocupas cuando estás en forma humana.\x0E\x04\x00\x00
MID_GR_Vandre_C_#002	\x0E\x03\x02\x08\x06カムイ\nMe recuerdas a uno de mis vasallos.\nNunca me quitaba el ojo de encima.\x0E\x04\x00\x00
MID_GR_Vandre_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0C\x06カムイ\x022\n\x0E\x03\x02\x08\x06カムイ\nMe gusta luchar a tu lado, Vander.\nHaces que me sienta protegida.\x0E\x04\x00\x00
MID_GR_Vandre_B_#002	\x0E\x03\x02\x0C\nヴァンドレ\nTus palabras me halagan, Corrin.\nEspero que sigamos protegiéndonos siempre.\x0E\x04\x00\x00
MID_GR_Vandre_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0C\x06カムイ\x022\n\x0E\x03\x02\x08\x06カムイ\nTrabajas mucho. Si quieres, puedo masajearte\nla espalda, o la cara, o lo que sea normal aquí.\x0E\x04\x00\x00
MID_GR_Vandre_A_#002	\x0E\x03\x02\x0C\nヴァンドレ\nLos Emblemas no tenéis cuerpo físico, ¿no?\n¿En tu mundo es normal masajearse la cara?\x0E\x04\x00\x00
MID_GR_Vandre_A_#003	\x0E\x03\x02\x08\x06カムイ\nNo diría que es normal. Bueno, a veces...\nDepende de dónde procedas.\x0E\x04\x00\x00
MID_GR_Vandre_A_#004	\x0E\x03\x02\x0C\nヴァンドレ\nYa me siento mejor por el mero hecho\nde que te ofrezcas a darme un masaje, gracias.\x0E\x04\x00\x00
MID_GR_Clan_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0C\x06カムイ\x022\n\x0E\x03\x02\x08\x06クラン\nEstar contigo es como estar cerca del Dragón\nDivino. Siento que eres diferente...\x0E\x04\x00\x00
MID_GR_Clan_C_#002	\x0E\x03\x02\x08\x06カムイ\n¿Será porque tengo sangre de dragón? ¡Oh!\n¿Sabías que puedo transformarme en uno?\x0E\x04\x00\x00
MID_GR_Clan_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0C\x06カムイ\x022\n\x0E\x03\x02\x08\x06クラン\nCorrin, ¿qué se siente al convertirse en\nun dragón? ¿Es raro? ¿Hace cosquillas?\x0E\x04\x00\x00
MID_GR_Clan_B_#002	\x0E\x03\x02\x08\x06カムイ\nLo que más noto es que la gente me mira\ncon sorpresa y miedo. Cuesta acostumbrarse.\x0E\x04\x00\x00
MID_GR_Clan_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0C\x06カムイ\x022\n\x0E\x03\x02\x08\x06クラン\nSiempre estamos juntos y aún no he visto tu\nforma de dragón. ¿Puedes transformarte ahora?\x0E\x04\x00\x00
MID_GR_Clan_A_#002	\x0E\x03\x02\x08\x06カムイ\nAún no puedo transformarme del todo.\nSolo cambio partes del cuerpo, lo siento...\x0E\x04\x00\x00
MID_GR_Clan_A_#003	\x0E\x03\x02\x08\x06クラン\n¡No! Lo siento yo por pedírtelo. Es que\nquería conocer mejor a mi nueva amiga.\x0E\x04\x00\x00
MID_GR_Clan_A_#004	\x0E\x03\x02\x08\x06カムイ\n¡Me alegra que me consideres tu amiga!\n¿Y qué hay de ti? ¿Te transformas en algo?\x0E\x04\x00\x00
MID_GR_Fram_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0C\x06カムイ\x022\n\x0E\x03\x02\x08\x06フラン\nCuidar del Dragón Divino es mucho trabajo,\npero siento que también debería cuidar de ti.\x0E\x04\x00\x00
MID_GR_Fram_C_#002	\x0E\x03\x02\x08\x06カムイ\nEres muy amable, Framme. Aunque eres\ntan joven que debería ser yo quien te cuidara.\x0E\x04\x00\x00
MID_GR_Fram_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0C\x06カムイ\x022\n\x0E\x03\x02\x08\x06フラン\nNo te cortes en pedirme cosas.\nSoy muy capaz a pesar de ser tan joven.\x0E\x04\x00\x00
MID_GR_Fram_B_#002	\x0E\x03\x02\x08\x06カムイ\nEn batalla eres muy fiable, Framme,\npero en el día a día eres un tanto... atolondrada.\x0E\x04\x00\x00
MID_GR_Fram_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0C\x06カムイ\x022\n\x0E\x03\x02\x08\x06カムイ\nEspero que algún día confíes en mí, Framme.\n¿O no te ves capaz?\x0E\x04\x00\x00
MID_GR_Fram_A_#002	\x0E\x03\x02\x08\x06フラン\nNo es eso. Es que quisiera tener una señal\nsecreta, como una mirada o un guiño.\x0E\x04\x00\x00
MID_GR_Fram_A_#003	\x0E\x03\x02\x08\x06カムイ\nNuestra señal secreta... Interesante.\n¿Qué tal esta? Mirar a los ojos y...\x0E\x04\x00\x00
MID_GR_Fram_A_#004	\x0E\x03\x02\x08\x06フラン\n¡Sí, es perfecta para nosotras, Corrin!\n¡Eres la mejor!\x0E\x04\x00\x00
MID_GR_Alfred_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0C\x06カムイ\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nVienes de una familia numerosa, ¿no?\n¿Cómo era tener tantos hermanos?\x0E\x04\x00\x00
MID_GR_Alfred_C_#002	\x0E\x03\x02\x08\x06カムイ\nLos mayores eran muy firmes;\ny los pequeños, arrogantes, pero adorables.\x0E\x04\x00\x00
MID_GR_Alfred_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0C\x06カムイ\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nYo nací en la realeza, pero tú elegiste\ntu propio destino. Me parece admirable.\x0E\x04\x00\x00
MID_GR_Alfred_B_#002	\x0E\x03\x02\x08\x06カムイ\nGracias. Aunque mi linaje era complicado,\ntambién me dio la libertad de escoger.\x0E\x04\x00\x00
MID_GR_Alfred_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0C\x06カムイ\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nNunca he podido elegir mi camino.\nNo sé si eso es bueno o malo.\x0E\x04\x00\x00
MID_GR_Alfred_A_#002	\x0E\x03\x02\x08\x06カムイ\nLas circunstancias de cada uno son distintas.\nNunca sabes cuándo llegarás a una encrucijada.\x0E\x04\x00\x00
MID_GR_Alfred_A_#003	\x0E\x03\x02\x08\x06カムイ\nAlgún día decidirás sobre el futuro de tu reino.\nEsa es una responsabilidad enorme.\x0E\x04\x00\x00
