MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x10\nミスティラ\x022\n\x0E\x03\x02\x0C\nミスティラ\n♪¡Qué díver me lo voy a pasar!\n¡Me pondré a cantar e iré a comprar!♪\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nミスティラ\n♪Qué ganas de conocer a mucha gente...\n¡Bailaré y cantaré siempre sonriente!♪\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0E\x0Cディアマンド\nHola, princesa Timerra.\nParece que estás de buen humor.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nミスティラ\n¿Qué te hace pensar eso?\nJusto ahora iba a ir a la ciudad.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0E\x0Cディアマンド\n¿Por tu cuenta? ¿Sin guardias ni escolta?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0C\nミスティラ\n¡Eso es! Voy de incógnito.\nPuedes acompañarme, si te apetece.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0E\x0Cディアマンド\nGracias, pero no. Es la hora de mi sesión\ndiaria de entrenamiento.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nミスティラ\nVaya, pues qué pena.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nミスティラ\n♪El príncipe no se quiere divertir,\ncon su entrenamiento se tiene que curtir.♪\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0E\x0Cディアマンド\nHum...\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0E\x0Cディアマンド\nNo quisiera inmiscuirme en los asuntos\nde otras familias reales, pero...\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0E\x0Cディアマンド\nSi tienes tiempo de ir a la ciudad cantando\ny bailando, deberías aprovecharlo para entrenar.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0C\nミスティラ\nNo veo por qué una cosa excluye a la otra.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nミスティラ\nAdemás, codearme con gente normal\nme hace ser mejor princesa.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0C\nミスティラ\nAl igual que entrenar te hace mejor a ti.\n¿Entiendes adónde quiero llegar?\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0E\x0Cディアマンド\nCreo que no. Si entreno es para hacerme\nmás fuerte y poder proteger a mi pueblo.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0C\nミスティラ\nIgual que yo. Me relaciono con la gente\nde la ciudad para poder protegerlos.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0C\nミスティラ\nNo puedes mantener a salvo a gente\nque ni siquiera conoces.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0E\x0Cディアマンド\nComprendo...\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0E\x0Cディアマンド\nEs una perspectiva muy interesante.\nMeditaré sobre ello durante el entrenamiento.\x0E\x04\x00\x00
