MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08ゼルコバ\x022\n\x0E\x03\x02\x0A\x08リュール\n¿Qué estás haciendo, Zelkov?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08ゼルコバ\nHola, Dragón Divino. Fundir cera,\nque luego usaré para *fabricar* velas.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08リュール\n¡Anda! ¿Es una de tus aficiones?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08ゼルコバ\nPodrías llamarlo así, pero yo *prefiero*\nverlo como una forma de matar el tiempo.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08リュール\n¿Matar el tiempo?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08ゼルコバ\nLa vida consiste en matar el tiempo hasta que\nél nos mata a nosotros. Esa es mi *filosofía*.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08リュール\nVaya, desconocía esa faceta tuya\nde gran pensador, Zelkov.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08ゼルコバ\nNo exageremos.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08ゼルコバ\nHablo de esta manera para que me vean como\nalguien *profundo*, pero solo es una fachada.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08ゼルコバ\nUna mera forma de *matar el tiempo*.\n*Diversión* pasajera y poco más.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08リュール\nInteresante...\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08ゼルコバ\n¿Qué ocurre? Me miras con mucha *intensidad*.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08リュール\nEs que te encuentro fascinante. Tenemos\nformas muy distintas de entender la vida.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08リュール\nDe algún modo, me da la impresión\nde que sabes muchas cosas que yo desconozco.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08ゼルコバ\nEres muy *peculiar*. La próxima vez que\nhablemos, te llevaré a un lugar *interesante*.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08リュール\nHas despertado mi curiosidad.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08ゼルコバ\nLo mantendré en *secreto* por el momento.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0A\x08リュール\nEntendido. ¡Qué intriga!\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08ゼルコバ\x022
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08ゼルコバ\nEste es el lugar tan *interesante*\ndel que te hablé. Mi santuario privado.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08リュール\n¡Caray! Nunca había visto tantas estanterías\nplagadas de... ¡cosas!\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08ゼルコバ\nSí, *colecciono* los objetos de mis aficiones\ny los reúno aquí.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08ゼルコバ\nTécnicas de *cocina* de cosecha propia,\nel mapa de una ruta que solo yo conozco...\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08ゼルコバ\nuna guía de entrenamiento que escribí...\nIncluso una roca que pulí hasta que *brillase*.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08ゼルコバ\nAh, y estas son unas bolas de *pelo* con las\nque me quedé por razones que ya no recuerdo.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08ゼルコバ\nMe ahorraré las explicaciones. Si entrásemos\nen detalles, nos llevaría *horas*.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08ゼルコバ\nBasta decir que *cada* objeto me ha servido\npara matar el tiempo. Puedes tocarlos, si gustas.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08リュール\n¡Gracias! Menuda colección de tesoros...\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08ゼルコバ\nEstas son las *actividades* que me ocupan\ncuando acabo mis quehaceres diarios.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08ゼルコバ\nLas *disfruto*, pero siempre dejo alguna cosa\na medias para retomarla el día siguiente.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08ゼルコバ\nEs una manera de asegurarme de que siempre\nhaya algo por lo que merezca la pena *vivir*.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08リュール\nEres todo un filósofo...\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08ゼルコバ\n¿De veras lo crees?\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08ゼルコバ\nGracias por encajar mis peroratas con tanta\npaciencia. Espero no haberte *aburrido*...\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08リュール\n¡Ni por asomo! ¡Me queda mucho\npor descubrir en este lugar!\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08ゼルコバ\nMe honras con tus palabras.\nTómate todo el *tiempo* que necesites.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08ゼルコバ\x022
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08ゼルコバ\nJornada terminada. Ya puedo dedicarme\na *matar el tiempo* hasta la hora de dormir.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08リュール\n¡Ah, Zelkov! ¡Te estaba *esperando*!\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08ゼルコバ\n¿Dragón Divino?...\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08リュール\nHe acabado *pronto* mi trabajo, y por eso\nestoy *aquí*. ¡Espero que no te *importe*!\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08ゼルコバ\nNo, pero... tu forma de hablar... sugiere\nque tus pensamientos son muy *profundos*.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08リュール\nPuede ser. Quizá se deba a la *influencia*\nque ejerces sobre mí, Zelkov.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08ゼルコバ\nTe recomiendo que no imites mis costumbres.\nLa gente te *mirará* como a un bicho raro.\x0E\x04\x00\x00
